label,source,growth_seed,run_offset,arm,N,p,draw,kept,L,r_p
ref_chain_bundle_32,synthetic,-,-,-,2048,1.0,0,2048,64,0.030776746458231558
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,0,1040,40,0.03074146738728067
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,1,1063,43,0.03097866429977341
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,2,988,41,0.030887365713793486
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,3,1039,39,0.03057445557737635
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,4,1052,41,0.030714908488385134
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,5,1010,42,0.0308746038132059
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,6,971,39,0.03082378672215911
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,7,1034,40,0.03076802088150979
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,8,1047,42,0.030828315810811552
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,9,1018,41,0.0308739638329151
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,10,992,37,0.03066509879235702
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,11,1041,44,0.031282790216507796
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,12,1012,43,0.030903148371862085
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,13,985,39,0.030745738929470513
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,14,1070,42,0.03080877403110602
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,15,1032,39,0.030712636937119828
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,16,1021,39,0.030754162585700295
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,17,1002,39,0.030869330270527875
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,18,975,38,0.030741852261359448
ref_chain_bundle_32,synthetic,-,-,-,2048,0.5,19,1033,42,0.030793879496011468
ref_chain_bundle_32,synthetic,-,-,-,2048,0.25,0,521,24,0.03099069836113982
ref_chain_bundle_32,synthetic,-,-,-,2048,0.25,1,496,23,0.030726621049201694
ref_chain_bundle_32,synthetic,-,-,-,2048,0.25,2,517,24,0.030962769705966144
ref_chain_bundle_32,synthetic,-,-,-,2048,0.25,3,517,23,0.03043797699908536
