call_id,constructor,source_program,source_declared_perturbations,target_nodes,growth_regime,growth_seed,center_token_index,seed_delta,schedule_repeat,configuration_size,tokens,nodes_before,edges_before,components_before,beta1_before,nodes_after,edges_after,components_after,beta1_after,selected_v,selected_u,selected_w,fallback_hit,add_edge_noop,recorded_delta_beta1,actual_delta_beta1,mismatch
1,local_swap,relational_universe_v15bs_add_chord_vs_local_swap_p3_carrier_compare,add_chord;local_swap,96,fast_balanced,202,3,719,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
2,local_swap,relational_universe_v15bs_add_chord_vs_local_swap_p3_carrier_compare,add_chord;local_swap,96,fast_balanced,202,3,751,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
3,local_swap,relational_universe_v15bs_add_chord_vs_local_swap_p3_carrier_compare,add_chord;local_swap,96,fast_balanced,202,3,787,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
4,local_swap,relational_universe_v15bs_add_chord_vs_local_swap_p3_carrier_compare,add_chord;local_swap,96,fast_balanced,202,3,823,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
5,local_swap,relational_universe_v15bs_add_chord_vs_local_swap_p3_carrier_compare,add_chord;local_swap,96,fast_balanced,202,3,859,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
6,local_swap,relational_universe_v15bs_add_chord_vs_local_swap_p3_carrier_compare,add_chord;local_swap,96,fast_balanced,202,3,887,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
7,local_swap,relational_universe_v15bt_same_locus_carrier_timing_lab,add_chord;local_swap,96,fast_balanced,202,3,719,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
8,local_swap,relational_universe_v15bt_same_locus_carrier_timing_lab,add_chord;local_swap,96,fast_balanced,202,3,751,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
9,local_swap,relational_universe_v15bt_same_locus_carrier_timing_lab,add_chord;local_swap,96,fast_balanced,202,3,787,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
10,local_swap,relational_universe_v15bt_same_locus_carrier_timing_lab,add_chord;local_swap,96,fast_balanced,202,3,823,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
11,local_swap,relational_universe_v15bt_same_locus_carrier_timing_lab,add_chord;local_swap,96,fast_balanced,202,3,859,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
12,local_swap,relational_universe_v15bt_same_locus_carrier_timing_lab,add_chord;local_swap,96,fast_balanced,202,3,887,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
13,local_swap,relational_universe_v15bu_same_locus_carrier_occupancy_spectrum_lab,add_chord;local_swap,96,fast_balanced,202,3,719,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
14,local_swap,relational_universe_v15bu_same_locus_carrier_occupancy_spectrum_lab,add_chord;local_swap,96,fast_balanced,202,3,751,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
15,local_swap,relational_universe_v15bu_same_locus_carrier_occupancy_spectrum_lab,add_chord;local_swap,96,fast_balanced,202,3,787,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
16,local_swap,relational_universe_v15bu_same_locus_carrier_occupancy_spectrum_lab,add_chord;local_swap,96,fast_balanced,202,3,823,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
17,local_swap,relational_universe_v15bu_same_locus_carrier_occupancy_spectrum_lab,add_chord;local_swap,96,fast_balanced,202,3,859,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
18,local_swap,relational_universe_v15bu_same_locus_carrier_occupancy_spectrum_lab,add_chord;local_swap,96,fast_balanced,202,3,887,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
19,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,0,911,1,96,8,96,109,1,14,96,109,1,14,64,10,8,0,0,0,0,0
20,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,0,947,1,96,8,96,109,1,14,96,109,1,14,64,10,8,0,0,0,0,0
21,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,0,983,1,96,8,96,109,1,14,96,109,1,14,64,10,8,0,0,0,0,0
22,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,0,1019,1,96,8,96,109,1,14,96,109,1,14,64,10,8,0,0,0,0,0
23,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,1,911,1,96,8,96,109,1,14,96,109,1,14,18,7,6,0,0,0,0,0
24,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,1,947,1,96,8,96,109,1,14,96,109,1,14,18,7,6,0,0,0,0,0
25,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,1,983,1,96,8,96,109,1,14,96,109,1,14,18,7,6,0,0,0,0,0
26,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,1,1019,1,96,8,96,109,1,14,96,109,1,14,18,7,6,0,0,0,0,0
27,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,2,911,1,96,8,96,109,1,14,96,109,1,14,6,7,8,0,0,0,0,0
28,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,2,947,1,96,8,96,109,1,14,96,109,1,14,6,7,8,0,0,0,0,0
29,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,2,983,1,96,8,96,109,1,14,96,109,1,14,6,7,8,0,0,0,0,0
30,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,2,1019,1,96,8,96,109,1,14,96,109,1,14,6,7,8,0,0,0,0,0
31,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,3,911,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
32,local_swap,relational_universe_v15bv_family_structure_symmetry_lab,add_chord;local_swap,96,fast_balanced,202,3,947,1,96,8,96,109,1,14,96,109,1,14,39,13,0,0,0,0,0,0
