event,step,t,tokens,nodes,edges,components,beta1,wedges,triangles,star3,c4,deg_sq_sum,spectral_radius,clustering,dim_proxy
init,0,0.0,6.0,10.0,10.0,1.0,1.0,10.0,0.0,0.0,0.0,40.0,1.9999999999999998,0.0,0.7895348218628638
delete,200,277.6797603793682,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
delete,400,848.4872103860871,1.0,19.0,26.0,1.0,8.0,86.0,5.0,123.0,11.0,224.0,4.093094592746726,0.17046783625730993,1.1640563981317653
birth,600,1867.188726555864,1.0,46.0,68.0,1.0,23.0,238.0,21.0,327.0,34.0,612.0,4.981167686057624,0.22744996549344373,1.5038122943757934
move,800,2037.1726325986126,1.0,46.0,75.0,1.0,30.0,306.0,31.0,539.0,54.0,762.0,5.649318353505748,0.2646025472112429,1.4990565060755263
delete,1000,2828.6212412655723,1.0,59.0,99.0,2.0,42.0,467.0,45.0,1061.0,120.0,1132.0,6.581279981864264,0.22228844601725958,1.3577174109801637
move,1200,3259.493045316461,1.0,71.0,116.0,2.0,47.0,510.0,41.0,1014.0,98.0,1252.0,6.19753562650757,0.2268023056755451,1.5578329110357547
move,1400,3425.1108835424507,2.0,70.0,117.0,3.0,50.0,548.0,45.0,1122.0,120.0,1330.0,6.600948744673765,0.2254803133374562,1.6918065434531726
delete,1600,3642.6897534443706,2.0,69.0,120.0,3.0,54.0,616.0,55.0,1478.0,154.0,1472.0,6.985150044841867,0.22796768448942362,1.7901073929871507
move,1800,3732.3831380439233,2.0,67.0,118.0,5.0,56.0,564.0,52.0,1211.0,135.0,1364.0,6.797158820633251,0.284359587344662,1.1694762796330787
move,2000,3993.569459006205,1.0,71.0,130.0,5.0,64.0,703.0,58.0,1730.0,202.0,1666.0,7.2574572968068685,0.19962291229896864,1.6565622917363012
delete,2200,4572.281083428819,1.0,89.0,153.0,5.0,69.0,806.0,67.0,2019.0,221.0,1918.0,7.524513857528682,0.16174767803981285,1.4837845612176455
move,2400,4835.708323534768,1.0,96.0,172.0,6.0,82.0,1008.0,87.0,2808.0,313.0,2360.0,8.08907505001948,0.18568873256373256,1.4559664205961438
triad,2600,5374.165562862601,2.0,107.0,191.0,6.0,90.0,1189.0,89.0,3665.0,316.0,2760.0,8.177679283075463,0.19156072380371447,1.4608898085819773
delete,2800,5721.723116211051,1.0,107.0,198.0,7.0,98.0,1223.0,76.0,3566.0,317.0,2842.0,8.025946155578081,0.1705612404210535,2.0804574275081302
seed,3000,6244.9892770652505,0.0,115.0,216.0,7.0,108.0,1358.0,88.0,4071.0,343.0,3148.0,8.232382469423275,0.20642938192810315,1.834224205520833
move,3200,6902.89050610029,1.0,127.0,234.0,6.0,113.0,1439.0,81.0,4204.0,289.0,3346.0,7.939431486967614,0.2020266286130112,2.0157868349456125
move,3400,7107.441602665883,1.0,139.0,250.0,7.0,118.0,1530.0,81.0,4428.0,299.0,3560.0,7.980097759155393,0.15419563039114456,2.0074329601979843
move,3600,7239.1600783169615,2.0,136.0,252.0,7.0,123.0,1664.0,97.0,5086.0,364.0,3832.0,8.293456302319083,0.15521631746761505,2.250290139453507
move,3800,7360.428351255363,1.0,139.0,274.0,7.0,142.0,1908.0,117.0,6099.0,431.0,4364.0,8.709950260161945,0.18332967991241372,2.2783699628299936
seed,4000,7460.950006960473,0.0,140.0,287.0,8.0,155.0,2111.0,141.0,7138.0,569.0,4796.0,9.258811833901792,0.18832426327174226,1.650169863261558
move,4200,8051.806438206607,2.0,163.0,328.0,9.0,174.0,2536.0,171.0,9580.0,717.0,5728.0,9.717147541405522,0.19353940057296246,1.6154861106340832
delete,4400,8472.706643932683,1.0,173.0,340.0,8.0,175.0,2573.0,163.0,9571.0,683.0,5826.0,9.615345350486786,0.16624480529104807,1.9735737006560357
move,4600,8605.706425170405,4.0,177.0,349.0,8.0,180.0,2745.0,158.0,11289.0,669.0,6188.0,9.669714147718206,0.17349701246803045,1.9614330230626749
move,4800,8683.779924438853,2.0,177.0,351.0,9.0,183.0,2695.0,142.0,10603.0,677.0,6092.0,9.658140021806595,0.1595469170244843,2.16308390521114
move,5000,8772.397083437883,2.0,179.0,362.0,10.0,193.0,2762.0,140.0,10532.0,548.0,6248.0,9.29978911480334,0.1872509976239848,2.371915230960326
swap,5200,9164.651739603076,1.0,186.0,377.0,10.0,201.0,2759.0,149.0,9802.0,533.0,6272.0,9.129623890827315,0.19584210183995682,2.378451233469152
seed,5400,9931.318699051168,0.0,205.0,393.0,11.0,199.0,2912.0,155.0,10736.0,554.0,6610.0,9.296052621385757,0.17497130153128604,2.426621090797945
triad,5600,10510.835640974317,2.0,219.0,412.0,13.0,206.0,3012.0,155.0,11317.0,542.0,6848.0,9.219356156192868,0.1614548278518867,2.3570170377103214
death,5800,10723.149219541536,1.0,219.0,428.0,13.0,222.0,3320.0,190.0,12821.0,724.0,7496.0,9.77370035233372,0.15783951231087454,2.173965227910594
move,6000,11206.429403229286,2.0,225.0,445.0,13.0,233.0,3621.0,198.0,15132.0,844.0,8132.0,10.185025174541138,0.16645631178732873,2.1524050058352735
move,6200,11503.914114639398,1.0,228.0,457.0,13.0,242.0,3781.0,200.0,15956.0,920.0,8476.0,10.322993994400258,0.161199251278552,1.8243284884715558
move,6400,11589.561845162149,3.0,223.0,467.0,13.0,257.0,4021.0,221.0,17316.0,1055.0,8976.0,10.67369626328555,0.19582462744663243,2.403129792385557
move,6600,11828.268537397471,3.0,226.0,481.0,12.0,267.0,4251.0,229.0,18662.0,1155.0,9464.0,10.886862946396196,0.16808332581217558,2.1811853855394863
move,6800,12224.684052024731,1.0,235.0,500.0,12.0,277.0,4501.0,243.0,20744.0,1224.0,10002.0,11.130505616098063,0.17728087647111068,2.3137753343056056
move,7000,12484.111664145381,1.0,238.0,509.0,12.0,283.0,4676.0,241.0,21350.0,1245.0,10370.0,11.147063821018092,0.17302549489890318,2.105747158841059
delete,7200,12760.69012834946,1.0,244.0,525.0,12.0,293.0,4734.0,242.0,21037.0,1215.0,10518.0,11.05509095066254,0.16248157829405305,2.1602675853391773
move,7400,12973.567841485878,1.0,247.0,541.0,12.0,306.0,5106.0,253.0,24539.0,1376.0,11294.0,11.39116616264052,0.19347736627227996,2.000553719814719
move,7600,13767.213504427567,2.0,253.0,561.0,11.0,319.0,5405.0,275.0,26496.0,1556.0,11932.0,11.682409781985173,0.18071773597535265,1.8474387743933416
move,7800,14048.74306640707,2.0,252.0,575.0,11.0,334.0,5820.0,308.0,29644.0,1833.0,12790.0,12.147036950450325,0.20947914773228316,1.9842917587915727
move,8000,14191.913995926961,2.0,256.0,579.0,11.0,334.0,5849.0,320.0,30027.0,1860.0,12856.0,12.181671397472426,0.18772323860207202,1.70877214490175
swap,8200,14532.15791076019,2.0,262.0,593.0,11.0,342.0,5984.0,322.0,30780.0,1912.0,13154.0,12.220979139041818,0.17962201968138503,2.231532940527988
delete,8400,14636.735993240958,2.0,262.0,597.0,11.0,346.0,6021.0,318.0,30898.0,1858.0,13236.0,12.151175076594022,0.20290071557346984,2.493924877187933
move,8600,14745.158255890341,2.0,262.0,607.0,12.0,357.0,6359.0,349.0,34182.0,2156.0,13932.0,12.545109585136284,0.19367491393052538,2.0149438917248346
move,8800,14846.920118997788,2.0,264.0,609.0,12.0,357.0,6487.0,355.0,35678.0,2268.0,14192.0,12.685664311348594,0.1931083393108321,2.628938471146042
move,9000,14975.028736212626,1.0,263.0,596.0,12.0,345.0,6227.0,324.0,33622.0,2066.0,13646.0,12.47502510067112,0.16484078515149317,2.3046941873518803
move,9200,15439.35972778713,1.0,273.0,607.0,12.0,346.0,6349.0,347.0,34610.0,2082.0,13912.0,12.543972004055554,0.16513117237174113,2.788639535499398
birth,9400,15729.215970051682,1.0,274.0,617.0,13.0,356.0,6607.0,352.0,36396.0,2204.0,14448.0,12.707598758176518,0.14008001662065797,1.8857780754343203
move,9600,15873.094964377224,1.0,271.0,617.0,13.0,359.0,6706.0,355.0,38289.0,2305.0,14646.0,12.817249209359217,0.14514820553580818,2.0541937186243495
move,9800,16491.903696243488,2.0,285.0,636.0,16.0,367.0,6928.0,374.0,39489.0,2459.0,15128.0,13.01736418379876,0.13713381957389192,2.062257480738757
move,10000,16803.766012101165,1.0,289.0,645.0,17.0,373.0,6874.0,363.0,38024.0,2363.0,15038.0,12.881110786071112,0.14792839182199263,2.2295327815972517
