label,regime,perturbation,seed,step,t,edge_diff_count,edge_jaccard_distance,node_diff_count,damaged_nodes_count,token_hamming,radius_control,radius_perturbed,nearest_control,nearest_perturbed,core_l1,regime_l1,delta_beta1,delta_wedges,delta_triangles,delta_c4,delta_spectral_radius,delta_clustering,delta_dim_proxy,front_envelope_control,front_envelope_perturbed
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,0,0.0,2,0.18181818181818182,0,3,0,0,0,0,0,0.0,2.123661305661328,0.0,1.0,0.0,0.0,0.07542843247527053,0.0,0.04823287318605751,0,0
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,40,11.44752708346374,2,0.18181818181818182,0,3,0,0,0,0,0,0.0,2.1676739570601185,0.0,1.0,0.0,0.0,0.12395794075247935,0.0,0.043716016307639216,0,0
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,80,23.169699301571075,4,0.3333333333333333,0,6,1,2,2,0,0,0.0,6.395200393972559,0.0,3.0,0.0,0.0,0.2962227311493586,0.0,0.09897766282319975,2,2
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,120,33.06012891730607,6,0.42857142857142855,0,9,3,3,2,0,0,0.0,9.466081873964344,0.0,4.0,0.0,0.0,0.3396697283119745,0.0,0.1264121456523698,3,2
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,160,43.71377425449211,16,0.8,0,11,4,4,3,0,0,0.0,13.477314337146316,0.0,5.0,0.0,1.0,0.4048555426424296,0.0,0.07245879450388593,4,3
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,200,53.32331141047402,18,0.8181818181818182,0,12,3,4,3,0,0,0.0,22.546591117339084,0.0,8.0,0.0,1.0,0.42520492264833454,0.0,0.12138619469074818,4,3
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,240,62.337809678869775,20,0.8695652173913043,0,13,3,4,3,0,0,0.0,26.306805500963964,0.0,9.0,0.0,1.0,0.23485197921696388,0.0,0.07195352174700131,4,3
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,280,70.16040905398965,22,0.9166666666666666,0,13,4,4,3,0,0,0.0,25.48390895678188,0.0,7.0,1.0,-1.0,0.2911344891391381,0.09487179487179488,0.09790267277094755,4,3
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,320,79.36603801509355,18,0.8181818181818182,0,12,1,3,3,0,0,0.0,38.45837768174426,0.0,9.0,1.0,-1.0,0.33127918935231815,0.0934065934065934,0.03369189898534697,4,3
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,360,88.21414725935738,16,0.7619047619047619,0,11,2,3,3,0,0,0.0,38.41997123418912,0.0,9.0,1.0,-1.0,0.3112011447814398,0.0934065934065934,-0.015363496001085553,4,3
