label,regime,perturbation,seed,final_time,final_edge_diff_count,final_edge_jaccard_distance,final_damaged_nodes_count,final_token_hamming,final_radius_control,final_radius_perturbed,max_radius_control,max_radius_perturbed,final_core_l1,final_regime_l1,final_delta_beta1,fit_speed_control,fit_speed_perturbed,max_ratio_speed_control,max_ratio_speed_perturbed
perturbation_multirun_v05_closed_topological_local_swap_seed101,closed_topological,local_swap,101,98.221131,20,0.869565,12,3,3,3,4,3,0.0,44.600397,0.0,0.023394,0.025966,0.091504,0.08632
perturbation_multirun_v05_closed_topological_local_swap_seed102,closed_topological,local_swap,102,99.558224,18,0.818182,12,4,2,2,3,4,0.0,15.158132,0.0,3e-06,-0.014861,0.195521,0.196067
perturbation_multirun_v05_closed_topological_local_swap_seed103,closed_topological,local_swap,103,101.747735,20,0.833333,13,4,3,2,3,3,0.0,4.27732,0.0,0.031151,0.015557,0.075094,0.103231
perturbation_multirun_v05_closed_topological_add_chord_seed101,closed_topological,add_chord,101,98.221131,17,0.772727,12,4,3,4,4,5,1.0,5.526997,1.0,0.023394,0.044488,0.091504,0.093768
perturbation_multirun_v05_closed_topological_add_chord_seed102,closed_topological,add_chord,102,99.558224,19,0.826087,12,3,2,3,3,4,1.0,8.297466,1.0,3e-06,-0.010542,0.195521,0.196067
perturbation_multirun_v05_closed_topological_add_chord_seed103,closed_topological,add_chord,103,101.747735,21,0.84,13,4,3,4,3,4,1.0,4.256594,1.0,0.012468,0.010888,0.185314,0.185314
perturbation_multirun_v05_open_topological_local_swap_seed101,open_topological,local_swap,101,98.221131,29,0.878788,13,4,2,1,3,2,7.0,123.987321,-5.0,-0.003566,-0.015883,0.17471,0.17471
perturbation_multirun_v05_open_topological_local_swap_seed102,open_topological,local_swap,102,99.558224,28,0.875,13,4,1,2,4,2,12.0,252.272254,9.0,-0.03168,0.004358,0.391041,0.195521
perturbation_multirun_v05_open_topological_local_swap_seed103,open_topological,local_swap,103,101.747735,41,0.719298,14,4,2,2,2,4,7.0,516.519202,-7.0,-0.000545,-0.015594,0.185314,0.277972
perturbation_multirun_v05_open_topological_add_chord_seed101,open_topological,add_chord,101,98.221131,36,0.837209,13,4,2,2,3,2,6.0,276.418658,5.0,-0.003566,0.0,0.17471,0.17471
perturbation_multirun_v05_open_topological_add_chord_seed102,open_topological,add_chord,102,99.558224,27,0.84375,13,3,1,2,4,2,13.0,275.993504,9.0,-0.03168,0.00172,0.391041,0.195521
perturbation_multirun_v05_open_topological_add_chord_seed103,open_topological,add_chord,103,101.747735,30,0.555556,14,4,2,2,2,3,2.0,82.238232,-2.0,-0.000545,-0.012468,0.185314,0.277972
perturbation_multirun_v05_aggressive_triad_delete_local_swap_seed101,aggressive_triad_delete,local_swap,101,98.221131,29,0.439394,13,4,1,1,2,2,7.0,916.403476,7.0,0.000399,-0.006623,0.087355,0.087355
perturbation_multirun_v05_aggressive_triad_delete_local_swap_seed102,aggressive_triad_delete,local_swap,102,99.558224,39,0.795918,13,3,2,2,3,3,1.0,52.700372,0.0,-0.00784,-0.002154,0.195521,0.195521
perturbation_multirun_v05_aggressive_triad_delete_local_swap_seed103,aggressive_triad_delete,local_swap,103,101.747735,31,0.885714,14,3,2,2,2,3,13.0,275.003585,9.0,0.0,-0.007391,0.185314,0.277972
perturbation_multirun_v05_aggressive_triad_delete_add_chord_seed101,aggressive_triad_delete,add_chord,101,98.221131,30,0.46875,13,4,1,2,3,2,2.0,398.79348,2.0,-0.002762,0.005303,0.090744,0.087355
perturbation_multirun_v05_aggressive_triad_delete_add_chord_seed102,aggressive_triad_delete,add_chord,102,99.558224,40,0.754717,13,4,2,1,3,3,8.0,168.404884,6.0,-0.00612,-0.01649,0.195521,0.293281
perturbation_multirun_v05_aggressive_triad_delete_add_chord_seed103,aggressive_triad_delete,add_chord,103,101.747735,30,0.857143,13,4,2,2,2,3,14.0,289.955913,10.0,0.0,0.000223,0.185314,0.277972
