ensemble,target_nodes,burnin_label,initial_cycle,initial_tokens_nominal,burnin_steps_nominal,extra_burnin_low,extra_burnin_high,method,seed,target_low,target_high,target_rel_tol,min_steps,max_steps,growth_steps_executed,first_hit_step,hit_target_band,in_band_snapshots,chosen_from_last_in_band,realized_tokens,realized_nodes,realized_components,realized_beta1,realized_wedges,realized_triangles,realized_spectral_radius,realized_clustering,realized_dim_proxy,realized_avg_degree,realized_beta1_per_node,realized_triangles_per_node,realized_spectral_per_sqrtN,abs_rel_size_error,within_target_band,elapsed_sec
natural24_light,24,light,10,5,528,44,91,baseline,1000,nan,nan,nan,528.0,619.0,nan,nan,0,nan,0,6.0,27.0,1.0,6.0,68.0,3.0,3.158093950284113,0.1234567901234568,1.9897011399648132,2.3703703703703702,0.2222222222222222,0.1111111111111111,0.6077754641075538,0.125,0,0.027040719985961914
natural24_light,24,light,10,5,528,44,91,baseline,1017,nan,nan,nan,528.0,619.0,nan,nan,0,nan,0,7.0,26.0,1.0,2.0,48.0,1.0,2.71881575605335,0.03205128205128205,1.614665499670331,2.076923076923077,0.07692307692307693,0.038461538461538464,0.5332036382299828,0.08333333333333333,1,0.03267550468444824
natural24_deep,24,deep,10,5,816,160,300,baseline,1000,nan,nan,nan,816.0,1116.0,nan,nan,0,nan,0,7.0,35.0,1.0,8.0,112.0,6.0,3.879057431517306,0.12489795918367345,2.2856888635418455,2.4,0.22857142857142856,0.17142857142857143,0.6556803785166244,0.4583333333333333,0,0.04630756378173828
natural24_deep,24,deep,10,5,816,160,300,baseline,1017,nan,nan,nan,816.0,1116.0,nan,nan,0,nan,0,7.0,30.0,1.0,2.0,63.0,1.0,2.8048966839148597,0.027777777777777776,1.999081413017199,2.066666666666667,0.06666666666666667,0.03333333333333333,0.5121017284172021,0.25,0,0.04360485076904297
natural48_light,48,light,12,6,1056,62,128,baseline,1000,nan,nan,nan,1056.0,1184.0,nan,nan,0,nan,0,12.0,45.0,1.0,15.0,213.0,10.0,4.359174397161337,0.2034664101330768,2.5539384898409705,2.6222222222222222,0.3333333333333333,0.2222222222222222,0.6498273518552944,0.0625,1,0.2631223201751709
natural48_light,48,light,12,6,1056,62,128,baseline,1017,nan,nan,nan,1056.0,1184.0,nan,nan,0,nan,0,17.0,40.0,1.0,8.0,130.0,6.0,3.8684515103221617,0.08464285714285714,2.10509580205038,2.35,0.2,0.15,0.6116558895268199,0.16666666666666666,0,0.22863316535949707
natural48_deep,48,deep,12,6,1632,160,300,baseline,1000,nan,nan,nan,1632.0,1932.0,nan,nan,0,nan,0,11.0,54.0,1.0,14.0,229.0,7.0,4.169309814500128,0.11531452087007643,2.591706840478182,2.4814814814814814,0.25925925925925924,0.12962962962962962,0.5673712013946277,0.125,0,0.2925262451171875
natural48_deep,48,deep,12,6,1632,160,300,baseline,1017,nan,nan,nan,1632.0,1932.0,nan,nan,0,nan,0,14.0,51.0,1.0,12.0,193.0,10.0,4.295909815258039,0.10504201680672268,2.3124501403082496,2.4313725490196076,0.23529411764705882,0.19607843137254902,0.6015476957086279,0.0625,1,0.3506898880004883
natural96_light,96,light,14,7,2112,88,181,baseline,1000,nan,nan,nan,2112.0,2293.0,nan,nan,0,nan,0,26.0,60.0,1.0,20.0,352.0,17.0,4.94845180827688,0.18269591519591522,2.9162656163714127,2.6333333333333333,0.3333333333333333,0.2833333333333333,0.6388423814322111,0.375,0,1.110520601272583
natural96_light,96,light,14,7,2112,88,181,baseline,1017,nan,nan,nan,2112.0,2293.0,nan,nan,0,nan,0,18.0,83.0,1.0,14.0,371.0,10.0,4.473971746534059,0.09752429631947704,3.109635023036472,2.3132530120481927,0.1686746987951807,0.12048192771084337,0.49108219797309344,0.13541666666666666,0,0.5045382976531982
