ensemble,burnin_label,target_nodes,growth_seed,first_hit_step,hit_target_band,growth_steps_executed,target_low,target_high,initial_nodes,initial_tokens,initial_beta1,initial_triangles,initial_spectral_radius,initial_dim_proxy,initial_clustering,initial_avg_degree,initial_beta1_per_node,initial_triangles_per_node,initial_spectral_per_sqrtN
natural48_deep,deep,48,7001,nan,0,1932.0,43.0,53.0,48.0,5.0,2.0,1.0,3.144893913562457,2.1239263699254476,0.025049603174603172,2.0416666666666665,0.041666666666666664,0.020833333333333332,0.45392633689202505
natural48_deep,deep,48,7019,nan,0,1932.0,43.0,53.0,48.0,6.0,7.0,4.0,3.1153698359949598,1.7372443638435737,0.1361111111111111,2.25,0.14583333333333334,0.08333333333333333,0.4496649033592326
natural48_deep,deep,48,7037,nan,0,1932.0,43.0,53.0,48.0,6.0,5.0,4.0,3.4745010472924975,2.4975402089558427,0.052562830687830686,2.1666666666666665,0.10416666666666667,0.08333333333333333,0.50150102873849
natural96_deep,deep,96,7001,nan,0,3646.0,86.0,106.0,96.0,7.0,5.0,4.0,3.421819193424288,2.011882307358725,0.07621527777777777,2.0833333333333335,0.052083333333333336,0.041666666666666664,0.34923795899797505
natural96_deep,deep,96,7019,nan,0,3646.0,86.0,106.0,96.0,8.0,17.0,17.0,3.954980808489784,2.296460892653958,0.1486359126984127,2.3333333333333335,0.17708333333333334,0.17708333333333334,0.4036535384708353
natural96_deep,deep,96,7037,nan,0,3646.0,86.0,106.0,96.0,5.0,14.0,13.0,3.9046038457707257,2.7823350551512673,0.12093028499278498,2.2708333333333335,0.14583333333333334,0.13541666666666666,0.398511961243631
natural192_deep,deep,192,7001,nan,0,7068.0,172.0,212.0,192.0,8.0,27.0,25.0,5.118069886388099,3.0214313006415843,0.12207377028429658,2.2708333333333335,0.140625,0.13020833333333334,0.36936487832968584
natural192_deep,deep,192,7019,nan,0,7068.0,172.0,212.0,192.0,9.0,21.0,16.0,4.068768805141835,2.0087139659412294,0.06951322751322751,2.2083333333333335,0.109375,0.08333333333333333,0.29363809561487386
natural192_deep,deep,192,7037,nan,0,7068.0,172.0,212.0,192.0,8.0,27.0,25.0,4.091936712601895,2.14279122767247,0.16123809523809524,2.2708333333333335,0.140625,0.13020833333333334,0.2953100953159521
natural256_deep,deep,256,7001,nan,0,9328.0,230.0,282.0,256.0,10.0,42.0,37.0,5.19746759531747,2.6370824529531802,0.16217398070339248,2.3203125,0.1640625,0.14453125,0.32484172470734185
natural256_deep,deep,256,7019,nan,0,9328.0,230.0,282.0,256.0,10.0,30.0,28.0,4.481860898504018,2.117559925868191,0.09908946608946609,2.2265625,0.1171875,0.109375,0.2801163061565011
natural256_deep,deep,256,7037,nan,0,9328.0,230.0,282.0,256.0,9.0,30.0,27.0,4.352236703250282,2.0935256494684253,0.07805579605579606,2.2265625,0.1171875,0.10546875,0.2720147939531426
