candidate_a,candidate_b,prob_a_gt_b_mean_composite,bootstrap_comparisons
band_best,band_zero_del,0.1125,160
band_best,band_small_death,0.18125,160
band_best,band_small_triad,0.2,160
band_best,macro_stable,0.5875,160
band_zero_del,band_best,0.8875,160
band_zero_del,band_small_death,0.6,160
band_zero_del,band_small_triad,0.58125,160
band_zero_del,macro_stable,0.89375,160
band_small_death,band_best,0.81875,160
band_small_death,band_zero_del,0.4,160
band_small_death,band_small_triad,0.45625,160
band_small_death,macro_stable,0.825,160
band_small_triad,band_best,0.8,160
band_small_triad,band_zero_del,0.41875,160
band_small_triad,band_small_death,0.54375,160
band_small_triad,macro_stable,0.8375,160
macro_stable,band_best,0.4125,160
macro_stable,band_zero_del,0.10625,160
macro_stable,band_small_death,0.175,160
macro_stable,band_small_triad,0.1625,160
