ensemble,burnin_label,target_nodes,growth_seed,first_hit_step,hit_target_band,growth_steps_executed,target_low,target_high,initial_nodes,initial_tokens,initial_beta1,initial_triangles,initial_spectral_radius,initial_dim_proxy,initial_clustering,initial_avg_degree,initial_beta1_per_node,initial_triangles_per_node,initial_spectral_per_sqrtN
natural48_deep,deep,48,10101,nan,0,1932.0,43.0,53.0,48.0,7.0,6.0,4.0,3.3067778070197416,2.2396876407703745,0.13482142857142856,2.2083333333333335,0.125,0.08333333333333333,0.4772922642582821
natural48_deep,deep,48,10130,nan,0,1932.0,43.0,53.0,48.0,5.0,5.0,4.0,3.399916572137311,2.3212460139768876,0.05555555555555555,2.1666666666666665,0.10416666666666667,0.08333333333333333,0.49073568703643655
natural48_deep,deep,48,10159,nan,0,1932.0,43.0,53.0,48.0,6.0,7.0,6.0,3.222779213279056,1.8263743277765856,0.18819444444444444,2.25,0.14583333333333334,0.125,0.46516811158134835
natural48_deep,deep,48,10188,nan,0,1932.0,43.0,53.0,48.0,6.0,11.0,10.0,3.355440127004173,1.7575204673232294,0.20932539682539683,2.4166666666666665,0.22916666666666666,0.20833333333333334,0.48431606514388287
natural96_deep,deep,96,10101,nan,0,3646.0,86.0,106.0,96.0,9.0,12.0,10.0,3.5513156558428425,2.2710761726505346,0.17630621693121692,2.2291666666666665,0.125,0.10416666666666667,0.3624546363488483
natural96_deep,deep,96,10130,nan,0,3646.0,86.0,106.0,96.0,8.0,15.0,13.0,3.723180950096923,2.4455955302559085,0.16974206349206347,2.2916666666666665,0.15625,0.13541666666666666,0.37999556449117255
natural96_deep,deep,96,10159,nan,0,3646.0,86.0,106.0,96.0,9.0,10.0,9.0,3.820111596333727,2.336176174680416,0.13199404761904762,2.1875,0.10416666666666667,0.09375,0.38988850714610573
natural96_deep,deep,96,10188,nan,0,3646.0,86.0,106.0,96.0,5.0,10.0,9.0,3.6015384090177323,2.10782642363413,0.10514219576719576,2.1875,0.10416666666666667,0.09375,0.3675804746303576
natural192_deep,deep,192,10101,nan,0,7068.0,172.0,212.0,192.0,10.0,27.0,26.0,4.981020884279142,2.6208174733805407,0.10961814220637751,2.2708333333333335,0.140625,0.13541666666666666,0.35947421854721384
natural192_deep,deep,192,10130,nan,0,7068.0,172.0,212.0,192.0,8.0,31.0,28.0,4.376541664913898,1.802580651373464,0.10233044733044733,2.3125,0.16145833333333334,0.14583333333333334,0.31584968854470646
natural192_deep,deep,192,10159,nan,0,7068.0,172.0,212.0,192.0,11.0,24.0,22.0,4.503875782509727,3.2245381185111297,0.10673015873015873,2.2395833333333335,0.125,0.11458333333333333,0.32503923692857845
natural192_deep,deep,192,10188,nan,0,7068.0,172.0,212.0,192.0,9.0,22.0,19.0,4.618129635962883,2.75182001441027,0.0776969696969697,2.21875,0.11458333333333333,0.09895833333333333,0.3332847985594699
natural256_deep,deep,256,10101,nan,0,9328.0,230.0,282.0,256.0,9.0,41.0,37.0,4.855104285739319,2.485893501740009,0.12413564213564214,2.3125,0.16015625,0.14453125,0.30344401785870745
natural256_deep,deep,256,10130,nan,0,9328.0,230.0,282.0,256.0,8.0,42.0,42.0,4.841086647674164,2.19078950303967,0.1380846560846561,2.3203125,0.1640625,0.1640625,0.30256791547963524
natural256_deep,deep,256,10159,nan,0,9328.0,230.0,282.0,256.0,9.0,33.0,33.0,4.893863583580893,2.920657083912635,0.10878021978021979,2.25,0.12890625,0.12890625,0.3058664739738058
natural256_deep,deep,256,10188,nan,0,9328.0,230.0,282.0,256.0,12.0,43.0,39.0,5.105030288660263,2.76912912275276,0.15367846967846968,2.328125,0.16796875,0.15234375,0.31906439304126644
