step,t,family,dt,M,accept_control,accept_perturbed,control_event,perturbed_event,control_tokens,perturbed_tokens,control_nodes,perturbed_nodes
1,0.01824206531779367,token,0.01824206531779367,4.122,1,1,move,move,4,4,8,8
2,0.0413120599173355,token,0.023069994599541826,4.122,1,1,move,move,4,4,8,8
3,0.16390020397696228,token,0.12258814405962679,4.122,1,1,move,move,4,4,8,8
4,0.5747460292150001,token,0.4108458252380378,4.122,1,1,swap,swap,4,4,8,8
5,0.6307761118483329,token,0.05603008263333291,4.116,1,1,move,move,4,4,8,8
6,0.9214143403187907,token,0.29063822847045767,4.131,1,1,move,move,4,4,8,8
7,0.9518277521505086,token,0.030413411831718005,4.131,1,1,move,move,4,4,8,8
8,1.1568339593562909,token,0.2050062072057822,4.15125,1,1,move,move,4,4,8,8
9,1.8577493955175854,token,0.7009154361612945,4.1298,1,1,move,move,4,4,8,8
10,1.9384256272191784,token,0.08067623170159309,4.15125,1,1,move,move,4,4,8,8
11,2.2918272884666635,token,0.35340166124748484,4.137,1,1,move,move,4,4,8,8
12,2.8112537581115777,token,0.5194264696449145,4.137,1,1,move,move,4,4,8,8
13,2.850800032077666,token,0.039546273966088064,4.137,1,1,move,move,4,4,8,8
14,2.9820334006273623,token,0.13123336854969628,4.137,1,1,move,move,4,4,8,8
15,2.995494100884438,token,0.013460700257075867,4.1235,1,1,move,move,4,4,8,8
16,3.2394406079272793,token,0.2439465070428413,4.1235,1,1,swap,swap,4,4,8,8
17,3.2792725917825307,token,0.039831983855251454,4.1175,1,1,move,move,4,4,8,8
18,3.3825828982537454,token,0.1033103064712146,4.131,1,1,move,move,4,4,8,8
19,3.408800619242383,token,0.026217720988637797,4.1115,1,1,move,move,4,4,8,8
20,3.4471762869433293,token,0.038375667700946456,4.131,1,1,move,move,4,4,8,8
21,3.5570393717543833,token,0.10986308481105381,4.158,1,1,move,move,4,4,8,8
22,4.572480482801453,token,1.0154411110470691,4.131,1,1,move,move,4,4,8,8
23,4.579551927062547,token,0.007071444261094128,4.15875,1,1,move,move,4,4,8,8
24,5.649415399631518,token,1.0698634725689717,4.137,1,1,move,move,4,4,8,8
25,6.207554648056074,token,0.5581392484245554,4.131,1,1,move,move,4,4,8,8
26,6.575494451101235,token,0.36793980304516205,4.14375,1,1,move,move,4,4,8,8
27,6.697477923510129,token,0.12198347240889319,4.131,1,1,move,move,4,4,8,8
28,7.095801679936758,token,0.39832375642662937,4.1235,1,1,move,move,4,4,8,8
29,7.099269251200999,token,0.0034675712642412045,4.137,1,1,move,move,4,4,8,8
30,7.15615492891974,token,0.05688567771874076,4.167,1,1,move,move,4,4,8,8
31,7.7382518932004585,token,0.5820969642807182,4.137,1,1,move,move,4,4,8,8
32,7.922230812255118,token,0.18397891905465985,4.125,1,1,move,move,4,4,8,8
33,8.077743666527649,token,0.1555128542725305,4.125,1,1,move,move,4,4,8,8
34,8.276354691311163,token,0.19861102478351442,4.137,1,1,move,move,4,4,8,8
35,8.418585677951533,token,0.14223098664037168,4.1175,1,1,move,move,4,4,8,8
36,9.104770787715246,token,0.6861851097637129,4.137,1,1,move,move,4,4,8,8
37,9.14042376751559,token,0.0356529798003441,4.137,1,1,move,move,4,4,8,8
38,9.689924118876124,token,0.5495003513605335,4.137,1,1,move,move,4,4,8,8
39,10.426475362852422,token,0.7365512439762973,4.137,1,1,move,move,4,4,8,8
40,10.525905722860312,token,0.09943036000789088,4.1655,1,1,move,move,4,4,8,8
41,10.622532373893009,token,0.09662665103269635,4.16775,1,1,move,move,4,4,8,8
42,10.697126728817654,token,0.07459435492464558,4.13775,1,1,move,move,4,4,8,8
43,10.769090929753073,token,0.07196420093541869,4.158,1,1,swap,swap,4,4,8,8
44,10.9031835866267,token,0.13409265687362698,4.131,1,1,move,move,4,4,8,8
45,11.380676828370238,token,0.47749324174353763,4.1595,1,1,move,move,4,4,8,8
46,11.44660078021808,token,0.06592395184784348,4.13175,1,1,move,move,4,4,8,8
47,11.529736285949594,token,0.0831355057315135,4.119,1,1,move,swap,4,4,8,8
48,11.723809183982416,token,0.19407289803282154,4.1265,1,1,move,move,4,4,8,8
49,12.160839600533201,token,0.4370304165507858,4.1175,1,1,move,move,4,4,8,8
50,12.405462715060315,token,0.2446231145271146,4.131,1,1,move,move,4,4,8,8
51,12.44859837919327,token,0.04313566413295404,4.13175,1,1,move,move,4,4,8,8
52,12.597029694054681,token,0.1484313148614126,4.1445,1,1,move,move,4,4,8,8
53,13.407471756634111,token,0.8104420625794294,4.16025,1,1,move,move,4,4,8,8
54,13.575794573111853,seed,0.16832281647774203,4.1745,1,1,seed,seed,4,4,9,9
55,13.638962306392308,token,0.06316773328045482,4.1955,1,1,move,move,4,4,9,9
56,13.733196891888479,birth,0.0942345854961715,4.18875,1,1,birth,birth,5,5,9,9
57,13.921865629834796,token,0.18866873794631686,5.23175,1,1,move,move,5,5,9,9
58,14.256563201651206,token,0.3346975718164098,5.23175,1,1,swap,move,5,5,9,9
59,14.342583802688749,token,0.0860206010375428,5.201,1,1,move,move,5,5,9,9
60,14.343218539398457,token,0.0006347367097080264,5.23025,1,1,swap,swap,5,5,9,9
61,14.398834688975807,token,0.055616149577349616,5.2253,1,1,move,move,5,5,9,9
62,14.491497227841458,token,0.09266253886565101,5.20355,1,1,move,move,5,5,9,9
63,14.548015204918363,token,0.05651797707690359,5.1833,1,1,move,move,5,5,9,9
64,14.775609735814994,token,0.22759453089663154,5.177,1,1,move,move,5,5,9,9
65,14.818368073211525,birth,0.042758337396530594,5.1968,0,1,null,birth,5,6,9,9
66,14.868594107827985,token,0.05022603461645906,6.2293,0,1,null,move,5,6,9,9
67,14.891376628842927,token,0.02278252101494296,6.2443,1,1,move,move,5,6,9,9
68,14.895424788822007,seed,0.004048159979080426,6.2122,1,1,seed,seed,5,6,10,10
69,15.189256881995163,seed,0.29383209317315706,6.24175,1,1,seed,seed,5,6,11,11
70,15.243840840779844,token,0.05458395878468045,6.27025,1,1,move,move,5,6,11,11
71,15.251766670697478,token,0.00792582991763372,6.2418571428571425,0,1,null,move,5,6,11,11
72,15.285535581610397,token,0.03376891091291805,6.234571428571429,0,1,null,move,5,6,11,11
73,15.41273260268865,token,0.12719702107825195,6.26425,1,1,move,move,5,6,11,11
74,15.420796618707726,token,0.00806401601907684,6.227285714285714,1,1,move,move,5,6,11,11
