family,dt,M,rates_control,rates_perturbed,mu,accept_control,accept_perturbed,local_overlap_prob,local_same_descriptor,local_coupling,dist_size_control,dist_size_perturbed,descriptor_control,descriptor_perturbed,control,perturbed,step,t
token,0.1794728539939939,4.415,"{'seed': 0.04, 'token': 4.0, 'birth': 0.30000000000000004, 'death': 0.06666666666666667}","{'seed': 0.04, 'token': 4.0, 'birth': 0.275, 'death': 0.07500000000000001}","{'seed': 0.04, 'token': 4.0, 'birth': 0.30000000000000004, 'death': 0.07500000000000001}",True,True,0.75,0,rank,16,16,"('swap', 1, 3, 4, 5)","('swap', 1, 3, 2, 4)","{'event': 'swap', 'token_id': 1, 'v_before': 3, 'u_before': 4, 'deg_v_before': 2, 'deg_u_before': 2, 'descriptor': ('swap', 1, 3, 4, 5)}","{'event': 'swap', 'token_id': 1, 'v_before': 3, 'u_before': 2, 'deg_v_before': 1, 'deg_u_before': 3, 'descriptor': ('swap', 1, 3, 2, 4)}",1,0.1794728539939939
token,0.18593326677877764,4.448333333333333,"{'seed': 0.04, 'token': 4.0, 'birth': 0.25, 'death': 0.08333333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.325, 'death': 0.0625}","{'seed': 0.04, 'token': 4.0, 'birth': 0.325, 'death': 0.08333333333333333}",True,True,0.5833333333333334,0,rank,14,18,"('move', 1, 4, 5)","('move', 1, 2, 4)","{'event': 'move', 'token_id': 1, 'v_before': 4, 'u_before': 5, 'deg_v_before': 1, 'deg_u_before': 3, 'descriptor': ('move', 1, 4, 5)}","{'event': 'move', 'token_id': 1, 'v_before': 2, 'u_before': 4, 'deg_v_before': 2, 'deg_u_before': 3, 'descriptor': ('move', 1, 2, 4)}",2,0.36540612077277157
token,0.07214848681463497,4.460833333333333,"{'seed': 0.04, 'token': 4.0, 'birth': 0.30000000000000004, 'death': 0.07083333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.05833333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.07083333333333333}",True,True,0.5833333333333334,1,rank,16,18,"('move', 3, 7, 6)","('move', 3, 7, 6)","{'event': 'move', 'token_id': 3, 'v_before': 7, 'u_before': 6, 'deg_v_before': 2, 'deg_u_before': 2, 'descriptor': ('move', 3, 7, 6)}","{'event': 'move', 'token_id': 3, 'v_before': 7, 'u_before': 6, 'deg_v_before': 2, 'deg_u_before': 2, 'descriptor': ('move', 3, 7, 6)}",3,0.43755460758740655
token,0.4820066781549784,4.460833333333333,"{'seed': 0.04, 'token': 4.0, 'birth': 0.30000000000000004, 'death': 0.07083333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.05833333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.07083333333333333}",True,True,0.5783333333333334,0,rank,17,18,"('move', 0, 4, 5)","('move', 0, 4, 2)","{'event': 'move', 'token_id': 0, 'v_before': 4, 'u_before': 5, 'deg_v_before': 1, 'deg_u_before': 3, 'descriptor': ('move', 0, 4, 5)}","{'event': 'move', 'token_id': 0, 'v_before': 4, 'u_before': 2, 'deg_v_before': 3, 'deg_u_before': 2, 'descriptor': ('move', 0, 4, 2)}",4,0.9195612857423849
token,0.04273881307080236,4.4525,"{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.05833333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.325, 'death': 0.0625}","{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.0625}",True,True,0.495,1,rank,19,18,"('move', 2, 7, 6)","('move', 2, 7, 6)","{'event': 'move', 'token_id': 2, 'v_before': 7, 'u_before': 6, 'deg_v_before': 2, 'deg_u_before': 2, 'descriptor': ('move', 2, 7, 6)}","{'event': 'move', 'token_id': 2, 'v_before': 7, 'u_before': 6, 'deg_v_before': 2, 'deg_u_before': 2, 'descriptor': ('move', 2, 7, 6)}",5,0.9623000988131873
token,0.03317303587445552,4.4525,"{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.05833333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.325, 'death': 0.0625}","{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.0625}",True,True,0.49000000000000005,1,rank,20,18,"('move', 3, 6, 7)","('move', 3, 6, 7)","{'event': 'move', 'token_id': 3, 'v_before': 6, 'u_before': 7, 'deg_v_before': 2, 'deg_u_before': 2, 'descriptor': ('move', 3, 6, 7)}","{'event': 'move', 'token_id': 3, 'v_before': 6, 'u_before': 7, 'deg_v_before': 2, 'deg_u_before': 2, 'descriptor': ('move', 3, 6, 7)}",6,0.9954731346876429
token,0.2460685246198444,4.4525,"{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.05833333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.325, 'death': 0.0625}","{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.0625}",True,True,0.495,0,rank,19,18,"('move', 0, 5, 4)","('move', 0, 2, 4)","{'event': 'move', 'token_id': 0, 'v_before': 5, 'u_before': 4, 'deg_v_before': 3, 'deg_u_before': 1, 'descriptor': ('move', 0, 5, 4)}","{'event': 'move', 'token_id': 0, 'v_before': 2, 'u_before': 4, 'deg_v_before': 2, 'deg_u_before': 3, 'descriptor': ('move', 0, 2, 4)}",7,1.2415416593074873
birth,0.009357686964155518,4.460833333333333,"{'seed': 0.04, 'token': 4.0, 'birth': 0.30000000000000004, 'death': 0.07083333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.05833333333333333}","{'seed': 0.04, 'token': 4.0, 'birth': 0.35000000000000003, 'death': 0.07083333333333333}",True,True,0.8809523809523809,1,rank,4,4,"('birth_tid', 1)","('birth_tid', 1)","{'event': 'birth', 'new_token_id': 4, 'node': 5, 'descriptor': ('birth_tid', 1)}","{'event': 'birth', 'new_token_id': 4, 'node': 4, 'descriptor': ('birth_tid', 1)}",8,1.250899346271643
birth,0.118738070396111,5.573333333333333,"{'seed': 0.04, 'token': 5.0, 'birth': 0.4, 'death': 0.08333333333333333}","{'seed': 0.04, 'token': 5.0, 'birth': 0.45, 'death': 0.07083333333333333}","{'seed': 0.04, 'token': 5.0, 'birth': 0.45, 'death': 0.08333333333333333}",False,True,0.0,0,rank,0,5,,"('birth_tid', 3)",{'event': 'null'},"{'event': 'birth', 'new_token_id': 5, 'node': 7, 'descriptor': ('birth_tid', 3)}",9,1.3696374166677538
token,0.23036559891419817,6.6525,"{'seed': 0.04, 'token': 5.0, 'birth': 0.4, 'death': 0.08333333333333333}","{'seed': 0.04, 'token': 6.0, 'birth': 0.525, 'death': 0.08750000000000001}","{'seed': 0.04, 'token': 6.0, 'birth': 0.525, 'death': 0.08750000000000001}",True,True,0.38622222222222224,0,rank,22,27,"('move', 4, 5, 3)","('move', 5, 7, 0)","{'event': 'move', 'token_id': 4, 'v_before': 5, 'u_before': 3, 'deg_v_before': 3, 'deg_u_before': 2, 'descriptor': ('move', 4, 5, 3)}","{'event': 'move', 'token_id': 5, 'v_before': 7, 'u_before': 0, 'deg_v_before': 2, 'deg_u_before': 2, 'descriptor': ('move', 5, 7, 0)}",10,1.600003015581952
