r_birth,r_death,p_swap,p_triad,p_del,ensemble_rows,natural_ensemble_rows,mean_composite_all,mean_composite_natural,min_composite_natural,sd_composite_natural,ci_low_mean_composite_natural,ci_high_mean_composite_natural,mean_repair_natural,mean_causal_natural,mean_quasi_natural,mean_geom_natural,mean_initial_nodes_natural,mean_initial_tokens_natural,mean_radius_natural,mean_overlap_natural
0.02,0.0,0.02,0.0,0.01,4,3,0.714604878173677,0.7295908294999296,0.649618859770436,0.05656350310208407,0.6880905169073109,0.771160439306994,0.5305108129180578,0.7909257178548668,0.8615025871459695,0.8694004904284939,42.333333333333336,8.933333333333334,2.8666666666666667,0.6595855953434734
0.02,0.02,0.02,0.02,0.0,4,3,0.6885701298491975,0.7167020397522103,0.6344107340075635,0.10035720929481079,0.6344107340075635,0.8579898911988334,0.6366821173277682,0.8239156702988228,0.7567572167755992,0.6826646887883292,42.333333333333336,8.933333333333334,2.9333333333333336,0.6598419034109062
0.02,0.02,0.02,0.0,0.01,4,3,0.664896830399414,0.674149358926929,0.6203623688406713,0.05856266810139296,0.6203623688406713,0.7555827376867149,0.47525490926733577,0.7666593886331455,0.7838065087145969,0.7969199589107785,42.333333333333336,8.933333333333334,2.9333333333333336,0.6432851753165112
0.02,0.02,0.02,0.0,0.0,4,3,0.659054999834251,0.662260426349195,0.5889603429343522,0.09884103969154384,0.5889603429343522,0.7349870480966875,0.4710207660446267,0.666865388825499,0.8569648692810458,0.7964691858549585,42.333333333333336,8.933333333333334,3.6,0.6444871329701435
0.02,0.0,0.02,0.0,0.0,4,3,0.6457020781840307,0.666123435857393,0.5857763706172837,0.10427445861143567,0.5857763706172837,0.7437780400175725,0.45966419660121166,0.6869341713120074,0.8772365196078431,0.7903006014869922,42.333333333333336,8.933333333333334,3.6,0.6491875029164277
0.08,0.02,0.02,0.0,0.01,4,3,0.6239831364962917,0.6353914710410337,0.5684058842892336,0.08974980073681205,0.5684058842892336,0.7000063153242245,0.6096406003888283,0.52843225048227,0.7614782718643013,0.6880677195575804,42.333333333333336,8.933333333333334,3.5333333333333337,0.6638756544529743
0.02,0.05,0.02,0.0,0.01,4,3,0.6663139793754813,0.6499824971903111,0.5653140484810057,0.09894312978423928,0.5653140484810057,0.7244761416995641,0.4275768123052786,0.72776958379499,0.8122714363523187,0.7796696483212614,42.333333333333336,8.933333333333334,3.1999999999999997,0.6299931957734909
0.02,0.0,0.02,0.0,0.02,4,3,0.6699028550228721,0.6595941802661608,0.531798311554677,0.11621594054675002,0.5650110629515728,0.8129928364679108,0.5833260681581508,0.7085375230029648,0.7363289760348584,0.6551494022654755,42.333333333333336,8.933333333333334,3.1999999999999997,0.6735069331575889
0.02,0.05,0.02,0.0,0.02,4,3,0.6796845093918614,0.6157925065479439,0.559576867086639,0.0424516507261293,0.559576867086639,0.6621504052928732,0.4068285137806252,0.6716001768422111,0.7949686819172114,0.7325437306536501,42.333333333333336,8.933333333333334,3.333333333333333,0.6391698495653061
0.08,0.02,0.02,0.0,0.04,4,3,0.605157402251544,0.6111831760255557,0.5505594890018434,0.04504074044136357,0.5505594890018434,0.6584236602978999,0.628926123466067,0.4906381471038333,0.6039385893246187,0.7380588908577509,42.333333333333336,8.933333333333334,3.6,0.6897360607429773
