ensemble,seed,candidate_name,r_birth,r_death,p_swap,p_triad,p_del,meeting,first_meeting_time,final_radius_control,total_unequal_time,avg_local_overlap,avg_same_descriptor,shared_token_fraction_final,shared_node_fraction_final,fit_speed_control,final_edge_diff_count,abs_delta_tokens,abs_delta_nodes,abs_delta_beta1,abs_delta_triangles,abs_delta_spectral_radius,abs_delta_clustering,abs_delta_dim_proxy,initial_nodes,initial_tokens,initial_beta1,initial_triangles,initial_spectral_radius,initial_dim_proxy
toy_cycle8,101,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,2.0,11.4074159776247,0.2997864949038705,0.2689075630252101,0.8235294117647058,1.0,0.17169479275934996,6.0,1.0,0.0,0.0,0.0,0.20278898470586393,0.0,0.06938216856898904,8.0,4.0,1.0,0.0,2.0,1.0968571310647857
toy_cycle8,102,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,3.0,12.340869983219642,0.4791585056769938,0.5333333333333333,0.8,1.0,0.2615650334250806,6.0,4.0,0.0,0.0,0.0,0.27548607480540843,0.0,0.29294652940825316,8.0,4.0,1.0,0.0,2.0,1.0968571310647857
toy_cycle8,103,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,3.0,13.84755889251957,0.46074794468819225,0.4700854700854701,0.9375,1.0,0.2318636639494505,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08670557050490757,8.0,4.0,1.0,0.0,2.0,1.0968571310647857
toy_cycle8,104,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,3.0,13.652468840379345,0.6979895609805933,0.7,0.6842105263157895,1.0,0.11322254285883651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,2.0,1.0968571310647857
toy_cycle8,105,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,3.0,11.809183460882778,0.387992789448153,0.39166666666666666,0.875,1.0,0.21426732283880037,6.0,0.0,0.0,0.0,0.0,0.014171711421182565,0.0,0.11729680449252156,8.0,4.0,1.0,0.0,2.0,1.0968571310647857
natural24,101,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,3.0,48.594156355231185,0.446129508121575,0.46236559139784944,0.48484848484848486,1.0,0.37811458815286275,2.0,9.0,0.0,0.0,0.0,0.06981909029753508,0.0,0.16879994171344137,26.0,8.0,1.0,0.0,2.6237013224059,1.6473098575341685
natural24,102,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,3.0,61.83768044698997,0.7394235869521553,0.7029702970297029,0.5,1.0,0.5185572978173836,4.0,7.0,0.0,0.0,0.0,0.13363083474516513,0.005381944444444453,0.09663628497849741,32.0,6.0,3.0,2.0,3.447641427497026,2.5464416979494686
natural24,103,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,4.0,126.31864995404311,0.21732020956743237,0.25609756097560976,0.3333333333333333,1.0,0.2136165862646256,2.0,6.0,0.0,0.0,0.0,0.012317924310211392,0.0,0.0,45.0,2.0,2.0,1.0,3.4244254690327125,2.3690795840246075
natural24,104,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,3.0,75.7134625117874,0.5211872600842056,0.5625,0.5714285714285714,1.0,0.36464460428795614,4.0,5.0,0.0,0.0,0.0,0.10518340826873152,0.0,0.008575232105170638,34.0,3.0,2.0,0.0,3.266229954316078,2.4594367145855713
natural24,105,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,4.0,60.89729707756659,0.339397692926392,0.2761904761904762,0.3125,1.0,0.32980539684392673,8.0,6.0,0.0,0.0,0.0,0.31026353299692433,0.0,0.13230153086245533,29.0,4.0,2.0,0.0,3.0576180360933045,2.3651992796878725
natural48,101,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,3.0,130.5084439769274,0.7696078678185327,0.7522123893805309,0.7586206896551724,1.0,0.546740065205892,6.0,5.0,0.0,0.0,0.0,0.05944771336135535,0.001029159519725556,0.009379844265559711,53.0,10.0,7.0,4.0,4.145887947686547,2.9525170294252394
natural48,102,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,4.0,134.66692863045105,0.8657492765913342,0.8771929824561403,0.8611111111111112,1.0,1.046054143077223,1.0,3.0,0.0,1.0,1.0,0.01630583718699441,0.025831087151841903,0.14949047341747645,53.0,12.0,13.0,13.0,4.3344201912397295,2.320558330419931
natural48,103,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,3.0,161.70068529706813,0.8820950831901102,0.8416666666666667,0.7714285714285715,1.0,0.5068201528840058,2.0,0.0,0.0,0.0,1.0,0.05132298880198061,0.008022437332782156,0.0015567846968225219,58.0,8.0,10.0,8.0,4.25628009890024,3.0098543544915417
natural48,104,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,0,-1.0,4.0,120.22121749506618,0.8466119403244177,0.7916666666666666,0.9259259259259259,1.0,1.3506254727377873,2.0,0.0,0.0,0.0,2.0,0.06728496549123886,0.029619047619047614,0.030194087674623837,49.0,24.0,10.0,5.0,3.890674850160077,2.4612490891036085
