after_beta1,after_c4,after_clustering,after_components,after_dim_proxy,after_nodes,after_spectral_radius,after_star3,after_tokens,after_triangles,after_wedges,before_beta1,before_c4,before_clustering,before_components,before_dim_proxy,before_nodes,before_spectral_radius,before_star3,before_tokens,before_triangles,before_wedges,bridge_source_destination_before,channel,common_source_destination_before,common_source_target_before,d_beta1,d_c4,d_clustering,d_components,d_dim_proxy,d_nodes,d_spectral_radius,d_star3,d_tokens,d_triangles,d_wedges,deg_destination_before,deg_source_before,deg_target_before,destination,event,graph_was_empty,host,host_deg_before,i,locality_nodes,pred_beta1,pred_c4,pred_clustering,pred_components,pred_dim_proxy,pred_nodes,pred_spectral_radius,pred_star3,pred_tokens,pred_triangles,pred_wedges,rule_name,source,t_after,t_before,target,token_index
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,1,move,False,,,0,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,2,0.08443526201154314,0.0,,2
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,3,move,False,,,1,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,2,0.15510701895319629,0.08443526201154314,,3
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,2,move,False,,,2,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,3,0.5554474476074176,0.15510701895319629,,3
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,2,move,False,,,3,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,3,0.5713019872334102,0.5554474476074176,,1
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,3,move,False,,,4,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,2,0.759232819090628,0.5713019872334102,,1
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,2,move,False,,,5,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,1,1.287860832937258,0.759232819090628,,2
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,4,move,False,,,6,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,3,1.9816102442048673,1.287860832937258,,1
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,1,move,False,,,7,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,2,2.6051698674786694,1.9816102442048673,,2
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,3,move,False,,,8,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,2,2.936726040137406,2.6051698674786694,,3
1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.5249880894733757,6.0,2.0,0.0,4.0,0.0,6.0,False,token,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,,3,move,False,,,9,"0,1,2,3,4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,move,4,2.938002877132887,2.936726040137406,,0
