seed,final_t,final_radius_control,max_radius_control,final_radius_perturbed,max_radius_perturbed,final_edge_diff_count,final_damaged_nodes_count,final_delta_tokens,final_delta_beta1,final_core_l1,final_regime_l1,fit_speed_control,both_accept_total,one_sided_total,null_total,both_accept_frac,one_sided_frac,seed_potential,seed_both,seed_one_sided,seed_null,token_potential,token_both,token_one_sided,token_null,birth_potential,birth_both,birth_one_sided,birth_null,death_potential,death_both,death_one_sided,death_null,regime
1000,164.63847126148247,4,5,3,5,22,14,13.0,0.0,13.0,3.2695493824635387,0.0024319485417956155,4632,368,0,0.9264,0.0736,6,6,0,0,4866,4517,349,0,112,95,17,0,16,14,2,0,token_open_moderate
1001,159.7465892972848,2,4,2,4,16,10,1.0,0.0,1.0,22.576726595451216,0.0012032570101014328,4741,259,0,0.9482,0.0518,2,2,0,0,4870,4624,246,0,111,102,9,0,17,13,4,0,token_open_moderate
1002,129.09531496872435,6,6,6,6,28,16,7.0,0.0,7.0,3.182497551768638,0.015855643489945854,4495,505,0,0.899,0.101,8,8,0,0,4860,4370,490,0,112,100,12,0,20,17,3,0,token_open_moderate
1003,183.44346124662098,5,6,3,6,24,14,-18.0,0.0,18.0,15.501447426691689,0.007154404173251798,4201,799,0,0.8402,0.1598,6,6,0,0,4880,4101,779,0,101,83,18,0,13,11,2,0,token_open_moderate
1004,184.31823281824555,3,5,3,4,20,12,-26.0,0.0,26.0,7.4422429784869975,0.0063952580964981905,3739,1261,0,0.7478,0.2522,4,4,0,0,4880,3659,1221,0,98,64,34,0,18,12,6,0,token_open_moderate
1005,127.48658768938971,4,6,2,5,34,18,-2.0,0.0,2.0,31.60354054960674,0.017463946223335716,4730,270,0,0.946,0.054,10,10,0,0,4862,4608,254,0,115,101,14,0,13,11,2,0,token_open_moderate
1006,158.63832706525034,5,5,3,6,24,14,21.0,0.0,21.0,14.358572861125024,0.00934213304917367,4681,319,0,0.9362,0.0638,6,6,0,0,4859,4569,290,0,123,96,27,0,12,10,2,0,token_open_moderate
1007,152.35569384713585,3,4,3,5,16,10,-13.0,0.0,13.0,23.350491811801657,0.0016633994411076535,4249,751,0,0.8498,0.1502,2,2,0,0,4873,4137,736,0,106,93,13,0,19,17,2,0,token_open_moderate
1008,204.24601516204743,3,4,2,4,14,10,10.0,0.0,10.0,6.4474552629498,-0.0019948768568192193,4567,433,0,0.9134,0.0866,2,2,0,0,4883,4470,413,0,106,88,18,0,9,7,2,0,token_open_moderate
1009,175.4385439127974,3,7,4,5,22,15,-19.0,0.0,19.0,16.257606129804586,0.013795040980470017,4153,847,0,0.8306,0.1694,7,7,0,0,4855,4039,816,0,118,91,27,0,20,16,4,0,token_open_moderate
1010,150.5768346946701,3,5,3,5,18,13,-1.0,0.0,1.0,17.423130258934666,0.0012090828227582708,4823,177,0,0.9646,0.0354,5,5,0,0,4861,4699,162,0,121,106,15,0,13,13,0,0,token_open_moderate
1011,199.29992349138143,5,5,4,4,30,15,18.0,0.0,18.0,21.47497250465042,0.0052603182620801206,3862,1138,0,0.7724,0.2276,7,7,0,0,4890,3776,1114,0,86,65,21,0,17,14,3,0,token_open_moderate
1012,157.6473255695877,3,4,3,6,22,13,-8.0,0.0,8.0,10.569287770372071,0.0009236491105388649,4823,177,0,0.9646,0.0354,5,5,0,0,4856,4691,165,0,127,115,12,0,12,12,0,0,token_open_moderate
1013,206.36478443028923,5,6,5,7,34,20,6.0,0.0,6.0,2.7031215847663423,0.01384350029551389,4692,308,0,0.9384,0.0616,12,12,0,0,4852,4564,288,0,117,99,18,0,19,17,2,0,token_open_moderate
1014,174.14737180428432,4,5,3,6,26,15,-8.0,0.0,8.0,5.554556887998457,0.00017136919621564081,4349,651,0,0.8698,0.1302,7,7,0,0,4871,4232,639,0,107,95,12,0,15,15,0,0,token_open_moderate
1015,151.080816820358,2,4,2,4,20,13,-22.0,0.0,22.0,2.4764498687540675,4.1533326612084306e-05,4169,831,0,0.8338,0.1662,5,5,0,0,4855,4056,799,0,127,98,29,0,13,10,3,0,token_open_moderate
1016,164.0920255990214,5,6,4,5,30,17,25.0,0.0,25.0,3.125192281222344,0.013773487743617596,3702,1298,0,0.7404,0.2596,9,9,0,0,4867,3604,1263,0,105,75,30,0,19,14,5,0,token_open_moderate
1017,203.63130543699282,3,8,4,6,30,17,-24.0,0.0,24.0,18.235255999262495,0.012808683432703397,3632,1368,0,0.7264,0.2736,9,9,0,0,4861,3531,1330,0,110,78,32,0,20,14,6,0,token_open_moderate
1018,132.83334110295885,3,4,5,5,14,11,10.0,0.0,10.0,10.375338753272503,-0.0019681559522507076,4799,201,0,0.9598,0.0402,3,3,0,0,4835,4648,187,0,147,133,14,0,15,15,0,0,token_open_moderate
1019,166.53023724848254,2,5,2,5,22,13,9.0,0.0,9.0,27.77597182994706,0.007516952640362439,4250,750,0,0.85,0.15,5,5,0,0,4884,4151,733,0,99,83,16,0,12,11,1,0,token_open_moderate
