step,t,edge_diff_count,node_diff_count,damaged_nodes_count,token_hamming_shared,token_id_symdiff,radius_control,radius_perturbed,nearest_control,nearest_perturbed,core_l1,regime_l1,delta_tokens,delta_nodes,delta_components,delta_beta1,delta_triangles,delta_spectral_radius,delta_clustering,delta_dim_proxy
0,0.0,2,0,3,0,0,0,0,0,0,0.0,2.1146681021212803,0.0,0.0,0.0,0.0,0.0,0.08965993630731717,0.0,0.025008165813963368
50,12.405462715060315,6,0,7,2,0,2,2,0,0,0.0,4.101854353887995,0.0,0.0,0.0,0.0,0.0,0.10134223913938722,0.0,0.0005121147486079058
100,18.094655077754293,20,0,11,6,1,4,4,0,0,1.0,6.2633658717533525,1.0,0.0,0.0,0.0,0.0,-0.12877831658587757,0.0,-0.13458755516747534
150,23.31067141708446,16,0,11,7,1,4,4,0,0,1.0,21.416492797388806,1.0,0.0,0.0,0.0,0.0,-0.19180531024653558,0.0,-0.22468748714227105
200,28.584891834682324,20,0,13,7,1,3,5,0,0,1.0,41.44932015624347,1.0,0.0,0.0,0.0,0.0,-0.13957465809851,0.0,-0.30974549814496355
250,32.94523914150826,22,0,13,9,2,3,4,0,0,0.0,4.132671429346761,0.0,0.0,0.0,0.0,0.0,-0.02848446441098229,0.0,-0.10418696493577895
300,36.66775815917126,24,0,13,8,3,4,4,0,0,1.0,35.17808146782134,1.0,0.0,0.0,0.0,0.0,0.15896628673979496,0.0,0.019115181081545307
350,40.39805875658432,20,0,13,6,5,3,4,0,0,3.0,1.198287731234022,3.0,0.0,0.0,0.0,0.0,-0.03645905295020979,0.0,-0.1618286782838123
400,43.80276527497449,22,0,13,10,5,4,4,0,0,3.0,24.525305644534036,3.0,0.0,0.0,0.0,1.0,0.4250204572783187,0.056410256410256404,0.043874930845460236
450,47.14153533708847,20,0,13,10,5,4,4,0,0,3.0,27.581324555687985,3.0,0.0,0.0,0.0,1.0,0.4844093766344768,0.056410256410256404,0.040504922643250785
500,50.983823618930785,22,0,13,12,6,4,3,0,0,4.0,17.6689729784009,4.0,0.0,0.0,0.0,1.0,0.46133571456074796,0.04615384615384615,0.1614834176863068
550,53.47922462156075,24,0,14,14,6,5,3,0,0,4.0,13.605630788573981,4.0,0.0,0.0,0.0,1.0,0.4477063872970999,0.03571428571428571,0.12221011556259465
600,56.100176218053655,24,0,14,14,6,5,2,0,0,4.0,10.466635948251918,4.0,0.0,0.0,0.0,1.0,0.3292521868296743,0.054761904761904755,-0.08262185666033894
650,58.99843974059335,22,0,14,16,6,3,2,0,0,4.0,5.059054650689874,4.0,0.0,0.0,0.0,0.0,0.009716598418762157,0.0,-0.04933805227111232
700,61.240950140067945,18,0,14,19,6,3,3,0,0,4.0,15.219918935665662,4.0,0.0,0.0,0.0,0.0,-0.07175416526429768,0.0,-0.14816477040136522
750,63.187405993183106,16,0,14,20,8,3,3,0,0,4.0,15.323920275172213,4.0,0.0,0.0,0.0,0.0,-0.15670563674734383,0.0,-0.16721463842487005
800,64.83818978173251,16,0,14,19,8,3,3,0,0,4.0,15.323920275172213,4.0,0.0,0.0,0.0,0.0,-0.15670563674734383,0.0,-0.16721463842487005
850,66.3426503065559,16,0,14,24,8,3,3,0,0,4.0,15.323920275172213,4.0,0.0,0.0,0.0,0.0,-0.15670563674734383,0.0,-0.16721463842487005
