step,t,family,dt,M,accept_control,accept_perturbed,control_event,perturbed_event,control_tokens,perturbed_tokens,control_nodes,perturbed_nodes
1,0.1740115871611235,token,0.1740115871611235,4.74,1,1,move,move,4,4,10,10
2,0.28984234885851096,token,0.11583076169738747,4.74,1,1,move,move,4,4,10,10
3,0.47376495500654703,birth,0.18392260614803604,4.74,1,1,birth,birth,5,5,10,10
4,0.7512420549175272,token,0.2774770999109802,5.9,1,1,swap,swap,5,5,10,10
5,0.8369393933276359,token,0.08569733841010874,5.8,1,1,move,move,5,5,10,10
6,1.039870949101885,birth,0.202931555774249,5.86,1,1,birth,birth,6,6,10,10
7,1.117339420265169,token,0.07746847116328394,7.08,1,1,triad,triad,6,6,10,10
8,1.4017724324035474,token,0.2844330121383784,7.235,1,1,move,move,6,6,10,10
9,1.5242712132511098,token,0.12249878084756245,7.29,1,1,move,move,6,6,10,10
10,1.6722994319884938,token,0.14802821873738406,7.23,1,1,move,move,6,6,10,10
11,1.8456275805921598,birth,0.173328148603666,7.115,1,1,birth,birth,7,7,10,10
12,2.072059383744147,token,0.22643180315198713,8.33,1,1,move,move,7,7,10,10
13,2.1170728311066354,token,0.04501344736248831,8.445,1,1,move,move,7,7,10,10
14,2.131064494814059,token,0.013991663707423522,8.445,1,1,move,move,7,7,10,10
15,2.1780306112552377,birth,0.04696611644117867,8.505,1,1,birth,birth,8,8,10,10
16,2.193913782578953,token,0.015883171323715372,9.72,1,1,triad,triad,8,8,10,10
17,2.215393592079584,birth,0.02147980950063141,9.832,1,1,birth,birth,9,9,10,10
18,2.2443052265742534,token,0.028911634494669304,11.112,1,1,move,move,9,9,10,10
19,2.343421037695588,token,0.09911581112133461,11.177,1,1,move,move,9,9,10,10
20,2.3823012592204984,birth,0.03888022152491032,11.185,1,1,birth,birth,10,10,10,10
21,2.653834040645227,token,0.2715327814247287,12.46,1,1,move,move,10,10,10,10
22,2.7634872899380722,token,0.10965324929284526,12.285,1,1,move,move,10,10,10,10
23,2.8425040491445994,token,0.07901675920652713,12.34,1,1,move,move,10,10,10,10
24,2.9121845203513055,token,0.06968047120670626,12.272,1,1,move,move,10,10,10,10
25,2.9686617219133224,token,0.05647720156201697,12.152,1,1,triad,triad,10,10,10,10
26,3.0688491709004344,token,0.10018744898711185,12.26,1,1,move,move,10,10,10,10
27,3.0906476387477264,token,0.021798467847291957,12.263,1,1,move,move,10,10,10,10
28,3.1187735302354036,token,0.028125891487677274,12.315,1,1,move,move,10,10,10,10
29,3.135275378960671,birth,0.016501848725267068,12.372,1,1,birth,birth,11,11,10,10
30,3.206390126270689,token,0.071114747310018,13.644,1,1,move,move,11,11,10,10
31,3.26341553738881,token,0.05702541111812104,13.82,1,1,move,move,11,11,10,10
32,3.3221950611529643,token,0.058779523764154004,13.703,1,1,move,move,11,11,10,10
33,3.3327696359043846,token,0.010574574751420283,13.64,1,1,move,move,11,11,10,10
34,3.4801553004207375,token,0.1473856645163531,13.595,1,1,move,move,11,11,10,10
35,3.6395501222699838,token,0.1593948218492462,13.663,1,1,move,move,11,11,10,10
36,3.7617771200232886,token,0.12222699775330492,13.655,1,1,move,move,11,11,10,10
37,3.7732618911150935,token,0.011484771091805075,13.723,1,1,delete,delete,11,11,10,10
38,3.8842185618398113,birth,0.11095667072471771,13.379,1,0,birth,null,12,11,10,10
39,4.018282524910765,token,0.1340639630709533,14.521,1,1,move,move,12,11,10,10
40,4.04655195981178,token,0.028269434901015564,14.521,1,1,move,move,12,11,10,10
41,4.269741152649463,token,0.223189192837682,14.521,1,1,triad,triad,12,11,10,10
42,4.3131652538308005,birth,0.04342410118133788,14.635,1,1,birth,birth,13,12,10,10
43,4.430591578673561,token,0.11742632484276048,15.907,1,1,move,move,13,12,10,10
44,4.441142609605966,token,0.010551030932404351,15.964,1,1,move,move,13,12,10,10
45,4.456359117071051,token,0.015216507465085,15.964,1,1,move,triad,13,12,10,10
46,4.591890968514464,token,0.13553185144341365,15.947000000000001,1,1,move,move,13,12,10,10
47,4.729203725001492,token,0.1373127564870271,15.857,1,1,move,move,13,12,10,10
48,4.831363572377153,token,0.10215984737566118,15.914,1,1,move,move,13,12,10,10
49,4.904306197194438,token,0.07294262481728432,15.964,1,1,swap,move,13,12,10,10
50,4.940000867594071,token,0.035694670399632894,15.836,1,1,swap,swap,13,12,10,10
51,4.959242273647494,token,0.019241406053423317,15.605,1,1,move,move,13,12,10,10
52,4.984439799085807,token,0.025197525438314106,15.565,1,1,move,move,13,12,10,10
53,5.035639943593464,birth,0.05120014450765607,15.615,1,1,birth,birth,14,13,10,10
54,5.044259730020673,birth,0.008619786427209477,16.83,1,1,birth,birth,15,14,10,10
55,5.094477118907743,birth,0.05021738888706999,18.045,1,1,birth,birth,16,15,10,10
56,5.132422027496105,token,0.03794490858836197,19.26,1,1,move,move,16,15,10,10
57,5.251151606277298,token,0.11872957878119246,19.317,1,1,move,swap,16,15,10,10
58,5.266731593832996,token,0.015579987555698158,19.267,1,1,move,move,16,15,10,10
59,5.2764973612220984,token,0.00976576738910201,19.217,1,1,move,move,16,15,10,10
60,5.3343572205324055,token,0.0578598593103071,19.217,1,1,move,move,16,15,10,10
61,5.416108498082754,token,0.08175127755034903,19.16,1,1,move,move,16,15,10,10
62,5.462608604902795,token,0.046500106820041145,19.217,1,1,move,move,16,15,10,10
63,5.4911976485465015,token,0.02858904364370685,19.217,1,1,move,move,16,15,10,10
64,5.53165751178635,token,0.04045986323984851,19.217,1,1,move,move,16,15,10,10
65,5.579221925899908,token,0.04756441411355839,19.274,1,1,delete,delete,16,15,10,10
66,5.635840515267083,token,0.056618589367174496,18.984,1,1,move,move,16,15,10,10
67,5.822674308687046,token,0.18683379341996306,19.049,1,1,move,move,16,15,10,10
68,5.876199130862139,token,0.05352482217509262,18.984,1,1,move,move,16,15,10,10
69,5.995934609795854,token,0.11973547893371571,19.001,1,1,delete,delete,16,15,10,10
70,6.020185974622203,birth,0.024251364826349143,18.676000000000002,1,1,birth,birth,17,16,10,10
71,6.027749269899401,token,0.007563295277197713,19.846,1,1,move,move,17,16,10,10
72,6.0529140609481145,token,0.02516479104871357,19.858,1,1,delete,delete,17,16,10,10
73,6.099253047543689,token,0.0463389865955745,19.699,1,1,move,move,17,16,10,10
74,6.240741108976732,token,0.14148806143304335,19.777,1,1,move,move,17,16,10,10
75,6.2502386474790566,token,0.009497538502323755,19.759,1,1,move,move,17,16,10,10
76,6.255086416437503,token,0.004847768958446328,19.704,1,1,move,move,17,16,10,10
77,6.344603503504961,birth,0.08951708706745769,19.746,1,1,birth,birth,18,17,10,10
78,6.38352619197174,token,0.03892268846677885,20.958,1,1,move,move,18,17,10,10
79,6.416856102597721,token,0.03332991062598142,21.023,1,1,triad,triad,18,17,10,10
80,6.468625942727102,token,0.05176984012938114,21.423,1,1,move,move,18,17,10,10
81,6.593678742296075,token,0.12505279956897294,21.418,1,1,triad,triad,18,17,10,10
82,6.614611742642142,token,0.020933000346066346,21.745,1,1,move,move,18,17,10,10
83,6.6269455308690945,birth,0.012333788226952564,21.688,1,1,birth,birth,19,18,10,10
84,6.6817544188519715,token,0.05480888798287679,22.96,1,1,delete,delete,19,18,10,10
85,6.691222847980196,token,0.009468429128224346,22.705000000000002,1,1,move,move,19,18,10,10
86,6.73874052003768,token,0.04751767205748428,22.71,1,1,delete,delete,19,18,9,10
87,6.760839145956051,token,0.02209862591836987,22.32,1,1,move,move,19,18,9,10
88,6.789588957520093,token,0.0287498115640423,22.39,1,1,move,move,19,18,9,10
89,6.796076303039708,token,0.0064873455196158185,22.335,1,1,move,move,19,18,9,10
90,7.118805975338051,token,0.32272967229834276,22.28,1,0,triad,null,19,18,9,10
91,7.1346172746332,token,0.015811299295149267,22.652,1,1,move,move,19,18,9,10
92,7.184777244842923,birth,0.05015997020972265,22.54,1,1,birth,birth,20,19,9,10
93,7.212264129041484,token,0.02748688419856081,23.7,1,1,triad,move,20,19,9,10
94,7.24234097825716,token,0.0300768492156762,23.925,1,1,delete,move,20,19,9,10
95,7.3010637035578565,token,0.05872272530069633,23.52,1,1,move,move,20,19,9,10
96,7.302562107614675,token,0.0014984040568190521,23.632,1,1,move,move,20,19,9,10
97,7.410136605119824,token,0.1075744975051486,23.47,1,1,move,move,20,19,9,10
98,7.424495631540762,token,0.01435902642093853,23.575,1,1,move,move,20,19,9,10
99,7.484110190097342,token,0.05961455855657919,23.737000000000002,1,1,move,move,20,19,9,10
100,7.581752749059761,token,0.09764255896241908,23.794,1,1,move,move,20,19,9,10
101,7.5965086783964155,token,0.014755929336654447,23.851,1,1,move,move,20,19,9,10
102,7.642462145672428,token,0.045953467276012384,23.908,1,1,move,move,20,19,9,10
103,7.654057734712925,token,0.011595589040497428,23.746,1,1,move,move,20,19,9,10
104,7.749789445167132,token,0.09573171045420763,23.584,1,1,move,move,20,19,9,10
105,7.754371146966705,token,0.004581701799572764,23.746,1,1,move,move,20,19,9,10
106,7.768860752900464,token,0.014489605933758556,23.803,1,1,move,move,20,19,9,10
