r_birth,r_death,p_swap,p_triad,p_del,runs,mean_meeting,sd_meeting,ci_low_meeting,ci_high_meeting,mean_first_meeting_time,sd_first_meeting_time,ci_low_first_meeting_time,ci_high_first_meeting_time,mean_final_radius_control,sd_final_radius_control,ci_low_final_radius_control,ci_high_final_radius_control,mean_total_unequal_time,sd_total_unequal_time,ci_low_total_unequal_time,ci_high_total_unequal_time,mean_avg_local_overlap,sd_avg_local_overlap,ci_low_avg_local_overlap,ci_high_avg_local_overlap,mean_avg_same_descriptor,sd_avg_same_descriptor,ci_low_avg_same_descriptor,ci_high_avg_same_descriptor,mean_shared_token_fraction_final,sd_shared_token_fraction_final,ci_low_shared_token_fraction_final,ci_high_shared_token_fraction_final,mean_shared_node_fraction_final,sd_shared_node_fraction_final,ci_low_shared_node_fraction_final,ci_high_shared_node_fraction_final,mean_fit_speed_control,sd_fit_speed_control,ci_low_fit_speed_control,ci_high_fit_speed_control,mean_final_edge_diff_count,sd_final_edge_diff_count,ci_low_final_edge_diff_count,ci_high_final_edge_diff_count,mean_abs_delta_tokens,sd_abs_delta_tokens,ci_low_abs_delta_tokens,ci_high_abs_delta_tokens,mean_abs_delta_nodes,sd_abs_delta_nodes,ci_low_abs_delta_nodes,ci_high_abs_delta_nodes,mean_abs_delta_beta1,sd_abs_delta_beta1,ci_low_abs_delta_beta1,ci_high_abs_delta_beta1,mean_abs_delta_triangles,sd_abs_delta_triangles,ci_low_abs_delta_triangles,ci_high_abs_delta_triangles,mean_abs_delta_spectral_radius,sd_abs_delta_spectral_radius,ci_low_abs_delta_spectral_radius,ci_high_abs_delta_spectral_radius,mean_abs_delta_clustering,sd_abs_delta_clustering,ci_low_abs_delta_clustering,ci_high_abs_delta_clustering,mean_abs_delta_dim_proxy,sd_abs_delta_dim_proxy,ci_low_abs_delta_dim_proxy,ci_high_abs_delta_dim_proxy,repair_score,causal_score,quasi_score,geom_score,composite_score,pareto,phase_label
0.02,0.0,0.02,0.0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.6666666666666665,0.4714045207910317,2.0,3.0,44.53089046966039,7.388133216549112,35.65819965622463,53.74565475034631,0.18684770682341298,0.0735780331151206,0.10609694082075141,0.28405684544692855,0.19408138548433906,0.08784399388877089,0.10582010582010581,0.3139240506329114,0.6194885361552028,0.05974711526045324,0.5714285714285714,0.7037037037037037,1.0,0.0,1.0,1.0,0.054044677167778936,0.021615050994661635,0.026499018384221185,0.07164348727461042,12.0,3.265986323710904,8.0,16.0,1.0,1.4142135623730951,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,1.0,0.10589984237018897,0.06071012252439703,0.05516113441204906,0.1912505776391633,0.016666666666666666,0.023570226039551584,0.0,0.03333333333333333,0.20617643680591144,0.14836568360385896,0.030281965810051492,0.39319140373883243,0.5805226025226418,0.6115718384073535,0.9875545648741525,0.876899292137709,0.7289666418871352,1,macro_stable_weak_repair
0.02,0.0,0.02,0.02,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.3333333333333335,0.4714045207910317,2.0,3.0,45.07216527708594,3.6567963250263316,40.18769287169382,48.98568868315574,0.1404893100373981,0.013106986461072063,0.1224128335792548,0.15308006713056221,0.13766711833785003,0.007306636165507895,0.13,0.1475,0.5362970362970363,0.12697032399112096,0.35714285714285715,0.6363636363636364,1.0,0.0,1.0,1.0,0.03782789831626335,0.0057298630340683965,0.03278704093729222,0.04584280725845976,18.333333333333332,4.0276819911981905,15.333333333333334,24.0,1.3333333333333333,1.8856180831641267,0.0,4.0,0.0,0.0,0.0,0.0,4.333333333333333,2.3570226039551585,1.0,6.0,7.0,4.08248290463863,2.0,12.0,1.0615196520661683,0.5100570735563814,0.341891698546934,1.4642175863465066,0.18215167548500882,0.13970227489608272,0.06881834215167548,0.36333333333333334,0.3190403310076629,0.27468025653677997,0.059030469567245114,0.6989852924591813,0.4625823629610597,0.5777972763548611,0.5975887522279275,0.4172071826435431,0.5093123330993803,0,drift_dominant
0.02,0.0,0.04,0.0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.6666666666666665,0.4714045207910317,2.0,3.0,45.567024390795645,4.899120297076444,38.64712677211583,49.32418059923879,0.11257861707753335,0.017184177365937185,0.09213348485334276,0.126593593063567,0.11311430249037667,0.030591423528165806,0.0707070707070707,0.14173228346456693,0.6680555555555555,0.015340779190537855,0.65,0.6875,1.0,0.0,1.0,1.0,0.04981061667930255,0.010960040563441612,0.041334561757693795,0.060039017203442804,14.0,2.8284271247461903,12.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,1.0,0.2439687583550477,0.31052575675967353,0.014449878478619116,0.6829660450230262,0.11168831168831168,0.08026247210918322,0.0,0.17337662337662335,0.20399996428039402,0.0788097498930592,0.14219923713866978,0.31522446874846977,0.46357392889524796,0.5808778477116491,0.9785455558651434,0.7663066658221873,0.6564407813787152,0,mixed
0.02,0.0,0.04,0.02,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.0,0.816496580927726,1.0,3.0,44.57621888646879,5.08186370487245,38.749723812796624,51.133224708332214,0.15389198234501386,0.02417864974344833,0.13521010525956467,0.18803516386186597,0.14523875114784207,0.009574448321093037,0.1322314049586777,0.155,0.5748194014447884,0.22166452377021853,0.3684210526315789,0.8823529411764706,0.8777777777777778,0.08748897637790899,0.8,1.0,0.03366057633997808,0.02254277240039029,0.007125136546640459,0.06223083548587978,19.666666666666668,1.699673171197595,18.0,22.0,2.6666666666666665,1.8856180831641267,0.0,4.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.247219128924647,0.6666666666666666,3.0,2.6666666666666665,0.9428090415820634,2.0,4.0,0.3529486394430165,0.06540311587268155,0.2628395703067592,0.41607575250263373,0.09534231200897868,0.037650000064419833,0.06484688151354819,0.14444444444444443,0.2579798694768142,0.1215178411673894,0.08615084249417748,0.34633727011749893,0.3737143215882323,0.6166563101516304,0.8279442918618175,0.7156034533512806,0.5936736391364085,0,mixed
0.02,0.0,0.06,0.0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.0,0.0,2.0,2.0,41.92739512202494,3.546796642860751,36.92025090162077,44.68792969206753,0.1322363996449658,0.025110585740911195,0.11189870594576432,0.16761627455027214,0.1418990367057817,0.03529130292549252,0.11345646437994723,0.1916376306620209,0.6710721247563353,0.12272553997536756,0.56,0.7651072124756335,1.0,0.0,1.0,1.0,0.0442996672206096,0.00671364629567782,0.03481243671990846,0.04936563777978464,14.666666666666666,3.39934634239519,10.0,18.0,3.0,2.8284271247461903,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.3333333333333333,1.0,0.2503894272468317,0.10340698157251006,0.1209299468806857,0.3740232247129285,0.08759259259259258,0.056757975334399975,0.036111111111111115,0.16666666666666666,0.1309643914719464,0.06873315540009979,0.07514796658739649,0.20963745870050676,0.5202636182381557,0.6932402070341471,0.9579269991641125,0.8295597669372072,0.7128996713621553,0,mixed
0.02,0.0,0.06,0.02,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,1.3333333333333333,0.4714045207910317,1.0,2.0,44.054267782321745,8.036471366664427,33.91541317059248,53.57116947400222,0.12909037491880132,0.034245957079004206,0.0806696907782811,0.1541704151599673,0.12990194479913472,0.05384553813277994,0.055415617128463476,0.18085106382978725,0.630331088664422,0.004665625462490424,0.625,0.6363636363636364,1.0,0.0,1.0,1.0,0.03295425102896793,0.022301461431549454,0.014859593650672277,0.061861207850563406,13.333333333333334,2.0548046676563256,11.0,16.0,1.6666666666666667,0.4714045207910317,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.943920288775949,0.0,7.0,9.0,6.48074069840786,3.0,18.0,0.9600126069523481,0.4540333149642633,0.4225677193161266,1.5330114402774724,0.28487654320987654,0.1141635334779113,0.16296296296296295,0.43750000000000006,0.12512140427554969,0.053423953780720415,0.08415269245925455,0.20058167987070064,0.48426754543042233,0.8644975443410908,0.5559712879300508,0.4863405547474036,0.5940803955214113,1,mixed
0.02,0.02,0.02,0.0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.3333333333333335,1.247219128924647,1.0,3.3333333333333335,45.339703927679054,8.658291332864708,34.08548327992248,55.144840270605975,0.24842453455419167,0.08358195050047508,0.18186961569559432,0.33518773893835235,0.2433184766551663,0.09637233198558585,0.12569832402234637,0.36175710594315247,0.6015151515151516,0.3396936807705335,0.12121212121212122,0.85,0.8888888888888888,0.15713484026367724,0.6666666666666666,1.0,0.04995908948033713,0.042265015579196014,0.010325365336039826,0.10852350948462947,10.666666666666666,1.8856180831641267,8.0,12.0,0.6666666666666666,0.4714045207910317,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828420467374286,0.019728361650765327,0.060572975987403854,0.10853263741883756,0.0,0.0,0.0,0.0,0.2086547900389387,0.13421862922941988,0.07888427394849451,0.3935053368703407,0.5524567434804157,0.7069395308860108,1.0,0.8946608675468489,0.749026916449018,1,macro_stable_weak_repair
0.02,0.02,0.02,0.02,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,1.6666666666666667,0.4714045207910317,1.0,2.0,44.54056631487017,9.26420338054393,35.46285805402981,57.26077766536242,0.2079263612376988,0.10089895826417906,0.08700784289225544,0.3339976132855941,0.2074183348667026,0.08963680928719467,0.0949367088607595,0.3142857142857143,0.7185990338164252,0.22499452204066403,0.4166666666666667,0.9565217391304348,0.9393939393939394,0.08570991287109665,0.8181818181818182,1.0,0.030398073908322828,0.00698502768005177,0.021951877335442575,0.03905763927182253,15.333333333333334,3.0912061651652345,11.0,18.0,3.3333333333333335,3.2998316455372216,1.0,8.0,0.0,0.0,0.0,0.0,3.3333333333333335,1.699673171197595,1.0,5.0,3.3333333333333335,2.8674417556808756,0.0,7.0,0.7068897225746108,0.44222171305078634,0.35886357024878235,1.1456320740525952,0.2697222222222222,0.016391242768813263,0.2575,0.28194444444444444,0.19572707630470532,0.13628195856638295,0.08445880350401365,0.306995349105397,0.5840345955460999,0.7735484063335001,0.7236883422450432,0.5221887271896448,0.6469746239114477,0,mixed
0.02,0.02,0.04,0.0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.6666666666666665,0.9428090415820634,2.0,4.0,42.079882094207655,4.504635098583726,38.88680678897322,48.45034016054487,0.14948639080090653,0.04096551731262775,0.10163530891283501,0.20169559990596078,0.15490791601818793,0.03617505853463742,0.10606060606060606,0.1925,0.3694178628389155,0.18249915321788035,0.21052631578947367,0.625,1.0,0.0,1.0,1.0,0.04416953773844421,0.01622455671995444,0.03254895895554591,0.06710855732159932,10.666666666666666,2.494438257849294,8.0,14.0,3.0,2.449489742783178,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,1.0,0.19231392645933676,0.0938529744669805,0.07590229154060335,0.30573586172963063,0.11728395061728396,0.03491885339192826,0.09259259259259259,0.16666666666666666,0.12627296576425717,0.01974472604368784,0.10031970937869783,0.14817162691200259,0.4374339162842289,0.6675999592067466,0.9579269991641125,0.8249199728487145,0.6765712549037322,0,mixed
0.02,0.02,0.04,0.02,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,1.6666666666666667,0.4714045207910317,1.0,2.0,46.0482448963752,4.161953590877594,40.32394274819305,50.09659166518374,0.16880092391027993,0.05626731138311597,0.10716411237270504,0.24320479850800053,0.15909089335749357,0.06761397495762828,0.07631578947368421,0.24193548387096775,0.4441591784338896,0.29883959958462447,0.20410783055198972,0.8421052631578947,0.9393939393939394,0.08570991287109665,0.8787878787878788,1.0,0.030154126978142872,0.010153184782951612,0.01684942086097236,0.041482946459887225,15.666666666666666,4.4969125210773475,12.333333333333334,22.0,2.3333333333333335,0.4714045207910317,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,0.0,3.0,2.0,0.816496580927726,1.0,3.0,0.33129920926043716,0.2899045254837288,0.11862492242475398,0.7411889620116843,0.11191358024691361,0.09292856740771994,0.025000000000000022,0.24074074074074076,0.2770429128059666,0.24200852740894274,0.00011776208168989832,0.5896793572765908,0.4067416169525756,0.7671394799054374,0.8811447677427058,0.696424877870878,0.6496583650324776,1,mixed
