r_birth,r_death,p_swap,p_triad,p_del,runs,mean_meeting,sd_meeting,ci_low_meeting,ci_high_meeting,mean_first_meeting_time,sd_first_meeting_time,ci_low_first_meeting_time,ci_high_first_meeting_time,mean_final_radius_control,sd_final_radius_control,ci_low_final_radius_control,ci_high_final_radius_control,mean_total_unequal_time,sd_total_unequal_time,ci_low_total_unequal_time,ci_high_total_unequal_time,mean_avg_local_overlap,sd_avg_local_overlap,ci_low_avg_local_overlap,ci_high_avg_local_overlap,mean_avg_same_descriptor,sd_avg_same_descriptor,ci_low_avg_same_descriptor,ci_high_avg_same_descriptor,mean_shared_token_fraction_final,sd_shared_token_fraction_final,ci_low_shared_token_fraction_final,ci_high_shared_token_fraction_final,mean_shared_node_fraction_final,sd_shared_node_fraction_final,ci_low_shared_node_fraction_final,ci_high_shared_node_fraction_final,mean_fit_speed_control,sd_fit_speed_control,ci_low_fit_speed_control,ci_high_fit_speed_control,mean_final_edge_diff_count,sd_final_edge_diff_count,ci_low_final_edge_diff_count,ci_high_final_edge_diff_count,mean_abs_delta_tokens,sd_abs_delta_tokens,ci_low_abs_delta_tokens,ci_high_abs_delta_tokens,mean_abs_delta_nodes,sd_abs_delta_nodes,ci_low_abs_delta_nodes,ci_high_abs_delta_nodes,mean_abs_delta_beta1,sd_abs_delta_beta1,ci_low_abs_delta_beta1,ci_high_abs_delta_beta1,mean_abs_delta_triangles,sd_abs_delta_triangles,ci_low_abs_delta_triangles,ci_high_abs_delta_triangles,mean_abs_delta_spectral_radius,sd_abs_delta_spectral_radius,ci_low_abs_delta_spectral_radius,ci_high_abs_delta_spectral_radius,mean_abs_delta_clustering,sd_abs_delta_clustering,ci_low_abs_delta_clustering,ci_high_abs_delta_clustering,mean_abs_delta_dim_proxy,sd_abs_delta_dim_proxy,ci_low_abs_delta_dim_proxy,ci_high_abs_delta_dim_proxy,repair_score,causal_score,quasi_score,geom_score,composite_score,pareto,phase_label
0.07,0.01,0.01,0.0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,3.0,0.816496580927726,2.0,4.0,26.710195776435043,5.056412467845001,21.372200001433953,33.49991100403797,0.3535480712455762,0.14809310193984457,0.23422280000911866,0.5155980574976033,0.3463680205840485,0.15503654122196728,0.14512471655328799,0.5223577235772358,0.6163330600377462,0.15854727255978682,0.43283582089552236,0.819672131147541,1.0,0.0,1.0,1.0,0.10286747314893176,0.025968914749080217,0.06901120530551082,0.13212003994414193,9.333333333333334,1.8856180831641267,8.0,12.0,5.333333333333333,3.2998316455372216,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,1.0,0.2733659798985297,0.13828503357623845,0.10148060038678519,0.440090400258232,0.04222222222222222,0.05971123930019734,0.0,0.12666666666666665,0.24268632026223355,0.06568791429197018,0.19445420859703924,0.3353494722604321,0.5312535586743734,0.5127873833197235,0.9647162038449801,0.858245820612111,0.6787279962573798,0,mixed
0.07,0.01,0.01,0.0,0.01,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,3.6666666666666665,1.247219128924647,2.6666666666666665,5.0,25.28332549901453,3.7908954743254153,20.585733893838988,29.869487516402547,0.27074370445544604,0.0391625101117014,0.22937766704157866,0.32332016306590167,0.28172892720306514,0.04404731005952892,0.24568965517241378,0.34375,0.5186717791022867,0.18721118906085402,0.2676056338028169,0.6684636118598383,0.9363636363636364,0.045150498259852546,0.9,1.0,0.15782563777768097,0.06254260498796926,0.0699308694479078,0.2103315517937374,7.666666666666667,2.0548046676563256,5.0,10.0,11.333333333333334,9.104333522498441,4.333333333333333,24.0,0.6666666666666666,0.4714045207910317,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296020379985398,0.1153469752537122,0.17446339523280652,0.45083356490145987,0.0,0.0,0.0,0.0,0.5304386861614051,0.2269247129304819,0.20961656606577583,0.6977136700783815,0.44664729156357286,0.36704469052026195,0.8667035398230089,0.78122551899057,0.5776735364400318,0,mixed
0.07,0.01,0.01,0.0,0.02,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.0,0.816496580927726,1.3333333333333333,3.0,24.342000045181297,4.797854600736375,20.91333929537878,31.127062837769724,0.2511704030328036,0.07498570339747712,0.19507674092439667,0.35656068820517517,0.253265550362189,0.08548702444572566,0.17515274949083504,0.3722334004024145,0.6465378421900161,0.17261473400611088,0.5169082125603864,0.8888888888888888,0.5378787878787878,0.1599902430450218,0.36363636363636365,0.75,0.07252555629258774,0.014719123781996654,0.05194007966434208,0.08549364904221496,8.666666666666666,2.0548046676563256,6.0,11.0,5.666666666666667,6.018490028422596,0.0,14.0,1.6666666666666667,1.247219128924647,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1910048733364711,0.17192473882029038,0.0,0.32993672591774187,0.0,0.0,0.0,0.0,0.279218849608808,0.20502216796500985,0.0,0.48649480641359955,0.3426732841805595,0.690361335777892,0.8105641592920354,0.8846567168222702,0.63157015863053,0,mixed
0.07,0.01,0.01,0.01,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.6666666666666665,0.4714045207910317,2.0,3.0,23.244955879945937,5.688821135121241,19.16569376962035,31.289896613847183,0.22507819702133472,0.0937406001292993,0.11220382734094111,0.30158604223610197,0.24430039258986627,0.10723973892708091,0.1291866028708134,0.33036099865047236,0.4516304347826087,0.2511673282496914,0.21739130434782608,0.8,0.9487179487179487,0.0725237724293895,0.8461538461538461,1.0,0.13256189836630705,0.027378309551526283,0.09740569791241538,0.1641895155985856,14.0,4.320493798938574,10.0,17.333333333333332,21.0,16.87206764645835,4.0,44.0,0.0,0.0,0.0,0.0,4.666666666666667,2.494438257849294,2.0,8.0,6.333333333333333,5.436502143433364,2.0,14.0,1.0739464668016316,0.8888245387413145,0.290648220900553,2.3169747558581344,0.305489417989418,0.1274740809632779,0.2017195767195767,0.45416666666666666,0.2362285368227603,0.16220243900221784,0.11255557238390801,0.46537668996678777,0.4204319968020238,0.41674214708302254,0.6431476960634727,0.5764133353570465,0.49524894193556784,0,drift_dominant
0.07,0.01,0.01,0.01,0.01,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.6666666666666665,0.4714045207910317,2.3333333333333335,3.0,22.967573906098345,5.446685453725828,18.187407146806404,30.588534646451894,0.17078313701821254,0.0673147766088962,0.07622711602241432,0.22761561740930955,0.16897003250753231,0.0787930647288571,0.05755395683453238,0.226215644820296,0.455207344096233,0.2148661312274808,0.16049382716049382,0.6666666666666666,0.8421717171717172,0.024023103018232867,0.8181818181818182,0.875,0.10910166537805344,0.03542404808088707,0.0787899027901089,0.15880016614803769,14.0,2.160246899469287,12.0,17.0,15.666666666666666,17.21110752456745,3.0,40.0,1.0,0.816496580927726,0.0,2.0,3.0,1.632993161855452,1.0,5.0,2.0,0.816496580927726,1.0,3.0,0.8173011411039702,0.5193269117207668,0.08543681036833828,1.2364462081386551,0.2273709315375982,0.04696356613607599,0.1734006734006734,0.265530303030303,0.5306348120338578,0.2503380574292651,0.3369903018566032,0.8777665952330941,0.3472049873142992,0.4593942435472039,0.690830408910589,0.5680956443289924,0.488155517094722,0,drift_dominant
0.07,0.01,0.01,0.01,0.02,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.3333333333333335,0.9428090415820634,1.6666666666666667,3.0,25.215764438461715,6.363094746598616,20.19886255899753,33.91052267322908,0.21745218797521298,0.10041952053665913,0.0942140640605637,0.34018911775952354,0.22427056208737736,0.0963227578555128,0.10326086956521739,0.3389473684210526,0.5366912972085386,0.2193427039897003,0.23214285714285715,0.74,0.654040404040404,0.08398125832482775,0.5454545454545454,0.75,0.09264539995998652,0.06171194967626985,0.01313789606034531,0.16356748065881285,10.333333333333334,1.247219128924647,9.0,12.0,14.333333333333334,17.46106780494506,1.0,39.0,1.0,1.4142135623730951,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3671763723928074,0.18489514933398604,0.15608097674700905,0.6063593006892363,0.0,0.0,0.0,0.0,0.5516582233363029,0.40374000828453854,0.08927256533320904,0.8795514021529033,0.32416078360359074,0.588496640818468,0.8155420353982301,0.76840695706654,0.5773702329588278,0,mixed
0.07,0.01,0.02,0.0,0.0,3,0.3333333333333333,0.4714045207910317,0.0,1.0,13.297569731868629,0.0,13.297569731868629,13.297569731868629,1.6666666666666667,1.8856180831641267,-1.0,3.0,20.207580629216555,5.880998490558497,13.297569731868629,27.671080423380687,0.5003285521554418,0.3236285590751755,0.25737407234408044,0.9577120392913647,0.5015464805978106,0.31852692365405355,0.27538747257447,0.7277054886211513,0.7988304093567251,0.16473384232914098,0.5964912280701754,1.0,1.0,0.0,1.0,1.0,0.08765141628349767,0.0624489691940695,0.0,0.1408436898430244,9.333333333333334,6.79869268479038,0.0,14.666666666666666,1.3333333333333333,1.247219128924647,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,1.0,0.07316560271459194,0.08217784014296466,0.0,0.1879461792985646,0.02,0.0282842712474619,0.0,0.06,0.18189122291981139,0.20031824876062782,0.0,0.4609266758075272,0.8916450147341851,0.6885992262638233,0.9912648764113519,0.922878670866468,0.8670542711784847,1,spacetime_candidate
0.07,0.01,0.02,0.0,0.01,3,0.3333333333333333,0.4714045207910317,0.0,1.0,13.291607148399832,0.0,13.291607148399832,13.291607148399832,1.6666666666666667,1.8856180831641267,-1.0,3.0,21.793255934817818,8.028323249850859,13.291607148399832,32.56116842321487,0.47391067807903936,0.3462351565899432,0.16670171822275973,0.957719892567892,0.46568736151176887,0.34818387651632016,0.15565031982942432,0.952,0.6552511415525114,0.24417485337534478,0.4657534246575342,1.0,0.9666666666666667,0.04714045207910316,0.9,1.0,0.0947106122598451,0.06816068286029874,0.0,0.14724325120800622,5.333333333333333,3.858612300930075,0.0,8.333333333333334,4.666666666666667,4.642796092394707,1.0,11.0,0.3333333333333333,0.4714045207910317,0.0,1.0,0.3333333333333333,0.4714045207910317,0.0,1.0,0.0,0.0,0.0,0.0,0.09195834618555147,0.12776762149256565,0.0,0.27263939223455225,0.0,0.0,0.0,0.0,0.4571719313100822,0.3303464239084315,0.0,0.7690556076196833,0.8099177035641927,0.7435617990265473,0.9322013274336283,0.8425141448202974,0.8243047404548893,0,mixed
0.07,0.01,0.02,0.0,0.02,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,0.6666666666666666,0.4714045207910317,0.3333333333333333,1.0,27.21302154890308,3.6847556803988253,23.098643029011768,32.03969698549592,0.3796147149814905,0.16143104250000828,0.19337852784257448,0.5870876692868534,0.372530687923313,0.15520103300571716,0.19430051813471502,0.5725806451612904,0.5237716164440303,0.23423728584168307,0.33783783783783783,0.8541666666666666,0.6558857808857809,0.050630596751799616,0.6153846153846154,0.7272727272727273,0.055893730440221105,0.03841189198511839,0.024573963952402904,0.10430197854084229,10.0,3.559026084010437,7.333333333333333,13.0,11.333333333333334,6.236095644623235,3.0,18.0,1.6666666666666667,0.9428090415820634,1.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4797120169265403,0.3356527231192675,0.07067260881585491,0.8928203059174318,0.0,0.0,0.0,0.0,0.6764798289853181,0.21042907972663005,0.43053548092376803,0.9445524152633675,0.4060314983359847,0.8461482607414131,0.7729535398230089,0.7101240826456462,0.650263614096679,0,mixed
0.07,0.01,0.02,0.01,0.0,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,2.3333333333333335,0.4714045207910317,2.0,3.0,23.37082946092783,5.54720393123433,19.04957486308541,31.201754477563846,0.19402816447004964,0.04890504190054001,0.1573854703455114,0.23525043404187101,0.21711521865543304,0.05968806884456775,0.13494809688581316,0.2749445676274945,0.45323202826447473,0.11953528136412425,0.3556763285024155,0.5970149253731343,1.0,0.0,1.0,1.0,0.10585456159490235,0.017099380751185642,0.09233537732966392,0.1299781099504831,16.0,2.160246899469287,14.0,19.0,14.666666666666666,12.498888839501783,3.0,32.0,0.0,0.0,0.0,0.0,4.0,2.449489742783178,1.0,7.0,4.0,2.160246899469287,1.0,6.0,0.8732381869818977,0.13830623578586523,0.7204802804686081,0.9848807330222571,0.24019841269841272,0.11678146009974558,0.14583333333333337,0.3265079365079365,0.19697706321933198,0.023423780536997375,0.1682083994954935,0.22558402608351835,0.4181391584269898,0.46843640296577443,0.7353555080866647,0.6599128387340395,0.5425114755550309,0,mixed
