ensemble,candidate_name,r_birth,r_death,p_swap,p_triad,p_del,runs,mean_meeting,sd_meeting,mean_first_meeting_time,sd_first_meeting_time,mean_final_radius_control,sd_final_radius_control,mean_total_unequal_time,sd_total_unequal_time,mean_avg_local_overlap,sd_avg_local_overlap,mean_avg_same_descriptor,sd_avg_same_descriptor,mean_shared_token_fraction_final,sd_shared_token_fraction_final,mean_shared_node_fraction_final,sd_shared_node_fraction_final,mean_fit_speed_control,sd_fit_speed_control,mean_final_edge_diff_count,sd_final_edge_diff_count,mean_abs_delta_tokens,sd_abs_delta_tokens,mean_abs_delta_nodes,sd_abs_delta_nodes,mean_abs_delta_beta1,sd_abs_delta_beta1,mean_abs_delta_triangles,sd_abs_delta_triangles,mean_abs_delta_spectral_radius,sd_abs_delta_spectral_radius,mean_abs_delta_clustering,sd_abs_delta_clustering,mean_abs_delta_dim_proxy,sd_abs_delta_dim_proxy,mean_initial_nodes,sd_initial_nodes,mean_initial_tokens,sd_initial_tokens,mean_initial_beta1,sd_initial_beta1,mean_initial_triangles,sd_initial_triangles,mean_initial_spectral_radius,sd_initial_spectral_radius,mean_initial_dim_proxy,sd_initial_dim_proxy,repair_score,causal_score,quasi_score,geom_score,composite_score,pareto,phase_label,ci_low_composite,ci_high_composite,ci_low_mean_radius,ci_high_mean_radius,ci_low_mean_overlap,ci_high_mean_overlap
toy_cycle8,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,5,0.0,0.0,-1.0,0.0,2.6,0.4898979485566356,16.722536771207228,0.9506581906922154,0.41961900016609516,0.18678078908606105,0.41061133122508575,0.190190868199111,0.7078744753033178,0.14395058103780156,1.0,0.0,0.13952180810483258,0.030009200141302046,5.6,4.079215610874228,3.2,3.3105890714493698,0.0,0.0,0.0,0.0,0.2,0.4,0.1604943702861819,0.16288215592198024,0.02981481481481481,0.055556790109739664,0.19399070581050842,0.14532792934025998,8.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.096857131064786,0.0,0.7031002122953125,0.5079263463491593,0.8349358974358975,0.7840176396824968,0.6968573683143282,0,mixed,0.4901331283511213,0.8914835451944436,2.2,3.0,0.27764975355828364,0.6074015140674638
natural24,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,5,0.0,0.0,-1.0,0.0,4.2,0.9797958971132712,77.74818076487684,27.384243694842645,0.33563537792614206,0.13427662413544017,0.3406480534799565,0.11363096753437933,0.35304761904761905,0.08287977249813372,1.0,0.0,0.31985896036324946,0.07936233341857618,7.6,2.3323807579381204,12.0,2.756809750418044,0.0,0.0,0.0,0.0,0.2,0.4,0.10472668166815832,0.09910232751215786,0.009340277777777777,0.018680555555555554,0.05520205502587916,0.030499379160192353,33.2,6.493073232299171,4.6,2.1540659228538015,2.0,0.6324555320336759,0.6,0.8,3.1639232418690044,0.3039620376522213,2.2774934267563376,0.322070863110308,0.4668852763084871,0.6409747234413918,0.725,0.8626142507881182,0.641176377725942,0,mixed,0.5042307043362302,0.7528417250088097,3.4,5.2,0.2238680363576893,0.44563750413936964
natural48,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,5,0.0,0.0,-1.0,0.0,4.8,0.7483314773547883,132.8616661680463,17.99179653868622,0.6816601725344221,0.14604999863903542,0.6597982903446354,0.13186219503428614,0.6655011436138197,0.1679782048525947,1.0,0.0,0.7784184909630898,0.15411888123568634,4.6,4.079215610874228,4.6,2.727636339397171,0.0,0.0,0.2,0.4,1.2,0.7483314773547883,0.06047652870024685,0.02750524759782885,0.0186843699933185,0.01183888972944031,0.0410266470352517,0.05547660914971494,53.0,2.898275349237888,13.2,5.6,9.6,2.0591260281974,7.0,3.286335345030997,4.169050251279595,0.15190822186289046,2.805710956735087,0.35954799502186013,0.377874117439485,0.2954974110569723,0.7316715542521994,0.8342276694918235,0.5193101386168675,1,mixed,0.37985110961662194,0.6764054553554528,4.2,5.6,0.5331803119328069,0.7994376275037137
natural_jitter,refined_winner_pdel0.00,0.08,0.02,0.02,0.0,0.0,5,0.0,0.0,-1.0,0.0,3.4,0.8,100.54361089358618,6.55090282458831,0.6264680905121892,0.2393112851991069,0.611395954699775,0.26516134256532264,0.6488419524836468,0.23147289378164188,1.0,0.0,0.37764935076378736,0.0577757405103196,6.0,3.5777087639996634,1.4,1.019803902718557,0.0,0.0,0.0,0.0,0.6,0.4898979485566356,0.04492943272189036,0.035063167348778554,0.015748248248248248,0.015621288150374087,0.06232803069429345,0.03531838680583437,40.8,3.54400902933387,9.0,3.847076812334269,6.0,3.286335345030997,3.8,2.227105745132009,3.7398817780208766,0.5820979948856012,2.5015337034028646,0.35443420288078226,0.8768737337774173,0.856682354510519,0.916083916083916,0.9345661031452949,0.891206399295568,1,spacetime_candidate,0.6249454785008355,1.1393520550069898,2.8,4.0,0.42794103068196654,0.8280489341138155
toy_cycle8,refined_winner_pdel0.01,0.08,0.02,0.02,0.0,0.01,5,0.0,0.0,-1.0,0.0,3.4,0.8,16.94738609013592,1.569792252047732,0.33716463032350164,0.0991418756975906,0.3402044574636662,0.09358659983584391,0.5086255259467041,0.13310271050072311,0.8805555555555555,0.07060147237299352,0.20340271451570596,0.057348492025413624,6.0,1.7888543819998317,5.0,2.898275349237888,1.0,0.6324555320336759,0.2,0.4,0.2,0.4,0.17356379780028766,0.1821662155666846,0.035833333333333335,0.07166666666666667,0.1571586757824045,0.11262880035556351,8.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.096857131064786,0.0,0.5028640697338317,0.27777777777777773,0.6161858974358975,0.7871170545524823,0.5261074592489615,0,drift_dominant,0.4603843773624195,0.6202753150334286,3.0,4.2,0.25310110611393677,0.4247286229760305
natural24,refined_winner_pdel0.01,0.08,0.02,0.02,0.0,0.01,5,0.0,0.0,-1.0,0.0,4.4,1.019803902718557,77.63818710211305,27.47158988053304,0.34519321823341637,0.16008192025862042,0.3375844669770534,0.17101092504963275,0.36358965541944266,0.07981537269468646,0.9955555555555555,0.008888888888888901,0.4279478855476116,0.11853987969109898,8.2,3.4871191548325386,6.8,5.035871324805669,0.2,0.4,0.4,0.4898979485566356,0.2,0.4,0.2068910149274112,0.15167445080915698,0.0028120089786756444,0.005268185930441681,0.12739760218997392,0.1367137125296953,33.2,6.493073232299171,4.6,2.1540659228538015,2.0,0.6324555320336759,0.6,0.8,3.1639232418690044,0.3039620376522213,2.2774934267563376,0.322070863110308,0.47221790111021156,0.5037802766122247,0.7681818181818182,0.7342997285513153,0.591717643888257,0,mixed,0.4481960243950649,0.7809208562400002,3.495,5.304999999999996,0.2104033604327662,0.4838547468912975
natural48,refined_winner_pdel0.01,0.08,0.02,0.02,0.0,0.01,5,0.0,0.0,-1.0,0.0,3.8,0.9797958971132712,132.85345747475412,18.466470306855364,0.7591043822387952,0.12050632057739785,0.7394271338578052,0.12368100511355501,0.6997484076742939,0.1713441665587705,0.996551724137931,0.006896551724137945,0.6187333006586692,0.25483614010360245,4.4,1.3564659966250536,2.2,1.6,0.2,0.4,0.4,0.4898979485566356,1.2,0.7483314773547883,0.10634643220041218,0.053289622443702375,0.021342739732007957,0.014071914031294343,0.19426158328009507,0.2507544476976239,53.0,2.898275349237888,13.2,5.6,9.6,2.0591260281974,7.0,3.286335345030997,4.169050251279595,0.15190822186289046,2.805710956735087,0.35954799502186013,0.4942033660425092,0.495209506142048,0.7346957478005866,0.5382982495898717,0.551372354128482,0,mixed,0.24830803541166552,0.83032592114694,2.8,4.6,0.6356032852294551,0.8601583343409321
natural_jitter,refined_winner_pdel0.01,0.08,0.02,0.02,0.0,0.01,5,0.0,0.0,-1.0,0.0,3.8,0.9797958971132712,100.2483236623157,6.506843135908313,0.6049550615047042,0.1853662202882316,0.6064889917974974,0.19968479709183945,0.6073747012929466,0.18270876955498938,0.9901913875598086,0.012066526519539215,0.465144317762501,0.16891164453495003,6.4,1.3564659966250536,4.2,3.1874754901018454,0.4,0.4898979485566356,0.0,0.0,1.0,0.0,0.04133992261202533,0.02917984486259289,0.019133010364233243,0.012434190163615032,0.046516898431952745,0.057955566673971455,40.8,3.54400902933387,9.0,3.847076812334269,6.0,3.286335345030997,3.8,2.227105745132009,3.7398817780208766,0.5820979948856012,2.5015337034028646,0.35443420288078226,0.7828355184924678,0.7060781465479117,0.6351981351981352,0.9403918845253797,0.7656299720540445,1,mixed,0.6099060732481953,0.8988654000520904,3.0,4.6,0.44031380168905215,0.7582694523649258
toy_cycle8,refined_winner_pdel0.02,0.08,0.02,0.02,0.0,0.02,5,0.0,0.0,-1.0,0.0,2.0,0.8944271909999159,16.877076896427113,1.8637878371996792,0.2564799475221223,0.033573418303159325,0.2668872194406756,0.04704645093851653,0.5864737114737115,0.11465104013863706,0.7214285714285714,0.14223076965528483,0.1124633787653773,0.06391681394626345,5.4,2.0591260281974,5.2,4.955804677345547,1.4,0.4898979485566356,0.0,0.0,0.0,0.0,0.19552387089724937,0.18139907106090142,0.0,0.0,0.41252446834104595,0.3178640884162487,8.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.096857131064786,0.0,0.4070428514930094,0.6403064182756307,0.6041666666666666,0.6484832002298169,0.5530715759707576,0,mixed,0.43995034453213194,0.6895077952252111,1.2,2.8,0.22539440896994878,0.28557616736028274
natural24,refined_winner_pdel0.02,0.08,0.02,0.02,0.0,0.02,5,0.0,0.0,-1.0,0.0,4.8,1.9390719429665315,77.70477156728056,28.185797490748744,0.36841692012528776,0.16656745983983184,0.37076316790095065,0.17045353445935227,0.40275426872288794,0.18653964991939312,0.990909090909091,0.018181818181818167,0.4307582353752418,0.2862915284489126,9.2,2.4819347291981715,7.4,3.2,0.4,0.8,0.6,0.4898979485566356,0.2,0.4,0.224534882483779,0.13870278118779666,0.0036888082049372356,0.006690748378897247,0.17968534021353907,0.10721221362845505,33.2,6.493073232299171,4.6,2.1540659228538015,2.0,0.6324555320336759,0.6,0.8,3.1639232418690044,0.3039620376522213,2.2774934267563376,0.322070863110308,0.5301050234088264,0.44152046783625726,0.7045454545454546,0.6755004293775535,0.5719260519367552,0,mixed,0.4138038822654306,0.7689818287716188,3.2,6.4,0.2399033853382966,0.520291187072311
