ensemble,burnin_regime,size_target,seed,candidate_name,r_birth,r_death,p_swap,p_triad,p_del,initial_nodes,initial_tokens,initial_beta1,initial_spectral_radius,final_radius_control,final_edge_diff_count,avg_local_overlap,shared_token_fraction_final,shared_node_fraction_final,fit_speed_control,drift_beta1_per_step,abs_drift_beta1_per_step,drift_spectral_radius_per_step,abs_drift_spectral_radius_per_step
natural64_moderate,moderate,64,301,v08b_top_1,0.02,0.0,0.02,0.0,0.01,75.0,6.0,5.0,4.35810012926254,6.0,10.0,0.340871542959097,0.5,1.0,0.3334935476396861,0.0,0.0,-0.0003004884390410837,0.0003004884390410837
natural64_moderate,moderate,64,302,v08b_top_1,0.02,0.0,0.02,0.0,0.01,68.0,6.0,12.0,4.285382434707116,3.0,4.0,0.9127044769730623,1.0,1.0,0.07602808617670635,-0.004166666666666667,0.004166666666666667,-0.00046193604097720294,0.00046193604097720294
natural64_moderate,moderate,64,303,v08b_top_1,0.02,0.0,0.02,0.0,0.01,76.0,8.0,9.0,3.691196435197243,5.0,7.0,0.46782600572259236,0.8095238095238095,0.987012987012987,0.0,0.0,0.0,-4.198251935403722e-06,4.198251935403722e-06
natural64_moderate,moderate,64,304,v08b_top_1,0.02,0.0,0.02,0.0,0.01,65.0,8.0,9.0,4.271573957144961,5.0,4.0,0.5799407494673144,0.7083333333333334,1.0,0.3143198198217558,-0.004166666666666667,0.004166666666666667,-0.00023671275873924738,0.00023671275873924738
natural64_deep,deep,64,301,v08b_top_1,0.02,0.0,0.02,0.0,0.01,62.0,22.0,18.0,4.068788989202937,0.0,2.0,0.9857356080467735,1.0,1.0,0.061019306651222065,0.0,0.0,-0.0005348787103868399,0.0005348787103868399
natural64_deep,deep,64,302,v08b_top_1,0.02,0.0,0.02,0.0,0.01,66.0,13.0,11.0,3.9822476642894213,1.0,5.0,0.8738818924637252,1.0,1.0,0.07003210333770181,-0.0125,0.0125,-0.0005441406646044145,0.0005441406646044145
natural64_deep,deep,64,303,v08b_top_1,0.02,0.0,0.02,0.0,0.01,67.0,19.0,13.0,3.954425408148148,3.0,2.0,0.8595799380798498,0.8888888888888888,1.0,0.4574508009580118,-0.004166666666666667,0.004166666666666667,-0.0005534998532313577,0.0005534998532313577
natural64_deep,deep,64,304,v08b_top_1,0.02,0.0,0.02,0.0,0.01,80.0,6.0,11.0,4.315437824821061,5.0,2.0,0.8624949001059966,0.8518518518518519,1.0,0.21695239226321983,0.0,0.0,-6.025765621730332e-05,6.025765621730332e-05
natural96_moderate,moderate,96,301,v08b_top_1,0.02,0.0,0.02,0.0,0.01,67.0,47.0,25.0,4.650626211558393,0.0,2.0,0.9817875273593477,1.0,1.0,0.0,-0.004166666666666667,0.004166666666666667,0.0004753587215010513,0.0004753587215010513
natural96_moderate,moderate,96,302,v08b_top_1,0.02,0.0,0.02,0.0,0.01,74.0,44.0,30.0,4.891392832433393,1.0,2.0,0.977146008775673,1.0,1.0,0.27394833812616887,-0.0125,0.0125,-3.0592183046855106e-05,3.0592183046855106e-05
natural96_moderate,moderate,96,303,v08b_top_1,0.02,0.0,0.02,0.0,0.01,85.0,37.0,30.0,5.088111284277929,0.0,2.0,0.9893164166020597,1.0,1.0,0.0,-0.004166666666666667,0.004166666666666667,-0.0007318617468169197,0.0007318617468169197
natural96_moderate,moderate,96,304,v08b_top_1,0.02,0.0,0.02,0.0,0.01,88.0,32.0,20.0,4.351534280097333,2.0,2.0,0.9169057563701206,1.0,1.0,0.40594236319685567,-0.004166666666666667,0.004166666666666667,-0.00043166812677678895,0.00043166812677678895
