candidate_name,target_nodes,mean_initial_nodes,mean_radius,mean_overlap,mean_quasi,mean_composite,mean_beta1_drift,mean_causal,mean_geom
balanced_pdel,24,31.25,3.25,0.5680635461107164,0.7142857142857143,0.6094865241277453,0.0,0.828053404337691,0.5836186148727136
balanced_pdel,48,51.75,1.0,0.9159522745549851,0.9375,0.8938091687858475,0.0,0.9867150663993578,0.6714793856218446
balanced_pdel,96,84.75,4.25,0.7349094667925749,0.5431547619047619,0.5462564368519882,1.0,0.4880271538220645,0.4380445410518313
balanced_pdel,192,145.75,6.5,0.8417744614243554,0.40476190476190477,0.5277509139017167,1.0,0.3041921646066208,0.7405390036571506
triad_runner,24,31.25,2.5,0.6138200165708373,0.537037037037037,0.4762248535330462,0.5,0.7393246106319857,0.4113535636789006
triad_runner,48,51.75,1.75,0.901489301913556,0.7314814814814815,0.7520668139275417,0.0,0.7764245978767497,0.5819422158095767
triad_runner,96,84.75,4.0,0.6517806678981234,0.14814814814814814,0.309319987635725,1.5,0.3903822920132183,0.4386510686532138
triad_runner,192,145.75,6.0,0.9106962277463364,0.4907407407407407,0.5405696238611444,0.75,0.3184237006098284,0.7283544605508887
macro_stable,24,31.25,5.25,0.5203730521674639,0.7083333333333333,0.4837137255253964,0.25,0.6099933263400433,0.44255738258490596
macro_stable,48,51.75,3.5,0.8654391024376269,0.8125,0.7909071290976815,0.0,0.7556995507968738,0.6679432650370933
macro_stable,96,84.75,4.0,0.6992251553209663,0.53125,0.5730124321008867,0.75,0.5808581230067222,0.6517909317095305
macro_stable,192,145.75,4.75,0.8320535363795957,0.625,0.5828548989240359,0.75,0.4696969696969697,0.5721198331304886
band_best,24,31.25,3.25,0.5601009426297695,0.71875,0.6049841812423968,0.0,0.8886504245414174,0.468344954729208
band_best,48,51.75,3.75,0.8401625956554681,0.75,0.8070282102032974,0.25,0.7539194064538826,0.8529174016785628
band_best,96,84.75,4.5,0.6490661207739035,0.53125,0.4937232303210405,0.5,0.4492424854627489,0.7284415390200312
band_best,192,145.75,5.5,0.8420462814032121,0.5625,0.5845408196092787,0.75,0.4007507440574437,0.6354054981301756
