candidate_name,r_birth,r_death,p_swap,p_triad,p_del,ensemble,burnin_label,target_nodes,runs,mean_meeting,sd_meeting,mean_first_meeting_time,sd_first_meeting_time,mean_final_radius_control,sd_final_radius_control,mean_total_unequal_time,sd_total_unequal_time,mean_avg_local_overlap,sd_avg_local_overlap,mean_avg_same_descriptor,sd_avg_same_descriptor,mean_shared_token_fraction_final,sd_shared_token_fraction_final,mean_shared_node_fraction_final,sd_shared_node_fraction_final,mean_fit_speed_control,sd_fit_speed_control,mean_final_edge_diff_count,sd_final_edge_diff_count,mean_abs_delta_tokens,sd_abs_delta_tokens,mean_abs_delta_nodes,sd_abs_delta_nodes,mean_abs_delta_beta1,sd_abs_delta_beta1,mean_abs_delta_triangles,sd_abs_delta_triangles,mean_abs_delta_spectral_radius,sd_abs_delta_spectral_radius,mean_abs_delta_clustering,sd_abs_delta_clustering,mean_abs_delta_dim_proxy,sd_abs_delta_dim_proxy,mean_initial_nodes,sd_initial_nodes,mean_initial_tokens,sd_initial_tokens,mean_initial_beta1,sd_initial_beta1,mean_initial_triangles,sd_initial_triangles,mean_initial_spectral_radius,sd_initial_spectral_radius,mean_initial_dim_proxy,sd_initial_dim_proxy,repair_score,causal_score,quasi_score,geom_score,composite_score
balanced_pdel,0.02,0.02,0.02,0.0,0.01,natural96_light,light,96,2,0.0,0.0,-1.0,0.0,3.0,0.0,269.0767807493387,2.7625599674431385,0.9463749832392009,0.022422159423036603,0.9400066080414782,0.021158440502211162,0.9901960784313726,0.009803921568627472,1.0,0.0,0.22875496071584467,0.007046317682591979,4.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,1.0,0.020318049906297375,0.02020083137083084,0.022174536481259173,0.008841203147925851,0.020505021874560825,0.0037011891013341014,88.5,3.5,25.5,0.5,25.0,7.0,18.0,3.0,5.447894948000624,0.25801619862548675,2.7216114733640557,0.0017001520332751152,0.7665438591835567,0.7347966924608924,0.6984126984126985,0.5505548896628031,0.7017830414445683
balanced_pdel,0.02,0.02,0.02,0.0,0.01,natural96_deep,deep,96,2,0.0,0.0,-1.0,0.0,2.5,0.5,305.1408900854584,2.575321870514159,0.9667153619802711,0.010038025303435283,0.9725563909774436,0.0011278195488721998,0.9827586206896552,0.017241379310344807,1.0,0.0,0.22118729973334894,0.004722863716121947,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.005330712538736293,0.0036219051887735887,0.008500817581509001,0.0037440803776746523,0.01586046669471064,0.012400708256945725,98.0,0.0,39.5,4.5,30.0,9.0,21.5,7.5,5.478350779440147,0.47476224704773795,2.9000982591434625,0.16667947667233696,0.8283075643504123,0.9246065642879566,0.8571428571428571,0.810750762205369,0.8546380124642787
balanced_pdel,0.02,0.02,0.02,0.0,0.01,natural144_light,light,144,2,0.0,0.0,-1.0,0.0,6.0,3.0,305.5495346598892,10.32997708345215,0.9357200836785646,0.02900573497260145,0.9368421052631579,0.0368421052631579,0.9547511312217194,0.006033182503770773,1.0,0.0,0.4240486385637843,0.20631752123722435,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0645813703420699,0.06316948295246005,0.004386351554718906,0.0001242304558631141,0.09772126219572774,0.09772126219572774,109.5,11.5,27.0,3.0,26.0,0.0,22.0,1.0,4.870573049485698,0.3164134578949769,2.517872878032292,0.3029897326368858,0.52344661944973,0.24508005839347438,0.9047619047619048,0.44120639524888894,0.5136699914079328
balanced_pdel,0.02,0.02,0.02,0.0,0.01,natural144_deep,deep,144,2,0.0,0.0,-1.0,0.0,3.0,1.0,348.88116464762066,6.507667016974722,0.9538484961566643,0.03104095846202537,0.940029761904762,0.033779761904761896,0.9930555555555556,0.00694444444444442,1.0,0.0,0.4943324793300788,0.18136240425869404,5.0,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.013360227793602242,0.011018498860344117,0.00819269484277775,0.004212595340290212,0.0029844307141364546,0.0029844307141364546,121.0,13.0,53.5,0.5,39.5,0.5,26.5,0.5,5.203728321315991,0.5095328887803525,3.043845258319621,0.16811610672269328,0.6790412851303984,0.4984250728757906,0.8412698412698413,0.8386775080105434,0.698260187870664
balanced_pdel,0.02,0.02,0.02,0.0,0.01,natural192_light,light,192,2,0.0,0.0,-1.0,0.0,4.5,1.5,401.303206323468,135.63402946494878,0.951174918341753,0.01274286631422289,0.9521749084249085,0.004555860805860845,0.9624518613607189,0.011232349165596955,1.0,0.0,0.4280642824790053,0.008021595981580948,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02159977556818271,0.01581898443461638,0.003403746847143063,0.0018763434329472084,0.004474685526701938,0.0009500375052200472,144.5,38.5,41.5,14.5,45.0,7.0,35.0,5.0,5.231475807364276,0.4418743304199273,2.991007678622848,0.04304255049047301,0.4961116358999979,0.5759593844957464,0.9047619047619048,0.8845137251107104,0.6754840446634589
balanced_pdel,0.02,0.02,0.02,0.0,0.01,natural192_deep,deep,192,2,0.0,0.0,-1.0,0.0,3.0,0.0,431.24464291827763,133.28387800577246,0.9614516797046491,0.014587406584436913,0.964194577352472,0.00247208931419457,0.9846153846153847,0.015384615384615385,1.0,0.0,0.5472969942477395,0.1739524573950383,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.016007842734878874,0.0071681006445447615,0.0027985444507183793,0.0027350523872263083,0.0,0.0,156.0,40.0,68.5,24.5,60.0,16.0,47.5,15.5,5.7601509168517335,1.1012517509031623,3.3750341546080427,0.13859297848628804,0.6047356794211842,0.6142059829566054,0.9047619047619048,0.9232567861864789,0.7308127217262426
triad_runner,0.02,0.02,0.02,0.02,0.0,natural96_light,light,96,2,0.0,0.0,-1.0,0.0,3.0,1.0,269.24732486122684,3.1847292070561934,0.8980055102603794,0.05286318184887229,0.8892029968434263,0.0672134680476148,0.9399460188933872,0.042510121457489836,1.0,0.0,0.3641467144997361,0.18409273067665055,6.5,4.5,0.5,0.5,0.0,0.0,1.5,1.5,2.0,1.0,0.022651122166719162,0.01883235865367805,0.0041823628765006865,0.0003834634540314935,0.014410035227070184,0.011155307247824764,88.5,3.5,25.5,0.5,25.0,7.0,18.0,3.0,5.447894948000624,0.25801619862548675,2.7216114733640557,0.0017001520332751152,0.27744313341417093,0.46687201397741696,0.36507936507936506,0.8362009497496846,0.45407916315512403
triad_runner,0.02,0.02,0.02,0.02,0.0,natural96_deep,deep,96,2,0.0,0.0,-1.0,0.0,3.0,0.0,305.1858003735696,3.132206891369009,0.9404517812517081,0.0332922459908887,0.95103668261563,0.01562998405103666,0.984375,0.015625,1.0,0.0,0.3552257213641912,0.0957847284973668,2.5,0.5,1.0,1.0,0.0,0.0,1.5,0.5,2.0,1.0,0.010616322862019523,0.00041029579513640613,0.01658067989100402,0.0007662588845061685,0.02029913409770301,0.011294171575103595,98.0,0.0,39.5,4.5,30.0,9.0,21.5,7.5,5.478350779440147,0.47476224704773795,2.9000982591434625,0.16667947667233696,0.6980151603177782,0.7686200341130446,0.25396825396825395,0.6603955863306205,0.6193330826992585
triad_runner,0.02,0.02,0.02,0.02,0.0,natural144_light,light,144,2,0.0,0.0,-1.0,0.0,3.5,1.5,305.63906814495317,10.416975539650082,0.904601718199255,0.022807713465148927,0.9010540970564836,0.01561256961018298,0.9901960784313726,0.009803921568627472,1.0,0.0,0.3194101026198731,0.1438640276098682,6.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,2.0,1.0,0.011486184849120562,0.011174010011326452,0.01494401805162475,0.014878427076942854,0.06388516117392418,0.048336510222302786,109.5,11.5,27.0,3.0,26.0,0.0,22.0,1.0,4.870573049485698,0.3164134578949769,2.517872878032292,0.3029897326368858,0.4803991387285648,0.4942110837167036,0.4761904761904761,0.5341237210957746,0.4937553089414237
triad_runner,0.02,0.02,0.02,0.02,0.0,natural144_deep,deep,144,2,0.0,0.0,-1.0,0.0,5.5,4.5,348.7568571610525,6.266883425710404,0.9796528483275682,0.009684535173060949,0.9844611528822056,0.010776942355889718,0.9876543209876543,0.012345679012345678,1.0,0.0,0.7644823105757649,0.6715663633624983,4.5,1.5,0.0,0.0,0.0,0.0,0.5,0.5,2.0,0.0,0.1027466122233216,0.08258022174932211,0.008561836579834822,0.00687874136074311,0.002674489821154813,0.0006313825443984289,121.0,13.0,53.5,0.5,39.5,0.5,26.5,0.5,5.203728321315991,0.5095328887803525,3.043845258319621,0.16811610672269328,0.8525579853469601,0.1851851851851852,0.6984126984126985,0.6044905363906502,0.6052722381284021
