candidate_a,candidate_b,prob_a_gt_b_mean_composite,bootstrap_comparisons
band_best,band_zero_del,0.204,250
band_best,band_small_death,0.38,250
band_best,band_small_triad,0.344,250
band_best,macro_stable,0.732,250
band_zero_del,band_best,0.796,250
band_zero_del,band_small_death,0.644,250
band_zero_del,band_small_triad,0.612,250
band_zero_del,macro_stable,0.908,250
band_small_death,band_best,0.62,250
band_small_death,band_zero_del,0.356,250
band_small_death,band_small_triad,0.432,250
band_small_death,macro_stable,0.816,250
band_small_triad,band_best,0.656,250
band_small_triad,band_zero_del,0.388,250
band_small_triad,band_small_death,0.568,250
band_small_triad,macro_stable,0.824,250
macro_stable,band_best,0.268,250
macro_stable,band_zero_del,0.092,250
macro_stable,band_small_death,0.184,250
macro_stable,band_small_triad,0.176,250
