ensemble,burnin_label,target_nodes,growth_seed,first_hit_step,hit_target_band,growth_steps_executed,target_low,target_high,initial_nodes,initial_tokens,initial_beta1,initial_triangles,initial_spectral_radius,initial_dim_proxy,initial_clustering,initial_avg_degree,initial_beta1_per_node,initial_triangles_per_node,initial_spectral_per_sqrtN
natural48_deep,deep,48,9001,nan,0,1932.0,43.0,53.0,48.0,6.0,7.0,6.0,3.0825731740563302,2.306234890349064,0.17638888888888885,2.25,0.14583333333333334,0.125,0.44493111295953536
natural48_deep,deep,48,9019,nan,0,1932.0,43.0,53.0,48.0,6.0,4.0,3.0,2.924996733286484,1.9046903418048493,0.08750000000000001,2.125,0.08333333333333333,0.0625,0.4221869128354319
natural48_deep,deep,48,9037,nan,0,1932.0,43.0,53.0,48.0,6.0,5.0,4.0,3.101128356800649,1.8042960231805671,0.09930555555555558,2.1666666666666665,0.10416666666666667,0.08333333333333333,0.4476093228976092
natural48_deep,deep,48,9055,nan,0,1932.0,43.0,53.0,48.0,6.0,3.0,2.0,3.075707059548801,2.096280953561876,0.06597222222222222,2.0833333333333335,0.0625,0.041666666666666664,0.4439400746947332
natural96_deep,deep,96,9001,nan,0,3646.0,86.0,106.0,96.0,8.0,13.0,8.0,3.8823440688730524,2.1677691528982685,0.06873196248196249,2.25,0.13541666666666666,0.08333333333333333,0.3962400822774855
natural96_deep,deep,96,9019,nan,0,3646.0,86.0,106.0,96.0,8.0,9.0,7.0,3.40174587546352,2.0521496744681076,0.09724702380952378,2.1666666666666665,0.09375,0.07291666666666667,0.3471892345626198
natural96_deep,deep,96,9037,nan,0,3646.0,86.0,106.0,96.0,8.0,11.0,10.0,3.5693825394261514,2.420654619741868,0.14675925925925926,2.2083333333333335,0.11458333333333333,0.10416666666666667,0.36429857993307213
natural96_deep,deep,96,9055,nan,0,3646.0,86.0,106.0,96.0,8.0,7.0,5.0,3.274654036916934,2.412504853697242,0.04895833333333333,2.125,0.07291666666666667,0.052083333333333336,0.33421797810798154
natural192_deep,deep,192,9001,nan,0,7068.0,172.0,212.0,192.0,11.0,25.0,23.0,3.944903579834993,2.5466722388159466,0.1143068783068783,2.25,0.13020833333333334,0.11979166666666667,0.28469889296810647
natural192_deep,deep,192,9019,nan,0,7068.0,172.0,212.0,192.0,5.0,23.0,24.0,4.9401465892256144,2.5731102400010792,0.09567099567099566,2.2291666666666665,0.11979166666666667,0.125,0.3565243703907025
natural192_deep,deep,192,9037,nan,0,7068.0,172.0,212.0,192.0,12.0,21.0,19.0,3.9539722286833356,2.6181619175921425,0.10108994708994708,2.2083333333333335,0.109375,0.09895833333333333,0.28535336632482855
natural192_deep,deep,192,9055,nan,0,7068.0,172.0,212.0,192.0,9.0,19.0,17.0,4.034793981069385,2.7403107935581104,0.06153439153439152,2.1875,0.09895833333333333,0.08854166666666667,0.29118617388688645
natural256_deep,deep,256,9001,nan,0,9328.0,230.0,282.0,256.0,8.0,28.0,24.0,4.5175043983989704,2.1775899763682323,0.07832833832833833,2.2109375,0.109375,0.09375,0.28234402489993565
natural256_deep,deep,256,9019,nan,0,9328.0,230.0,282.0,256.0,12.0,23.0,20.0,4.363720389107326,2.210716876274946,0.08370370370370371,2.171875,0.08984375,0.078125,0.27273252431920786
natural256_deep,deep,256,9037,nan,0,9328.0,230.0,282.0,256.0,9.0,27.0,27.0,4.435334807074368,2.6130276918337243,0.0691760461760462,2.203125,0.10546875,0.10546875,0.277208425442148
natural256_deep,deep,256,9055,nan,0,9328.0,230.0,282.0,256.0,13.0,26.0,25.0,4.706298127416267,2.66391169903091,0.10902645502645503,2.1953125,0.1015625,0.09765625,0.2941436329635167
