candidate_name,target_nodes,mean_initial_nodes,mean_radius,mean_overlap,mean_quasi,mean_composite,mean_beta1_drift,mean_causal,mean_geom
band_zero_del,48,48.0,4.1875,0.7335106139090273,1.0,0.8454468976833558,0.0,1.0,0.9341711988187922
band_zero_del,96,96.0,6.9375,0.686492069023181,0.8821428571428571,0.6562900407674059,0.0,0.5909583531637068,0.8377834483367573
band_zero_del,192,192.0,8.4375,0.7189276903002711,0.7952380952380952,0.5780062960469999,0.0,0.3583614553854566,0.9826923188448005
band_zero_del,256,256.0,6.4375,0.7213397516136879,0.7321428571428572,0.6238179945521843,0.0,0.5939502962372044,0.8090666804649974
band_small_triad,48,48.0,4.9375,0.6390054458801753,0.6781746031746031,0.4900558922924263,1.0,0.7899477735257601,0.25124097345569296
band_small_triad,96,96.0,4.8125,0.7136781918190187,0.48988095238095236,0.5602771282024469,1.3125,0.8184841605048142,0.550144355023816
band_small_triad,192,192.0,7.6875,0.6875961325554546,0.2869047619047619,0.327464149164777,2.25,0.3161644768992596,0.43205321127995777
band_small_triad,256,256.0,9.5625,0.6417082579338826,0.20972222222222223,0.20117213656066918,1.1875,0.0,0.48681608932263626
band_best,48,48.0,5.375,0.6474401663749363,0.7569444444444444,0.6143973045823558,0.3125,0.7358157430753046,0.5249036318761123
band_best,96,96.0,8.0,0.6910726739437434,0.6402777777777777,0.4845858508925367,0.6875,0.4017902028018436,0.6091025238198765
band_best,192,192.0,9.0,0.6220442381968467,0.4027777777777778,0.28449706960820903,1.25,0.17556378493628136,0.5405465287876479
band_best,256,256.0,8.8125,0.6728802577219996,0.38253968253968257,0.28009950664414185,0.875,0.24166635413291213,0.30960035807477704
band_small_death,48,48.0,5.375,0.6256379718523108,0.8742063492063492,0.6086561506101466,0.125,0.7649087291803984,0.7502061261249154
band_small_death,96,96.0,6.1875,0.6957762429907174,0.7603174603174603,0.6047979363589128,0.25,0.6300174715961385,0.7721305825604067
band_small_death,192,192.0,8.875,0.6711988354330247,0.4996031746031746,0.40516622554462023,0.625,0.2930632072585882,0.8297892696826046
band_small_death,256,256.0,7.5625,0.7939129337871097,0.6722222222222223,0.5837048383356729,0.625,0.4361638278979298,0.61486924292658
