target_nodes,mean_initial_nodes,mean_radius,mean_overlap,mean_quasi,mean_composite,mean_beta1_drift,mean_causal,mean_geom,candidate_name
48,48.0,4.75,0.6647985239774753,0.8303475935828877,0.797370259115324,0.25,0.698711679579335,0.6400177919767879,band_best
96,96.0,6.75,0.4862705595627778,0.7375222816399286,0.6185047860498011,1.0,0.5919012263148505,0.6118491739531279,band_best
128,128.0,6.5,0.736101977364687,0.7196969696969696,0.7860918585683603,1.75,0.6503143558191239,0.8813190334458181,band_best
160,160.0,7.25,0.2957221768480682,0.301010101010101,0.26629348403155323,2.0,0.30368877079651796,0.24533375479164984,band_best
192,192.0,7.0,0.6005028742430475,0.7416666666666667,0.7051455355745996,1.0,0.5819517181821182,0.8289118387719602,band_best
256,256.0,10.0,0.4623991560221099,0.39745989304812834,0.46112420732752823,2.5,0.12606837606837606,0.6931577635681703,band_best
48,48.0,4.0,0.6561560534124316,0.7519013666072489,0.777387832475278,0.5,0.9152312865811317,0.610313219987677,balanced_pdel
96,96.0,8.0,0.32242464262146164,0.4484699940582294,0.3959322713783183,2.0,0.4338518939465168,0.4978598766076679,balanced_pdel
128,128.0,8.0,0.562271476251911,0.5677658942364825,0.5698106120556989,1.25,0.42383063300732077,0.7181498546852781,balanced_pdel
160,160.0,8.75,0.3427340217889156,0.11229946524064172,0.23807875350006452,2.5,0.2576734830464655,0.4344048333859909,balanced_pdel
192,192.0,9.5,0.28974329706102303,0.2991830065359477,0.23274223877703773,1.25,0.03202860746388775,0.6187080723481141,balanced_pdel
256,256.0,7.75,0.5254196217337335,0.4106803327391563,0.5640495741428733,1.25,0.48171519030436394,0.7930964903645624,balanced_pdel
48,48.0,6.0,0.5740845824272575,0.80256981580511,0.6810086963101808,0.5,0.6751827047618087,0.7229771921282951,macro_stable
96,96.0,8.0,0.39438448311197716,0.3233808674985146,0.37880921350515123,1.25,0.5544117681750523,0.5130540484738325,macro_stable
128,128.0,8.75,0.6176141529253492,0.7401663695781343,0.6298838435518251,0.75,0.5390968541819897,0.7310833387425985,macro_stable
160,160.0,9.0,0.33904654642670873,0.21911764705882353,0.26166807116605956,2.5,0.2297813415740869,0.5054951567052933,macro_stable
192,192.0,7.25,0.4221609556818667,0.5371806298276887,0.47255185143117884,1.5,0.5053418803418803,0.6088292984473105,macro_stable
256,256.0,9.25,0.43568387556018773,0.3302881758764112,0.3820263198681161,2.0,0.19020527654356215,0.6829672157707917,macro_stable
