candidate_a,candidate_b,prob_a_gt_b_mean_composite,bootstrap_comparisons
band_zero_del,bridge_0015_0000,0.15,80
band_zero_del,bridge_0025_0000,0.825,80
band_zero_del,bridge_0035_0000,0.8625,80
band_zero_del,bridge_0025_0000_swap0225,0.875,80
band_zero_del,bridge_0025_0000_swap025,0.9375,80
bridge_0015_0000,band_zero_del,0.85,80
bridge_0015_0000,bridge_0025_0000,0.9875,80
bridge_0015_0000,bridge_0035_0000,1.0,80
bridge_0015_0000,bridge_0025_0000_swap0225,0.9875,80
bridge_0015_0000,bridge_0025_0000_swap025,1.0,80
bridge_0025_0000,band_zero_del,0.175,80
bridge_0025_0000,bridge_0015_0000,0.0125,80
bridge_0025_0000,bridge_0035_0000,0.4375,80
bridge_0025_0000,bridge_0025_0000_swap0225,0.5625,80
bridge_0025_0000,bridge_0025_0000_swap025,0.8125,80
bridge_0035_0000,band_zero_del,0.1375,80
bridge_0035_0000,bridge_0015_0000,0.0,80
bridge_0035_0000,bridge_0025_0000,0.5625,80
bridge_0035_0000,bridge_0025_0000_swap0225,0.55,80
bridge_0035_0000,bridge_0025_0000_swap025,0.7875,80
bridge_0025_0000_swap0225,band_zero_del,0.125,80
bridge_0025_0000_swap0225,bridge_0015_0000,0.0125,80
bridge_0025_0000_swap0225,bridge_0025_0000,0.4375,80
bridge_0025_0000_swap0225,bridge_0035_0000,0.45,80
bridge_0025_0000_swap0225,bridge_0025_0000_swap025,0.7625,80
bridge_0025_0000_swap025,band_zero_del,0.0625,80
bridge_0025_0000_swap025,bridge_0015_0000,0.0,80
bridge_0025_0000_swap025,bridge_0025_0000,0.1875,80
bridge_0025_0000_swap025,bridge_0035_0000,0.2125,80
bridge_0025_0000_swap025,bridge_0025_0000_swap0225,0.2375,80
