ensemble,burnin_label,target_nodes,growth_seed,first_hit_step,hit_target_band,growth_steps_executed,target_low,target_high,initial_nodes,initial_tokens,initial_beta1,initial_triangles,initial_spectral_radius,initial_dim_proxy,initial_clustering,initial_avg_degree,initial_beta1_per_node,initial_triangles_per_node,initial_spectral_per_sqrtN
natural48_deep,deep,48,25001,nan,0,1932.0,43.0,53.0,48.0,7.0,7.0,6.0,3.799410706567538,2.42129402222215,0.15211640211640212,2.25,0.14583333333333334,0.125,0.5483976985496787
natural48_deep,deep,48,25024,nan,0,1932.0,43.0,53.0,48.0,7.0,9.0,8.0,3.4572155385024987,2.585115651183157,0.20753968253968255,2.3333333333333335,0.1875,0.16666666666666666,0.4990060804502437
natural48_deep,deep,48,25047,nan,0,1932.0,43.0,53.0,48.0,5.0,3.0,2.0,3.1466685877072997,2.397637243307532,0.07013888888888889,2.0833333333333335,0.0625,0.041666666666666664,0.4541824890408373
natural48_deep,deep,48,25070,nan,0,1932.0,43.0,53.0,48.0,8.0,5.0,4.0,3.408883561251422,2.0351898076554584,0.13898809523809522,2.1666666666666665,0.10416666666666667,0.08333333333333333,0.4920299604311497
natural96_deep,deep,96,25001,nan,0,3646.0,86.0,106.0,96.0,8.0,13.0,10.0,3.999583457252355,2.7968195742539534,0.1242965367965368,2.25,0.13541666666666666,0.10416666666666667,0.40820577724770524
natural96_deep,deep,96,25024,nan,0,3646.0,86.0,106.0,96.0,9.0,12.0,11.0,3.781235469869963,2.747957192337244,0.1393849206349206,2.2291666666666665,0.125,0.11458333333333333,0.3859207291039336
natural96_deep,deep,96,25047,nan,0,3646.0,86.0,106.0,96.0,5.0,7.0,6.0,3.9936097276274625,2.3684186453147533,0.06173340548340548,2.125,0.07291666666666667,0.0625,0.40759608602094133
natural96_deep,deep,96,25070,nan,0,3646.0,86.0,106.0,96.0,10.0,12.0,10.0,3.876238669283748,2.731360866752317,0.08941723785473786,2.2291666666666665,0.125,0.10416666666666667,0.39561695254125234
natural192_deep,deep,192,25001,nan,0,7068.0,172.0,212.0,192.0,9.0,23.0,22.0,4.264546641423692,2.1382036835577387,0.1177287157287157,2.2291666666666665,0.11979166666666667,0.11458333333333333,0.3077671439247104
natural192_deep,deep,192,25024,nan,0,7068.0,172.0,212.0,192.0,11.0,27.0,24.0,4.549569659586038,2.4944222633868045,0.12177903577903576,2.2708333333333335,0.140625,0.125,0.3283369084573692
natural192_deep,deep,192,25047,nan,0,7068.0,172.0,212.0,192.0,7.0,30.0,27.0,4.523765123976153,2.6328328756705837,0.16232900432900427,2.3020833333333335,0.15625,0.140625,0.3264746265097841
natural192_deep,deep,192,25070,nan,0,7068.0,172.0,212.0,192.0,11.0,22.0,19.0,4.425658709298888,2.3450721529751766,0.11948677248677245,2.21875,0.11458333333333333,0.09895833333333333,0.3193944058943906
natural256_deep,deep,256,25001,nan,0,9328.0,230.0,282.0,256.0,9.0,29.0,24.0,4.186748533319948,2.189345532440611,0.08240740740740739,2.21875,0.11328125,0.09375,0.26167178333249674
natural256_deep,deep,256,25024,nan,0,9328.0,230.0,282.0,256.0,9.0,39.0,39.0,5.069629001005257,3.379388883605322,0.11789886331991599,2.296875,0.15234375,0.15234375,0.31685181256282857
natural256_deep,deep,256,25047,nan,0,9328.0,230.0,282.0,256.0,5.0,37.0,34.0,4.898102862259944,3.653415000644727,0.10943671143671144,2.28125,0.14453125,0.1328125,0.3061314288912465
natural256_deep,deep,256,25070,nan,0,9328.0,230.0,282.0,256.0,8.0,33.0,30.0,5.36019131293545,2.1668219601804397,0.06581843497632972,2.25,0.12890625,0.1171875,0.33501195705846565
