ensemble,burnin_label,target_nodes,growth_seed,first_hit_step,hit_target_band,growth_steps_executed,target_low,target_high,initial_nodes,initial_tokens,initial_beta1,initial_triangles,initial_spectral_radius,initial_dim_proxy,initial_clustering,initial_avg_degree,initial_beta1_per_node,initial_triangles_per_node,initial_spectral_per_sqrtN
natural48_deep,deep,48,27001,nan,0,1932.0,43.0,53.0,48.0,5.0,5.0,2.0,3.0934888778029466,1.9703102380109745,0.041666666666666664,2.1666666666666665,0.10416666666666667,0.041666666666666664,0.44650665908366116
natural48_deep,deep,48,27024,nan,0,1932.0,43.0,53.0,48.0,6.0,3.0,1.0,3.3742506805511696,2.294960210401846,0.023214285714285715,2.0833333333333335,0.0625,0.020833333333333332,0.48703113468237397
natural48_deep,deep,48,27047,nan,0,1932.0,43.0,53.0,48.0,6.0,5.0,4.0,3.268903224092112,1.7072122694910743,0.12351190476190477,2.1666666666666665,0.10416666666666667,0.08333333333333333,0.4718255390961041
natural48_deep,deep,48,27070,nan,0,1932.0,43.0,53.0,48.0,6.0,6.0,5.0,3.3136499893190896,2.197984939738564,0.09751984126984126,2.2083333333333335,0.125,0.10416666666666667,0.47828417833339426
natural96_deep,deep,96,27001,nan,0,3646.0,86.0,106.0,96.0,7.0,10.0,9.0,3.4950207372358477,2.02383150570049,0.08938492063492064,2.1875,0.10416666666666667,0.09375,0.3567090602780713
natural96_deep,deep,96,27024,nan,0,3646.0,86.0,106.0,96.0,7.0,13.0,14.0,4.393871347824171,2.244576294553398,0.08559027777777777,2.25,0.13541666666666666,0.14583333333333334,0.4484476165668419
natural96_deep,deep,96,27047,nan,0,3646.0,86.0,106.0,96.0,7.0,11.0,8.0,3.9725949402066556,2.8207486764722582,0.08394660894660894,2.2083333333333335,0.11458333333333333,0.08333333333333333,0.40545127326118985
natural96_deep,deep,96,27070,nan,0,3646.0,86.0,106.0,96.0,7.0,9.0,8.0,3.498662502454568,2.2229997708335745,0.08058035714285715,2.1666666666666665,0.09375,0.08333333333333333,0.3570807463842746
natural192_deep,deep,192,27001,nan,0,7068.0,172.0,212.0,192.0,9.0,26.0,24.0,4.384573105067751,2.8926016311505722,0.15436507936507934,2.2604166666666665,0.13541666666666666,0.125,0.3164293078115575
natural192_deep,deep,192,27024,nan,0,7068.0,172.0,212.0,192.0,7.0,22.0,19.0,4.559358724664353,2.5824907494009146,0.09755555555555555,2.21875,0.11458333333333333,0.09895833333333333,0.32904337337712913
natural192_deep,deep,192,27047,nan,0,7068.0,172.0,212.0,192.0,7.0,20.0,19.0,4.273554782968652,1.932056742507638,0.10358393458393456,2.1979166666666665,0.10416666666666667,0.09895833333333333,0.30841725054294555
natural192_deep,deep,192,27070,nan,0,7068.0,172.0,212.0,192.0,8.0,18.0,17.0,4.423890084743532,2.2195659575858215,0.09933862433862435,2.1770833333333335,0.09375,0.08854166666666667,0.31926676641149937
natural256_deep,deep,256,27001,nan,0,9328.0,230.0,282.0,256.0,11.0,37.0,33.0,4.519127497585743,2.354537810828469,0.1212380952380952,2.28125,0.14453125,0.12890625,0.28244546859910896
natural256_deep,deep,256,27024,nan,0,9328.0,230.0,282.0,256.0,9.0,36.0,32.0,4.819551831906744,2.783771208964723,0.1301231361231361,2.2734375,0.140625,0.125,0.3012219894941715
natural256_deep,deep,256,27047,nan,0,9328.0,230.0,282.0,256.0,6.0,27.0,24.0,4.654753263378565,2.469527507970971,0.05843874643874644,2.203125,0.10546875,0.09375,0.2909220789611603
natural256_deep,deep,256,27070,nan,0,9328.0,230.0,282.0,256.0,12.0,42.0,41.0,5.049173494112368,2.5991084782507268,0.1261848151848152,2.3203125,0.1640625,0.16015625,0.315573343382023
