target_metric,train_regime,test_regime,basis_name,basis_features,feature_count,cv_rmse,baseline_rmse,relative_skill,intercept,weights
final_radius_control,band_zero_del,band_zero_del,spectral_only,initial_spectral_per_sqrtN,1,2.2303187005349754,2.8976266554501118,0.23029466327554815,16.25977417691149,-25.852119
final_radius_control,band_zero_del,band_zero_del,clustering_only,initial_clustering,1,2.8038458280759078,2.8976266554501118,0.03236470343679809,4.584773737150748,22.353688
final_radius_control,band_zero_del,band_zero_del,dim_only,initial_dim_proxy,1,2.5874259101844874,2.8976266554501118,0.10705338615041082,-2.2534915279643126,3.858145
final_radius_control,band_zero_del,band_zero_del,spectral_plus_clustering,initial_spectral_per_sqrtN+initial_clustering,2,2.224281183248674,2.8976266554501118,0.2323782710015282,17.254442820265393,"-27.083807,-5.691497"
final_radius_control,band_zero_del,band_zero_del,spectral_plus_dim,initial_spectral_per_sqrtN+initial_dim_proxy,2,2.2295035788372126,2.8976266554501118,0.2305759699429305,17.19347003758567,"-26.745587,-0.259925"
final_radius_control,band_zero_del,band_zero_del,clustering_plus_dim,initial_clustering+initial_dim_proxy,2,2.5584465668735343,2.8976266554501118,0.11705444796989894,-2.655913076008021,"12.282378,3.530113"
final_radius_control,band_zero_del,band_zero_del,full_basis,initial_beta1_per_node+initial_triangles_per_node+initial_spectral_per_sqrtN+initial_dim_proxy+initial_clustering,5,2.2218200863036475,2.8976266554501118,0.23322762022338095,18.600095920835944,"-5.653493,5.182845,-27.972889,-0.329609,-6.849799"
final_radius_control,band_zero_del,bridge_0005_0000,spectral_only,initial_spectral_per_sqrtN,1,2.25773245300548,2.576893645336377,0.12385501159836765,16.25977417691149,-25.852119
final_radius_control,band_zero_del,bridge_0005_0000,clustering_only,initial_clustering,1,2.4510376608027817,2.576893645336377,0.048840193603398196,4.584773737150748,22.353688
final_radius_control,band_zero_del,bridge_0005_0000,dim_only,initial_dim_proxy,1,2.498712043471248,2.576893645336377,0.03033947559559569,-2.2534915279643126,3.858145
final_radius_control,band_zero_del,bridge_0005_0000,spectral_plus_clustering,initial_spectral_per_sqrtN+initial_clustering,2,2.2770501311419,2.576893645336377,0.11635851356812077,17.254442820265393,"-27.083807,-5.691497"
final_radius_control,band_zero_del,bridge_0005_0000,spectral_plus_dim,initial_spectral_per_sqrtN+initial_dim_proxy,2,2.2518351781398773,2.576893645336377,0.12614353246001653,17.19347003758567,"-26.745587,-0.259925"
final_radius_control,band_zero_del,bridge_0005_0000,clustering_plus_dim,initial_clustering+initial_dim_proxy,2,2.435078495275979,2.576893645336377,0.05503337334742264,-2.655913076008021,"12.282378,3.530113"
final_radius_control,band_zero_del,bridge_0005_0000,full_basis,initial_beta1_per_node+initial_triangles_per_node+initial_spectral_per_sqrtN+initial_dim_proxy+initial_clustering,5,2.2671295763530175,2.576893645336377,0.120208325067651,18.600095920835944,"-5.653493,5.182845,-27.972889,-0.329609,-6.849799"
final_radius_control,band_zero_del,bridge_00075_0000,spectral_only,initial_spectral_per_sqrtN,1,2.1963607479264025,2.8771646063225162,0.2366231869042389,16.25977417691149,-25.852119
final_radius_control,band_zero_del,bridge_00075_0000,clustering_only,initial_clustering,1,2.735272910669021,2.8771646063225162,0.049316502553135466,4.584773737150748,22.353688
final_radius_control,band_zero_del,bridge_00075_0000,dim_only,initial_dim_proxy,1,2.555469417796837,2.8771646063225162,0.11180979628998633,-2.2534915279643126,3.858145
final_radius_control,band_zero_del,bridge_00075_0000,spectral_plus_clustering,initial_spectral_per_sqrtN+initial_clustering,2,2.2050391590113114,2.8771646063225162,0.23360688013269093,17.254442820265393,"-27.083807,-5.691497"
final_radius_control,band_zero_del,bridge_00075_0000,spectral_plus_dim,initial_spectral_per_sqrtN+initial_dim_proxy,2,2.1959884710065887,2.8771646063225162,0.23675257710978914,17.19347003758567,"-26.745587,-0.259925"
final_radius_control,band_zero_del,bridge_00075_0000,clustering_plus_dim,initial_clustering+initial_dim_proxy,2,2.498289564796199,2.8771646063225162,0.13168347778703604,-2.655913076008021,"12.282378,3.530113"
final_radius_control,band_zero_del,bridge_00075_0000,full_basis,initial_beta1_per_node+initial_triangles_per_node+initial_spectral_per_sqrtN+initial_dim_proxy+initial_clustering,5,2.191388285352513,2.8771646063225162,0.2383514378923689,18.600095920835944,"-5.653493,5.182845,-27.972889,-0.329609,-6.849799"
final_radius_control,band_zero_del,bridge_0010_0000,spectral_only,initial_spectral_per_sqrtN,1,2.43681630632468,2.9731464157311525,0.18039142188514745,16.25977417691149,-25.852119
final_radius_control,band_zero_del,bridge_0010_0000,clustering_only,initial_clustering,1,2.861052359283547,2.9731464157311525,0.037702164903318236,4.584773737150748,22.353688
final_radius_control,band_zero_del,bridge_0010_0000,dim_only,initial_dim_proxy,1,2.6868227907081397,2.9731464157311525,0.09630323737440305,-2.2534915279643126,3.858145
final_radius_control,band_zero_del,bridge_0010_0000,spectral_plus_clustering,initial_spectral_per_sqrtN+initial_clustering,2,2.4426102777577983,2.9731464157311525,0.17844265427570116,17.254442820265393,"-27.083807,-5.691497"
final_radius_control,band_zero_del,bridge_0010_0000,spectral_plus_dim,initial_spectral_per_sqrtN+initial_dim_proxy,2,2.4386419031044904,2.9731464157311525,0.17977739333608211,17.19347003758567,"-26.745587,-0.259925"
final_radius_control,band_zero_del,bridge_0010_0000,clustering_plus_dim,initial_clustering+initial_dim_proxy,2,2.645273308693854,2.9731464157311525,0.11027815693922638,-2.655913076008021,"12.282378,3.530113"
final_radius_control,band_zero_del,bridge_0010_0000,full_basis,initial_beta1_per_node+initial_triangles_per_node+initial_spectral_per_sqrtN+initial_dim_proxy+initial_clustering,5,2.4409902335629154,2.9731464157311525,0.17898754644324166,18.600095920835944,"-5.653493,5.182845,-27.972889,-0.329609,-6.849799"
final_radius_control,band_zero_del,bridge_00125_0000,spectral_only,initial_spectral_per_sqrtN,1,2.283643124576482,2.6496701593075693,0.13814060344278478,16.25977417691149,-25.852119
final_radius_control,band_zero_del,bridge_00125_0000,clustering_only,initial_clustering,1,2.539951708662057,2.6496701593075693,0.04140834294415907,4.584773737150748,22.353688
final_radius_control,band_zero_del,bridge_00125_0000,dim_only,initial_dim_proxy,1,2.517120269441925,2.6496701593075693,0.05002505289197323,-2.2534915279643126,3.858145
final_radius_control,band_zero_del,bridge_00125_0000,spectral_plus_clustering,initial_spectral_per_sqrtN+initial_clustering,2,2.2965124752392057,2.6496701593075693,0.1332836401647265,17.254442820265393,"-27.083807,-5.691497"
final_radius_control,band_zero_del,bridge_00125_0000,spectral_plus_dim,initial_spectral_per_sqrtN+initial_dim_proxy,2,2.280078488572236,2.6496701593075693,0.13948591655344666,17.19347003758567,"-26.745587,-0.259925"
final_radius_control,band_zero_del,bridge_00125_0000,clustering_plus_dim,initial_clustering+initial_dim_proxy,2,2.466021945000342,2.6496701593075693,0.06930983981614514,-2.655913076008021,"12.282378,3.530113"
final_radius_control,band_zero_del,bridge_00125_0000,full_basis,initial_beta1_per_node+initial_triangles_per_node+initial_spectral_per_sqrtN+initial_dim_proxy+initial_clustering,5,2.293556692659241,2.6496701593075693,0.13439916866535218,18.600095920835944,"-5.653493,5.182845,-27.972889,-0.329609,-6.849799"
final_radius_control,band_zero_del,bridge_0015_0000,spectral_only,initial_spectral_per_sqrtN,1,2.931091693566063,2.865260336666635,-0.022975698248772103,16.25977417691149,-25.852119
final_radius_control,band_zero_del,bridge_0015_0000,clustering_only,initial_clustering,1,2.9044244514431625,2.865260336666635,-0.01366860605137532,4.584773737150748,22.353688
final_radius_control,band_zero_del,bridge_0015_0000,dim_only,initial_dim_proxy,1,2.8778820129390943,2.865260336666635,-0.004405071368538405,-2.2534915279643126,3.858145
final_radius_control,band_zero_del,bridge_0015_0000,spectral_plus_clustering,initial_spectral_per_sqrtN+initial_clustering,2,2.924370930169495,2.865260336666635,-0.02063009519464032,17.254442820265393,"-27.083807,-5.691497"
final_radius_control,band_zero_del,bridge_0015_0000,spectral_plus_dim,initial_spectral_per_sqrtN+initial_dim_proxy,2,2.932507918951519,2.865260336666635,-0.02346997284132235,17.19347003758567,"-26.745587,-0.259925"
final_radius_control,band_zero_del,bridge_0015_0000,clustering_plus_dim,initial_clustering+initial_dim_proxy,2,2.898309751035478,2.865260336666635,-0.01153452408701261,-2.655913076008021,"12.282378,3.530113"
