ensemble,burnin_label,target_nodes,growth_seed,first_hit_step,hit_target_band,growth_steps_executed,target_low,target_high,initial_nodes,initial_tokens,initial_beta1,initial_triangles,initial_spectral_radius,initial_dim_proxy,initial_clustering,initial_avg_degree,initial_beta1_per_node,initial_triangles_per_node,initial_spectral_per_sqrtN
natural48_deep,deep,48,29001,nan,0,1932.0,43.0,53.0,48.0,8.0,7.0,6.0,3.8280045351149905,1.8920383641861391,0.11388888888888889,2.25,0.14583333333333334,0.125,0.5525248622019371
natural48_deep,deep,48,29024,nan,0,1932.0,43.0,53.0,48.0,6.0,7.0,6.0,3.5039865929595484,2.2268683841254022,0.12916666666666668,2.25,0.14583333333333334,0.125,0.5057569006705087
natural48_deep,deep,48,29047,nan,0,1932.0,43.0,53.0,48.0,7.0,7.0,6.0,3.334682423921069,2.20804535801416,0.18055555555555555,2.25,0.14583333333333334,0.125,0.48131994877818574
natural48_deep,deep,48,29070,nan,0,1932.0,43.0,53.0,48.0,6.0,6.0,5.0,3.397095343016359,2.3255969995934125,0.11046626984126984,2.2083333333333335,0.125,0.10416666666666667,0.49032847768832977
natural96_deep,deep,96,29001,nan,0,3646.0,86.0,106.0,96.0,8.0,14.0,10.0,4.389683294623608,2.33831066648091,0.11084783272283272,2.2708333333333335,0.14583333333333334,0.10416666666666667,0.4480201751769665
natural96_deep,deep,96,29024,nan,0,3646.0,86.0,106.0,96.0,7.0,9.0,8.0,4.007221067339743,1.980604280835144,0.1125165343915344,2.1666666666666665,0.09375,0.08333333333333333,0.4089852875630567
natural96_deep,deep,96,29047,nan,0,3646.0,86.0,106.0,96.0,9.0,9.0,6.0,3.324823051028518,1.9671457091458695,0.08576388888888888,2.1666666666666665,0.09375,0.0625,0.3393383316693095
natural96_deep,deep,96,29070,nan,0,3646.0,86.0,106.0,96.0,8.0,13.0,11.0,4.022588820790176,2.638125737799848,0.13972387566137565,2.25,0.13541666666666666,0.11458333333333333,0.410553752331659
natural192_deep,deep,192,29001,nan,0,7068.0,172.0,212.0,192.0,11.0,19.0,16.0,3.7657086430159716,2.6922967947778718,0.11829004329004329,2.1875,0.09895833333333333,0.08333333333333333,0.27176661234187144
natural192_deep,deep,192,29024,nan,0,7068.0,172.0,212.0,192.0,10.0,15.0,11.0,3.9948662222823135,2.117499302208139,0.09317989417989417,2.1458333333333335,0.078125,0.057291666666666664,0.28830463610140467
natural192_deep,deep,192,29047,nan,0,7068.0,172.0,212.0,192.0,7.0,21.0,19.0,4.192452963231319,2.695476103448652,0.10241269841269841,2.2083333333333335,0.109375,0.09895833333333333,0.3025642308608058
natural192_deep,deep,192,29070,nan,0,7068.0,172.0,212.0,192.0,7.0,29.0,28.0,4.370722764957488,2.4149850574238716,0.13206637806637805,2.2916666666666665,0.15104166666666666,0.14583333333333334,0.31542974561267895
natural256_deep,deep,256,29001,nan,0,9328.0,230.0,282.0,256.0,5.0,28.0,27.0,4.550189655534525,2.53282416686924,0.12438095238095238,2.2109375,0.109375,0.10546875,0.2843868534709078
natural256_deep,deep,256,29024,nan,0,9328.0,230.0,282.0,256.0,11.0,26.0,22.0,4.892691500034497,2.6376445171124967,0.10772208298524087,2.1953125,0.1015625,0.0859375,0.30579321875215604
natural256_deep,deep,256,29047,nan,0,9328.0,230.0,282.0,256.0,7.0,31.0,31.0,4.139493231137199,2.133503387188358,0.12812698412698412,2.234375,0.12109375,0.12109375,0.25871832694607494
natural256_deep,deep,256,29070,nan,0,9328.0,230.0,282.0,256.0,12.0,26.0,23.0,4.448013991082928,1.81997047338889,0.10745502645502644,2.1953125,0.1015625,0.08984375,0.278000874442683
