target_nodes,ensemble,growth_seed,timing_repeat,steps_per_run,runs_in_bundle,bundle_seconds,seconds_per_run
48,natural48_deep,41001,1,240,6,0.6133717079937924,0.10222861799896539
48,natural48_deep,41001,2,240,6,0.6330197500064969,0.10550329166774948
48,natural48_deep,41024,1,240,6,0.4890763750008773,0.08151272916681289
48,natural48_deep,41024,2,240,6,0.47917208302533254,0.07986201383755542
48,natural48_deep,41047,1,240,6,0.4714568750059698,0.0785761458343283
48,natural48_deep,41047,2,240,6,0.4726301670016255,0.07877169450027093
96,natural96_deep,41001,1,480,6,1.6735925000102725,0.27893208333504543
96,natural96_deep,41001,2,480,6,1.6267397089977749,0.2711232848329625
96,natural96_deep,41024,1,480,6,1.676835749996826,0.279472624999471
96,natural96_deep,41024,2,480,6,1.6690554170054384,0.2781759028342397
96,natural96_deep,41047,1,480,6,1.5606428750033956,0.26010714583389927
96,natural96_deep,41047,2,480,6,1.5831476250023115,0.2638579375003853
192,natural192_deep,41001,1,800,6,6.889036417007446,1.1481727361679077
192,natural192_deep,41001,2,800,6,6.931719000014709,1.1552865000024515
192,natural192_deep,41024,1,800,6,4.212976417009486,0.7021627361682476
192,natural192_deep,41024,2,800,6,4.154411499999696,0.6924019166666161
192,natural192_deep,41047,1,800,6,4.724663833010709,0.7874439721684515
192,natural192_deep,41047,2,800,6,4.711706458008848,0.7852844096681414
256,natural256_deep,41001,1,800,6,7.164739917003317,1.1941233195005527
256,natural256_deep,41001,2,800,6,7.1200766670226585,1.1866794445037765
256,natural256_deep,41024,1,800,6,4.527794833004009,0.7546324721673349
256,natural256_deep,41024,2,800,6,4.5175878329901025,0.7529313054983504
256,natural256_deep,41047,1,800,6,6.148520833987277,1.0247534723312128
256,natural256_deep,41047,2,800,6,6.156022749986732,1.0260037916644553
