split_id,hybrid_policy_name,screen_policy_name,followup_policy_name,budget_frac,feature_count,probe_runs,extend_frac,train_rows,test_rows,screening_seconds,followup_seconds,total_seconds,selected_rows,extended_rows,used_runs,used_seconds,within_target_best_hit,within_target_top_quartile_recall,mean_pairwise_within_target,within_target_selected_lift,selected_lift_all,delta_best_hit_vs_ref,delta_recall_vs_ref,delta_pairwise_vs_ref,time_delta_vs_ref,time_ratio_vs_ref,speedup_vs_ref,near_match_eps_02,faster_than_ref,faster_and_near_match
1,full_basis__full_followup,full_basis,full_followup,0.5,5,6,1.0,12,12,9.588527667801827e-05,27.23913570784498,27.23923159312166,8,8,48,27.23913570784498,1.0,1.0,0.8333333333333333,0.034355730636469545,0.019585253456221086,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1
1,full_basis__probe2_top_half,full_basis,probe2_top_half,0.5,5,2,0.5,12,12,9.316874997845541e-05,18.65338783300831,18.653481001758287,8,4,32,18.65338783300831,0.75,0.75,0.75,0.034355730636469545,0.019585253456221086,-0.25,-0.25,-0.08333333333333326,-8.585750591363372,0.6848020267381033,1.4602760519901927,0,1,0
1,spectral_only__full_followup,spectral_only,full_followup,0.5,1,6,1.0,12,12,3.439291671384126e-05,27.68436779192416,27.684402184840874,8,8,48,27.68436779192416,0.75,0.75,0.6666666666666666,0.02040897137721026,0.005760368663594528,-0.25,-0.25,-0.16666666666666663,0.445170591719215,1.016342993751396,0.9839198047786282,0,0,0
1,spectral_only__probe2_top_half,spectral_only,probe2_top_half,0.5,1,2,0.5,12,12,3.636666670596848e-05,19.154861957067624,19.15489832373433,8,4,32,19.154861957067624,0.5,0.5,0.5833333333333333,0.02040897137721026,0.005760368663594528,-0.5,-0.5,-0.25,-8.08433326938733,0.7032099366771876,1.4220504401931617,0,1,0
1,spectral_plus_dim__probe2_top_half,spectral_plus_dim,probe2_top_half,0.667,2,2,0.5,12,12,4.692472333166127e-05,19.154861957067624,19.154908881790956,8,4,32,19.154861957067624,0.5,0.5,0.5833333333333333,0.02040897137721026,0.005760368663594528,-0.5,-0.5,-0.25,-8.084322711330703,0.703210324281977,1.422049656368547,0,1,0
1,random_baseline__full_followup,random_baseline,full_followup,0.5,0,6,1.0,12,12,1.3588333385996521e-05,29.79418049787637,29.794194086209753,8,8,48,29.79418049787637,0.75,0.75,0.6666666666666666,0.005811600181757359,0.03341013824884809,-0.25,-0.25,-0.16666666666666663,2.5549624930880945,1.093797157396072,0.914246296251703,0,0,0
2,full_basis__full_followup,full_basis,full_followup,0.5,5,6,1.0,12,12,9.192208332630495e-05,28.04044962595799,28.040541548041315,8,8,48,28.04044962595799,0.75,0.75,0.7083333333333334,0.010909961494253578,0.004750593824228044,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1
2,full_basis__probe2_top_half,full_basis,probe2_top_half,0.5,5,2,0.5,12,12,9.094777672241132e-05,18.389342627982842,18.389433575759565,8,4,32,18.389342627982842,0.75,0.75,0.625,0.010909961494253578,0.004750593824228044,0.0,0.0,-0.08333333333333337,-9.65110797228175,0.6558159208249708,1.5248181208258405,1,1,1
2,spectral_only__full_followup,spectral_only,full_followup,0.5,1,6,1.0,12,12,3.6115416636069614e-05,28.072075456992025,28.072111572408662,8,8,48,28.072075456992025,0.75,0.75,0.7083333333333334,0.0429136720693927,0.06888361045130642,0.0,0.0,0.0,0.03157002436734757,1.0011258707080695,0.99887539545125,1,0,0
2,spectral_only__probe2_top_half,spectral_only,probe2_top_half,0.5,1,2,0.5,12,12,3.4637639958721894e-05,18.302930293924874,18.302964931564834,8,4,32,18.302930293924874,0.5,0.5,0.5416666666666666,0.0429136720693927,0.06888361045130642,-0.25,-0.25,-0.16666666666666674,-9.737576616476481,0.6527322198897878,1.5320218146560125,0,1,0
2,spectral_plus_dim__probe2_top_half,spectral_plus_dim,probe2_top_half,0.667,2,2,0.5,12,12,4.4478193255296596e-05,18.389342627982842,18.3893871061761,8,4,32,18.389342627982842,0.75,0.75,0.625,0.010909961494253578,0.004750593824228044,0.0,0.0,-0.08333333333333337,-9.651154441865216,0.6558142635965115,1.524821974008251,1,1,1
2,random_baseline__full_followup,random_baseline,full_followup,0.5,0,6,1.0,12,12,1.2155416673825432e-05,25.9037034160865,25.903715571503174,8,8,48,25.9037034160865,1.0,1.0,0.7916666666666666,0.04152220639221277,0.04750593824228022,0.25,0.25,0.08333333333333326,-2.136825976538141,0.92379512453862,1.0824910994193002,1,1,1
3,full_basis__full_followup,full_basis,full_followup,0.5,5,6,1.0,12,12,8.748125003573174e-05,26.75110004004091,26.751187521290944,8,8,48,26.75110004004091,0.5,0.5,0.5833333333333333,0.012609833440753476,0.020255863539445418,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1
3,full_basis__probe2_top_half,full_basis,probe2_top_half,0.5,5,2,0.5,12,12,8.84690266684629e-05,17.76116916796309,17.761257636989757,8,4,32,17.76116916796309,0.5,0.5,0.5,0.012609833440753476,0.020255863539445418,0.0,0.0,-0.08333333333333326,-8.989929884301187,0.6639427734882345,1.5061539035151812,1,1,1
