target_nodes,growth_seed,placement,seed_delta,run_seed,requested_match,support_signature,full_label,full_exact_return_rate,full_coarse_return_rate,core_nodes,shell_nodes,rare_nodes,tail_active_shell_snapshots,mean_shell_component_count,q90_shell_component_count,shell_connected_rate,shell_fragmented_rate,shell_loop_rate,mean_largest_shell_component_fraction,mean_shell_beta1,mean_attachment_edges_to_core,mean_attachment_node_frac,mean_shell_boundary_to_volume,topology_label
48,202,0,151,5002151,1,"5,6,8",cyclic_return,0.875968992248062,0.9224806201550387,46,4,2,129,2.7829457364341086,4.0,0.10077519379844961,0.8992248062015504,0.0,0.4257105943152455,0.0,2.7829457364341086,1.0,1.0,fragmented_shell_band
48,202,0,179,5002179,1,"5,6,8",cyclic_return,0.8449612403100775,0.9612403100775194,44,6,1,129,3.953488372093023,5.0,0.03875968992248062,0.9612403100775194,0.0,0.30090439276485786,0.0,3.953488372093023,1.0,1.0,fragmented_shell_band
48,202,0,211,5002211,1,"5,6,8",cyclic_return,0.8682170542635659,1.0,44,6,0,129,3.6666666666666665,5.0,0.046511627906976744,0.9534883720930233,0.0,0.4010335917312661,0.0,4.116279069767442,0.7908268733850129,1.074935400516796,fragmented_shell_band
48,202,0,239,5002239,1,"5,6,8",cyclic_return,0.8992248062015504,0.9224806201550387,47,5,0,107,2.794392523364486,4.0,0.24299065420560748,0.7570093457943925,0.0,0.4643302180685358,0.0,3.5700934579439254,0.8985981308411215,1.14797507788162,fragmented_shell_band
48,202,0,271,5002271,1,"5,6,8",cyclic_return,0.9612403100775194,0.8837209302325582,46,4,0,129,2.945736434108527,4.0,0.07751937984496124,0.9224806201550387,0.0,0.39082687338501293,0.0,4.2015503875969,1.0,1.398578811369509,fragmented_shell_band
48,202,0,307,5002307,1,"5,6,8",cyclic_return,0.7054263565891473,0.9147286821705426,42,8,1,129,3.9689922480620154,6.0,0.031007751937984496,0.9689922480620154,0.0,0.26502399409376154,0.0,3.9689922480620154,0.8843300110741972,0.9980989294942784,fragmented_shell_band
48,202,1,151,5002152,1,"6,8,10",cyclic_return,0.9767441860465116,1.0,46,3,0,97,1.958762886597938,3.0,0.32989690721649484,0.6701030927835051,0.0,0.6168384879725086,0.0,1.958762886597938,1.0,1.0,fragmented_shell_band
48,202,1,179,5002180,1,"6,8,10",cyclic_return,0.937984496124031,0.9224806201550387,45,4,0,129,3.13953488372093,4.0,0.06976744186046512,0.9302325581395349,0.0,0.3682170542635659,0.0,3.13953488372093,1.0,1.0,fragmented_shell_band
48,202,1,211,5002212,1,"6,8,10",cyclic_return,0.8604651162790697,0.9069767441860465,47,5,0,124,2.379032258064516,4.0,0.1774193548387097,0.8225806451612904,0.0,0.45188172043010755,0.0,2.379032258064516,0.8586021505376344,0.8586021505376344,fragmented_shell_band
48,202,1,239,5002240,1,"6,8,10",cyclic_return,0.751937984496124,1.0,42,8,0,129,5.651162790697675,8.0,0.023255813953488372,0.9767441860465116,0.0,0.21649132521225545,0.0,5.651162790697675,1.0,1.0,fragmented_shell_band
48,202,1,271,5002272,1,"6,8,10",cyclic_return,0.7209302325581395,0.9224806201550387,49,7,0,129,4.162790697674419,6.0,0.007751937984496124,0.9922480620155039,0.0,0.2684939091915836,0.0,4.162790697674419,1.0,1.0,fragmented_shell_band
48,202,1,307,5002308,1,"6,8,10",cyclic_return,0.8294573643410853,0.9224806201550387,43,6,0,122,4.016393442622951,6.0,0.040983606557377046,0.9590163934426229,0.0,0.2942622950819672,0.0,4.016393442622951,1.0,1.0,fragmented_shell_band
48,202,2,151,5002153,1,"5,6,14",cyclic_return,0.9844961240310077,0.9612403100775194,50,2,0,124,1.25,2.0,0.75,0.25,0.0,0.875,0.0,1.25,1.0,1.0,mixed_shell_topology
48,202,2,179,5002181,1,"5,6,14",cyclic_return,0.5813953488372093,0.9612403100775194,38,14,0,129,7.8604651162790695,9.0,0.0,1.0,0.0,0.22732009592474708,0.0,7.496124031007752,0.797534485325183,0.9114653219304382,fragmented_shell_band
48,202,2,211,5002213,1,"5,6,14",cyclic_return,1.0,1.0,45,3,0,111,1.6936936936936937,2.0,0.3063063063063063,0.6936936936936937,0.0,0.7132132132132132,0.0,1.4954954954954955,0.6951951951951952,1.033033033033033,fragmented_shell_band
48,202,2,239,5002241,1,"5,6,14",cyclic_return,0.5038759689922481,0.8682170542635659,38,11,0,129,6.542635658914729,9.0,0.0,1.0,0.0,0.17090254706533775,0.0,6.9147286821705425,1.0,1.0480712440014766,fragmented_shell_band
48,202,2,271,5002273,1,"5,6,14",cyclic_return,0.6356589147286822,0.9224806201550387,42,8,0,129,4.705426356589148,6.0,0.0,1.0,0.0,0.27742709486895534,0.0,5.503875968992248,0.9302510151347361,1.0891472868217054,fragmented_shell_band
48,202,2,307,5002309,1,"5,6,14",cyclic_return,0.8062015503875969,0.9534883720930233,45,6,0,129,3.054263565891473,4.0,0.007751937984496124,0.9922480620155039,0.0,0.2993540051679587,0.0,3.441860465116279,0.8395348837209302,0.9302325581395349,fragmented_shell_band
