placement,seed_delta,run_seed,support_signature,segment_index,segment_state,start_snapshot_index,end_snapshot_index,start_step,end_step,segment_snapshot_count,mean_shell_component_count,mean_attachment_node_frac,mean_shell_boundary_to_volume
0,151,5002151,"5,6,8",0,fragmented,192,196,1536,1568,5,2.4,1.0,1.0
0,151,5002151,"5,6,8",1,connected,197,197,1576,1576,1,1.0,1.0,1.0
0,151,5002151,"5,6,8",2,fragmented,198,202,1584,1616,5,2.4,1.0,1.0
0,151,5002151,"5,6,8",3,connected,203,210,1624,1680,8,1.0,1.0,1.0
0,151,5002151,"5,6,8",4,fragmented,211,285,1688,2280,75,3.1333333333333333,1.0,1.0
0,151,5002151,"5,6,8",5,connected,286,289,2288,2312,4,1.0,1.0,1.0
0,151,5002151,"5,6,8",6,fragmented,290,320,2320,2560,31,2.806451612903226,1.0,1.0
0,179,5002179,"5,6,8",0,connected,192,192,1536,1536,1,1.0,1.0,1.0
0,179,5002179,"5,6,8",1,fragmented,193,198,1544,1584,6,2.5,1.0,1.0
0,179,5002179,"5,6,8",2,connected,199,199,1592,1592,1,1.0,1.0,1.0
0,179,5002179,"5,6,8",3,fragmented,200,234,1600,1872,35,3.5142857142857142,1.0,1.0
0,179,5002179,"5,6,8",4,connected,235,236,1880,1888,2,1.0,1.0,1.0
0,179,5002179,"5,6,8",5,fragmented,237,237,1896,1896,1,2.0,1.0,1.0
0,179,5002179,"5,6,8",6,connected,238,238,1904,1904,1,1.0,1.0,1.0
0,179,5002179,"5,6,8",7,fragmented,239,320,1912,2560,82,4.451219512195122,1.0,1.0
0,211,5002211,"5,6,8",0,fragmented,192,192,1536,1536,1,2.0,0.6666666666666666,0.6666666666666666
0,211,5002211,"5,6,8",1,connected,193,195,1544,1560,3,1.0,0.5,0.5
0,211,5002211,"5,6,8",2,fragmented,196,214,1568,1712,19,3.0,0.7228070175438597,0.9122807017543859
0,211,5002211,"5,6,8",3,connected,215,217,1720,1736,3,1.0,0.5,0.5
0,211,5002211,"5,6,8",4,fragmented,218,320,1744,2560,103,3.9611650485436893,0.8215210355987055,1.1423948220064726
0,239,5002239,"5,6,8",0,fragmented,192,192,1536,1536,1,2.0,1.0,1.0
0,239,5002239,"5,6,8",1,connected,193,229,1544,1832,15,1.0,1.0,1.0
0,239,5002239,"5,6,8",2,fragmented,230,230,1840,1840,1,2.0,1.0,1.0
0,239,5002239,"5,6,8",3,connected,231,237,1848,1896,7,1.0,1.0,1.0
0,239,5002239,"5,6,8",4,fragmented,238,244,1904,1952,7,2.0,1.0,1.5
0,239,5002239,"5,6,8",5,connected,245,248,1960,1984,4,1.0,1.0,2.0
0,239,5002239,"5,6,8",6,fragmented,249,320,1992,2560,72,3.5416666666666665,0.8493055555555555,1.1157407407407407
0,271,5002271,"5,6,8",0,fragmented,192,211,1536,1688,20,2.6,1.0,1.2416666666666667
0,271,5002271,"5,6,8",1,connected,212,215,1696,1720,4,1.0,1.0,1.0
0,271,5002271,"5,6,8",2,fragmented,216,216,1728,1728,1,2.0,1.0,1.0
0,271,5002271,"5,6,8",3,connected,217,222,1736,1776,6,1.0,1.0,1.0
0,271,5002271,"5,6,8",4,fragmented,223,320,1784,2560,98,3.2244897959183674,1.0,1.4753401360544218
0,307,5002307,"5,6,8",0,fragmented,192,218,1536,1744,27,3.037037037037037,1.0,1.0
0,307,5002307,"5,6,8",1,connected,219,219,1752,1752,1,1.0,1.0,1.0
0,307,5002307,"5,6,8",2,fragmented,220,224,1760,1792,5,2.6,1.0,1.0666666666666667
0,307,5002307,"5,6,8",3,connected,225,226,1800,1808,2,1.0,1.0,1.0
0,307,5002307,"5,6,8",4,fragmented,227,279,1816,2232,53,4.132075471698113,0.864240790655885,1.039937106918239
0,307,5002307,"5,6,8",5,connected,280,280,2240,2240,1,1.0,0.5,0.5
0,307,5002307,"5,6,8",6,fragmented,281,320,2248,2560,40,4.85,0.8193452380952381,0.9451190476190476
1,151,5002152,"6,8,10",0,connected,192,197,1536,1576,6,1.0,1.0,1.0
