source_group,placement,anchor_seed_delta,holdout_seed_delta,run_seed,support_signature,band_lock_label,dominant_band,dominant_band_share,top2_band_share,onset_kind,onset_signature,onset_label,onset_family,onset_snapshot_index,onset_step,onset_fraction,suffix_snapshot_count,pre_unique_band_count,pre_switch_count,post_switch_count,post_band_span,post_dominant_band,post_dominant_share
anchor_main_family,0,151,-1,5002151,"5,6,8",low_band_lock,low,0.7286821705426356,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,8,1,low,0.7286821705426356
anchor_main_family,0,179,-1,5002179,"5,6,8",mid_band_lock,mid,0.6976744186046512,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,5,1,mid,0.6976744186046512
anchor_main_family,2,179,-1,5002181,"5,6,14",high_band_lock,high,0.8217054263565892,1.0,adjacent,mid-high,immediate_mid-high_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,11,1,high,0.8217054263565892
anchor_main_family,0,211,-1,5002211,"5,6,8",mid_band_lock,mid,0.6201550387596899,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,13,1,mid,0.6201550387596899
anchor_main_family,1,239,-1,5002240,"6,8,10",two_band_drift,mid,0.4418604651162791,0.8604651162790697,adjacent,mid-high,mid_tail_mid-high_ladder,delayed_structured_onset,28,1760,0.21705426356589147,101,2,3,9,1,high,0.5346534653465347
anchor_main_family,2,239,-1,5002241,"5,6,14",two_band_drift,high,0.5891472868217055,0.9147286821705426,adjacent,mid-high,mid_tail_mid-high_ladder,delayed_structured_onset,37,1832,0.2868217054263566,92,2,9,13,1,high,0.8260869565217391
anchor_main_family,0,271,-1,5002271,"5,6,8",low_band_lock,low,0.7286821705426356,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,12,1,low,0.7286821705426356
anchor_main_family,1,271,-1,5002272,"6,8,10",mid_band_lock,mid,0.6046511627906976,0.9302325581395349,none,none,persistent_three_band_churn,persistent_three_band_churn,-1,-1,nan,0,0,0,-1,3,none,nan
anchor_main_family,2,271,-1,5002273,"5,6,14",mid_band_lock,mid,0.8604651162790697,0.9612403100775194,none,none,persistent_three_band_churn,persistent_three_band_churn,-1,-1,nan,0,0,0,-1,3,none,nan
anchor_main_family,0,307,-1,5002307,"5,6,8",mid_band_lock,mid,0.6046511627906976,0.9844961240310077,none,none,persistent_three_band_churn,persistent_three_band_churn,-1,-1,nan,0,0,0,-1,3,none,nan
anchor_main_family,1,307,-1,5002308,"6,8,10",mid_band_lock,mid,0.6885245901639344,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,122,0,0,11,1,mid,0.6885245901639344
anchor_main_family,2,307,-1,5002309,"5,6,14",low_band_lock,low,0.689922480620155,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,6,1,low,0.689922480620155
holdout_revert,2,151,143,5002145,"5,6,14",low_band_lock,low,0.9457364341085271,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,6,1,low,0.9457364341085271
holdout_revert,1,151,159,5002160,"6,8,10",low_band_lock,low,1.0,1.0,single,low,immediate_low_lock,immediate_structured_onset,0,1536,0.0,129,0,0,0,0,low,1.0
holdout_revert,2,151,159,5002161,"5,6,14",two_band_drift,high,0.4728682170542636,0.8837209302325582,none,none,persistent_three_band_churn,persistent_three_band_churn,-1,-1,nan,0,0,0,-1,3,none,nan
holdout_revert,1,179,187,5002188,"6,8,10",two_band_drift,low,0.5271317829457365,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,11,1,low,0.5271317829457365
holdout_revert,1,211,203,5002204,"6,8,10",low_band_lock,low,0.8151260504201681,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,119,0,0,8,1,low,0.8151260504201681
holdout_revert,2,211,203,5002205,"5,6,14",high_band_lock,high,0.7286821705426356,0.8682170542635659,adjacent,mid-high,mid_tail_mid-high_ladder,delayed_structured_onset,29,1768,0.2248062015503876,100,2,9,5,1,high,0.94
holdout_revert,1,211,219,5002220,"6,8,10",mid_band_lock,mid,0.689922480620155,0.9224806201550387,adjacent,mid-high,late_tail_mid-high_ladder,delayed_structured_onset,57,1992,0.4418604651162791,72,2,12,4,1,mid,0.8611111111111112
holdout_revert,2,211,219,5002221,"5,6,14",band_drift_lock,mid,0.5625,0.84375,adjacent,mid-high,late_tail_mid-high_ladder,delayed_structured_onset,81,2192,0.6328125,47,3,11,1,1,mid,0.8723404255319149
holdout_revert,0,239,231,5002231,"5,6,8",two_band_drift,low,0.5658914728682171,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,3,1,low,0.5658914728682171
holdout_revert,0,239,247,5002247,"5,6,8",mid_band_lock,mid,0.7286821705426356,1.0,adjacent,low-mid,immediate_low-mid_ladder,immediate_structured_onset,0,1536,0.0,129,0,0,16,1,mid,0.7286821705426356
