target_nodes,growth_seed,placement,run_seed,requested_match,support_signature,full_label,full_exact_return_rate,full_coarse_return_rate,tail_union_nodes,mean_tail_damage_nodes,core_nodes,shell_nodes,rare_nodes,core_share_of_union,shell_share_of_union,rare_share_of_union,mean_core_cover,q10_core_cover,mean_shell_cover,support_core_count,support_shell_count,support_rare_count,support_core_frac,support_shell_frac,core_shell_label
48,101,0,4901000,1,"7,8,9",morphology_return,0.16923076923076924,0.8461538461538461,52,44.90769230769231,40,11,1,0.7692307692307693,0.21153846153846154,0.019230769230769232,0.9769230769230769,0.935,0.5244755244755245,3,0,0,1.0,0.0,stable_core_variable_shell
48,101,1,4901001,1,"2,3,5",morphology_return,0.13846153846153847,0.7692307692307693,50,40.36923076923077,35,13,2,0.7,0.26,0.04,0.9718681318681318,0.9428571428571428,0.4840236686390533,3,0,0,1.0,0.0,stable_core_variable_shell
48,101,2,4901002,1,"8,13,27",morphology_return,0.1076923076923077,1.0,49,40.50769230769231,34,14,1,0.6938775510204082,0.2857142857142857,0.02040816326530612,0.9886877828054299,0.9705882352941175,0.4912087912087912,3,0,0,1.0,0.0,stable_core_variable_shell
48,101,3,4901003,1,"1,2,3",morphology_return,0.15384615384615385,0.8153846153846154,49,41.353846153846156,35,14,0,0.7142857142857143,0.2857142857142857,0.0,0.9683516483516483,0.9257142857142857,0.532967032967033,3,0,0,1.0,0.0,stable_core_variable_shell
48,202,0,5002000,1,"5,6,8",morphology_return,0.0,0.9538461538461539,46,37.10769230769231,30,16,0,0.6521739130434783,0.34782608695652173,0.0,0.9758974358974359,0.9333333333333333,0.4894230769230769,3,0,0,1.0,0.0,stable_core_variable_shell
48,202,1,5002001,1,"6,8,10",morphology_return,0.0,0.9076923076923077,51,42.10769230769231,34,16,1,0.6666666666666666,0.3137254901960784,0.0196078431372549,0.9705882352941176,0.9411764705882353,0.5625,3,0,0,1.0,0.0,stable_core_variable_shell
48,202,2,5002002,1,"5,6,14",cyclic_return,0.27692307692307694,1.0,48,41.87692307692308,35,13,0,0.7291666666666666,0.2708333333333333,0.0,0.985934065934066,0.9542857142857143,0.5668639053254438,3,0,0,1.0,0.0,stable_core_variable_shell
48,202,3,5002003,1,"5,6,19",morphology_return,0.06153846153846154,0.8153846153846154,51,40.95384615384615,31,20,0,0.6078431372549019,0.39215686274509803,0.0,0.9791563275434243,0.9354838709677419,0.53,3,0,0,1.0,0.0,stable_core_variable_shell
96,101,0,9701000,1,"9,15,58",morphology_return,0.0,0.676923076923077,88,48.2,31,39,18,0.3522727272727273,0.4431818181818182,0.20454545454545456,0.9870967741935484,0.9483870967741936,0.4067061143984221,3,0,0,1.0,0.0,diffuse_shell_recurrence
96,101,1,9701001,1,"0,1,12",morphology_return,0.0,0.6153846153846154,87,53.723076923076924,35,39,13,0.40229885057471265,0.4482758620689655,0.14942528735632185,0.9534065934065934,0.9142857142857144,0.48717948717948717,3,0,0,1.0,0.0,mixed_core_shell
96,101,2,9701002,1,"0,1,70",morphology_return,0.0,0.4461538461538462,73,30.338461538461537,14,35,24,0.1917808219178082,0.4794520547945205,0.3287671232876712,0.9461538461538461,0.7857142857142857,0.4342857142857143,2,1,0,0.6666666666666666,0.3333333333333333,diffuse_shell_recurrence
96,101,3,9701003,1,"4,5,16",morphology_return,0.03076923076923077,0.7846153846153846,87,60.707692307692305,49,25,13,0.5632183908045977,0.28735632183908044,0.14942528735632185,0.9777080062794349,0.9387755102040816,0.46276923076923077,3,0,0,1.0,0.0,stable_core_variable_shell
96,202,0,9802000,1,"8,10,64",morphology_return,0.0,0.5846153846153846,93,62.753846153846155,48,31,14,0.5161290322580645,0.3333333333333333,0.15053763440860216,0.9961538461538462,0.9874999999999999,0.4466501240694789,3,0,0,1.0,0.0,mixed_core_shell
96,202,1,9802001,1,"6,7,18",morphology_return,0.0,0.8461538461538461,73,37.93846153846154,25,28,20,0.3424657534246575,0.3835616438356164,0.273972602739726,0.976,0.896,0.42417582417582417,3,0,0,1.0,0.0,diffuse_shell_recurrence
96,202,2,9802002,1,"6,7,8",morphology_return,0.0,0.4461538461538462,77,26.0,10,34,33,0.12987012987012986,0.44155844155844154,0.42857142857142855,0.9538461538461539,0.9,0.39592760180995473,3,0,0,1.0,0.0,diffuse_shell_recurrence
96,202,3,9802003,1,"0,13,39",morphology_return,0.03076923076923077,0.6307692307692307,36,15.907692307692308,8,16,12,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.9519230769230769,0.8,0.4653846153846154,3,0,0,1.0,0.0,diffuse_shell_recurrence
