target_nodes,growth_seed,placement,seed_delta,run_seed,requested_match,support_signature,full_label,full_exact_return_rate,full_coarse_return_rate,core_shell_label,core_share_of_union,shell_share_of_union,rare_share_of_union,mean_core_cover,abs_delta_tokens,abs_delta_nodes,abs_delta_beta1,abs_delta_triangles,abs_delta_spectral_radius,abs_delta_clustering,abs_delta_dim_proxy,abs_delta_tokens_rel,abs_delta_nodes_rel,abs_delta_beta1_rel,abs_delta_triangles_rel,abs_delta_spectral_radius_rel,abs_delta_clustering_rel,abs_delta_dim_proxy_rel
48,202,0,151,5002151,1,"5,6,8",cyclic_return,0.875968992248062,0.9224806201550387,dominant_static_core,0.8846153846153846,0.07692307692307693,0.038461538461538464,0.9900572969329289,9.0,0.0,1.0,1.0,0.48781845496214116,0.01342840166369578,0.2097226445227256,1.2857142857142858,0.0,0.5,1.0,0.13373871058146564,0.477990746860542,0.08809287540143998
48,202,0,179,5002179,1,"5,6,8",cyclic_return,0.8449612403100775,0.9612403100775194,stable_core_variable_shell,0.8627450980392157,0.11764705882352941,0.0196078431372549,0.9896053558844257,8.0,0.0,1.0,0.0,0.4484568474807853,0.014599344011108718,0.39766131259610127,1.1428571428571428,0.0,0.5,0.0,0.12294746113728697,0.519671031766207,0.16703550797875547
48,202,0,211,5002211,1,"5,6,8",cyclic_return,0.8682170542635659,1.0,stable_core_variable_shell,0.88,0.12,0.0,0.9867864693446089,50.0,0.0,1.0,0.0,0.023770537408092984,0.01360544217687075,0.08651188619831762,7.142857142857143,0.0,0.5,0.0,0.006516852715286408,0.4842925934418712,0.03633885520066541
48,202,0,239,5002239,1,"5,6,8",cyclic_return,0.8992248062015504,0.9224806201550387,dominant_static_core,0.9038461538461539,0.09615384615384616,0.0,0.9851558634339436,47.0,0.0,1.0,0.0,0.3324272816412437,0.004354904354904352,0.20068868249357985,6.714285714285714,0.0,0.5,0.0,0.09113717522690282,0.15501502243075269,0.08429820795755964
48,202,0,271,5002271,1,"5,6,8",cyclic_return,0.9612403100775194,0.8837209302325582,dominant_static_core,0.92,0.08,0.0,0.9883720930232558,7.0,0.0,1.0,1.0,0.23777078115647,0.010770975056689343,0.45896293432516866,1.0,0.0,0.5,1.0,0.06518645894256303,0.3833983031414814,0.1927849263936075
48,202,0,307,5002307,1,"5,6,8",cyclic_return,0.7054263565891473,0.9147286821705426,stable_core_variable_shell,0.8235294117647058,0.1568627450980392,0.0196078431372549,0.977297895902547,14.0,0.0,1.0,0.0,0.11273918140095729,0.0,0.5613857789308887,2.0,0.0,0.5,0.0,0.030908204884835956,0.0,0.23580709459411883
48,202,1,151,5002152,1,"6,8,10",cyclic_return,0.9767441860465116,1.0,dominant_static_core,0.9387755102040817,0.061224489795918366,0.0,0.9927536231884058,35.0,0.0,1.0,1.0,0.7157234722904908,0.022758194186765616,0.5646826841849426,5.0,0.0,0.5,1.0,0.1962204040116692,0.8100894290300391,0.2371919420168503
48,202,1,179,5002180,1,"6,8,10",cyclic_return,0.937984496124031,0.9224806201550387,dominant_static_core,0.9183673469387755,0.08163265306122448,0.0,0.9844961240310077,39.0,0.0,1.0,1.0,0.7066923006559294,0.00826044703595724,0.21173952435949595,5.571428571428571,0.0,0.5,1.0,0.19374444756278927,0.2940347888754218,0.08894005499220198
48,202,1,211,5002212,1,"6,8,10",cyclic_return,0.8604651162790697,0.9069767441860465,dominant_static_core,0.9038461538461539,0.09615384615384616,0.0,0.9820221012699983,31.0,0.0,1.0,0.0,0.2468236727258475,0.0,0.31948275503771306,4.428571428571429,0.0,0.5,0.0,0.0676683700576649,0.0,0.13419702291326163
48,202,1,239,5002240,1,"6,8,10",cyclic_return,0.751937984496124,1.0,stable_core_variable_shell,0.84,0.16,0.0,0.9841269841269841,25.0,0.0,1.0,1.0,0.16496667341275817,0.026969696969696966,0.3752062385614494,3.5714285714285716,0.0,0.5,1.0,0.045226723111261254,0.96,0.15760337420242237
48,202,1,271,5002272,1,"6,8,10",cyclic_return,0.7209302325581395,0.9224806201550387,stable_core_variable_shell,0.875,0.125,0.0,0.9878183831672204,16.0,0.0,1.0,2.0,0.7333183080836645,0.031271197937864606,0.5557653847811159,2.2857142857142856,0.0,0.5,2.0,0.20104414659035924,1.113114101878147,0.23344627808491605
