perturbation,target_nodes,growth_seed,placement,seed_delta,run_seed,requested_match,support_signature,full_exact_return_rate,full_coarse_return_rate,core_share_of_union,shell_share_of_union,rare_share_of_union,mean_shell_refresh,burst_rate,mean_shell_cover,shell_connected_rate,shell_fragmented_rate,mean_attachment_node_frac,abs_delta_tokens,abs_delta_nodes,abs_delta_beta1,abs_delta_triangles,abs_delta_spectral_radius,abs_delta_clustering,abs_delta_dim_proxy,abs_delta_tokens_rel,abs_delta_nodes_rel,abs_delta_beta1_rel,abs_delta_triangles_rel,abs_delta_spectral_radius_rel,abs_delta_clustering_rel,abs_delta_dim_proxy_rel
add_chord,96,202,3,719,9803019,1,"0,13,39",0.10077519379844961,0.8062015503875969,0.5816326530612245,0.35714285714285715,0.061224489795918366,0.0812656051022351,0.0,0.5344407530454042,0.0,1.0,0.8937975381702745,10.0,0.0,1.0,0.0,0.15871276647101196,0.0016031746031745925,0.2476439157696313,1.25,0.0,0.07142857142857142,0.0,0.041496921149808616,0.010276084998145234,0.09551541293338921
add_chord,96,202,3,751,9803051,1,"0,13,39",0.2248062015503876,0.9224806201550387,0.6470588235294118,0.3137254901960784,0.0392156862745098,0.08397072716111176,0.0,0.5743701550387597,0.0,1.0,0.8391309512240606,13.0,0.0,1.0,1.0,0.09845405008032371,0.03145649729808146,0.1244124412691412,1.625,0.0,0.07142857142857142,0.09090909090909091,0.02574172225653129,0.20163096355126564,0.04798545389230317
add_chord,96,202,3,787,9803087,1,"0,13,39",0.0,0.7674418604651163,0.3548387096774194,0.3870967741935484,0.25806451612903225,0.08136392552934252,0.0,0.49063307493540054,0.0,1.0,0.6751629981965139,0.0,0.0,1.0,1.0,0.13121315340861317,0.0048023971493359185,0.10552089542382515,0.0,0.0,0.07142857142857142,0.09090909090909091,0.034306892897676584,0.030782574277127484,0.04069904914960004
add_chord,96,202,3,823,9803123,1,"0,13,39",0.03875968992248062,0.6124031007751938,0.41935483870967744,0.5161290322580645,0.06451612903225806,0.08490074938906618,0.0,0.5087209302325582,0.0,1.0,0.7111978835565733,3.0,0.0,1.0,2.0,0.02565248357191674,0.016069383079692356,0.18157446361913898,0.375,0.0,0.07142857142857142,0.18181818181818182,0.006707079157838351,0.1030020972560854,0.07003265077941202
add_chord,96,202,3,859,9803159,1,"0,13,39",0.046511627906976744,0.7131782945736435,0.5918367346938775,0.37755102040816324,0.030612244897959183,0.08662249798531074,0.0,0.5296459249947623,0.0,1.0,0.8625929355027718,16.0,0.0,1.0,3.0,0.058690767097817176,0.023593073593073596,0.16638635315258243,2.0,0.0,0.07142857142857142,0.2727272727272727,0.015345244044528262,0.15122771351906006,0.06417464841992511
add_chord,96,202,3,887,9803187,1,"0,13,39",0.031007751937984496,0.7906976744186046,0.4842105263157895,0.4421052631578947,0.07368421052631578,0.0998906337698218,0.0,0.4900332225913621,0.0,1.0,0.8801009607711426,3.0,0.0,1.0,3.0,0.4693176314871583,0.02835720980050878,0.21332786370525403,0.375,0.0,0.07142857142857142,0.2727272727272727,0.12270743671772992,0.1817650414641271,0.08227982879643934
local_swap,96,202,3,719,9803026,1,"0,13,39",0.007751937984496124,0.4108527131782946,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.09838871179601097,0.0078125,0.4587209302325581,0.0,1.0,0.5899832022544896,3.0,0.0,0.0,3.0,0.06138154869554757,0.04931636020744931,0.09631262397225315,0.375,0.0,0.0,0.2727272727272727,0.01604877378744134,0.3161097414388781,0.03714745028489054
local_swap,96,202,3,751,9803058,1,"0,13,39",0.007751937984496124,0.751937984496124,0.41935483870967744,0.46236559139784944,0.11827956989247312,0.10079146757708522,0.0,0.48674959437533805,0.0,1.0,0.7867007610035012,2.0,0.0,0.0,3.0,0.134219848857156,0.024255952380952392,0.05586185775612007,0.25,0.0,0.0,0.2727272727272727,0.03509302123961093,0.15547665730485938,0.02154572784160593
local_swap,96,202,3,787,9803094,1,"0,13,39",0.10077519379844961,0.8914728682170543,0.7058823529411765,0.24509803921568626,0.049019607843137254,0.07967778393293584,0.0,0.6114728682170543,0.0,1.0,0.8056648511513873,11.0,0.0,0.0,5.0,0.3180302971821187,0.05270312745560268,0.040857325679746204,1.375,0.0,0.0,0.45454545454545453,0.0831519635052609,0.33781836134967413,0.015758531040533204
local_swap,96,202,3,823,9803130,1,"0,13,39",0.015503875968992248,0.8217054263565892,0.49473684210526314,0.47368421052631576,0.031578947368421054,0.0957956151696841,0.0,0.5233419465977606,0.0,1.0,0.9016711045164176,4.0,0.0,0.0,4.0,0.03816053540688813,0.03300319209410117,0.14406062303474165,0.5,0.0,0.0,0.36363636363636365,0.009977425030287923,0.21154502229359748,0.05556369052654136
local_swap,96,202,3,859,9803166,1,"0,13,39",0.06976744186046512,0.9612403100775194,0.6288659793814433,0.32989690721649484,0.041237113402061855,0.11062992667349328,0.0,0.5191375968992248,0.0,1.0,0.9401697097590312,6.0,0.0,0.0,1.0,0.15058253441183433,0.007734045999352124,0.5175136141946775,0.75,0.0,0.0,0.09090909090909091,0.039371196759824145,0.04957396026080404,0.1996032343650939
local_swap,96,202,3,887,9803194,1,"0,13,39",0.0,0.6201550387596899,0.43010752688172044,0.46236559139784944,0.10752688172043011,0.07518068798083699,0.0,0.48296376419686315,0.0,1.0,0.7346010310652059,3.0,0.0,0.0,0.0,0.15312245848716843,0.004818434715341935,0.23123585448225858,0.375,0.0,0.0,0.0,0.040035283407824765,0.03088537243218486,0.08918687970684444
