perturbation,seed_delta,run_seed,support_signature,segment_index,segment_state,start_snapshot_index,end_snapshot_index,start_step,end_step,segment_snapshot_count,mean_attachment_node_frac,mean_shell_boundary_to_volume,mean_shell_active_nodes
add_chord,719,9803019,"0,13,39",0,fragmented,192,320,1536,2560,129,0.8937975381702745,1.3165571418541577,18.705426356589147
add_chord,751,9803051,"0,13,39",0,fragmented,192,320,1536,2560,129,0.8391309512240606,1.2954832039312094,18.37984496124031
add_chord,787,9803087,"0,13,39",0,fragmented,192,320,1536,2560,129,0.6751629981965139,2.031423593632896,11.775193798449612
add_chord,823,9803123,"0,13,39",0,fragmented,192,320,1536,2560,129,0.7111978835565733,1.4253834045870388,24.41860465116279
add_chord,859,9803159,"0,13,39",0,fragmented,192,320,1536,2560,129,0.8625929355027718,1.3241529424713967,19.5968992248062
add_chord,887,9803187,"0,13,39",0,fragmented,192,320,1536,2560,129,0.8801009607711426,1.3394383682719162,20.58139534883721
local_swap,719,9803026,"0,13,39",0,fragmented,192,320,1536,2560,129,0.5899832022544896,1.9184830180523667,18.348837209302324
local_swap,751,9803058,"0,13,39",0,fragmented,192,320,1536,2560,129,0.7867007610035012,1.6990862940594882,20.930232558139537
local_swap,787,9803094,"0,13,39",0,fragmented,192,320,1536,2560,129,0.8056648511513873,1.214122180295951,15.286821705426357
local_swap,823,9803130,"0,13,39",0,fragmented,192,320,1536,2560,129,0.9016711045164176,1.333272631864213,23.550387596899224
local_swap,859,9803166,"0,13,39",0,fragmented,192,320,1536,2560,129,0.9401697097590312,1.388767922049069,16.612403100775193
local_swap,887,9803194,"0,13,39",0,fragmented,192,320,1536,2560,129,0.7346010310652059,1.384725125336553,20.767441860465116
