profile_a,profile_b,perturbation_a,perturbation_b,placement_a,placement_b,family_a,family_b,same_perturbation,same_placement,family_match,support_distance,carrier_distance,combined_distance,symmetry_label,combined_rank
add_chord_p0,local_swap_p0,add_chord,local_swap,0,0,geometry_core_family,geometry_core_family,0,1,1,0.0,0.22829168315626194,0.11414584157813097,support_only_near_symmetry,1
add_chord_p2,local_swap_p2,add_chord,local_swap,2,2,geometry_core_family,geometry_core_family,0,1,1,0.0,0.2393805566450009,0.11969027832250045,support_only_near_symmetry,2
add_chord_p3,local_swap_p3,add_chord,local_swap,3,3,geometry_core_family,spectral_core_family,0,1,0,0.0,0.2511498954073763,0.12557494770368816,support_only_near_symmetry,3
add_chord_p3,local_swap_p0,add_chord,local_swap,3,0,geometry_core_family,geometry_core_family,0,0,1,0.3962091503267973,0.15601080575883133,0.27610997804281434,carrier_only_near_symmetry,4
add_chord_p0,add_chord_p3,add_chord,add_chord,0,3,geometry_core_family,geometry_core_family,1,0,1,0.3962091503267973,0.1764731169450832,0.28634113363594027,carrier_only_near_symmetry,5
add_chord_p1,add_chord_p2,add_chord,add_chord,1,2,expanded_shell_family,geometry_core_family,1,0,0,0.2825016903313049,0.4081655022704026,0.34533359630085375,no_near_symmetry,6
add_chord_p1,local_swap_p3,add_chord,local_swap,1,3,expanded_shell_family,spectral_core_family,0,0,0,0.48496732026143796,0.23605517717600247,0.3605112487187202,no_near_symmetry,7
local_swap_p0,local_swap_p3,local_swap,local_swap,0,3,geometry_core_family,spectral_core_family,1,0,0,0.3962091503267973,0.3876430341281385,0.3919260922274679,no_near_symmetry,8
add_chord_p0,local_swap_p3,add_chord,local_swap,0,3,geometry_core_family,spectral_core_family,0,0,0,0.3962091503267973,0.41187749269096663,0.404043321508882,no_near_symmetry,9
add_chord_p1,local_swap_p1,add_chord,local_swap,1,1,expanded_shell_family,geometry_core_family,0,1,0,0.0,0.8120138193274442,0.4060069096637221,support_only_near_symmetry,10
local_swap_p1,local_swap_p2,local_swap,local_swap,1,2,geometry_core_family,geometry_core_family,1,0,1,0.2825016903313049,0.5313282393005296,0.40691496481591727,no_near_symmetry,11
add_chord_p1,add_chord_p3,add_chord,add_chord,1,3,expanded_shell_family,geometry_core_family,1,0,0,0.48496732026143796,0.34847874040267984,0.41672303033205893,no_near_symmetry,12
add_chord_p2,local_swap_p1,add_chord,local_swap,2,1,geometry_core_family,geometry_core_family,0,0,1,0.2825016903313049,0.588191435977037,0.435346563154171,no_near_symmetry,13
add_chord_p2,add_chord_p3,add_chord,add_chord,2,3,geometry_core_family,geometry_core_family,1,0,1,0.7067793554203291,0.16939388115504916,0.43808661828768913,carrier_only_near_symmetry,14
add_chord_p1,local_swap_p2,add_chord,local_swap,1,2,expanded_shell_family,geometry_core_family,0,0,0,0.2825016903313049,0.625739321119729,0.45412050572551693,no_near_symmetry,15
add_chord_p3,local_swap_p1,add_chord,local_swap,3,1,geometry_core_family,geometry_core_family,0,0,1,0.48496732026143796,0.48571354524797955,0.48534043275470873,no_near_symmetry,16
local_swap_p0,local_swap_p1,local_swap,local_swap,0,1,geometry_core_family,geometry_core_family,1,0,1,0.6145098039215686,0.37896018677423526,0.49673499534790194,no_near_symmetry,17
add_chord_p3,local_swap_p2,add_chord,local_swap,3,2,geometry_core_family,geometry_core_family,0,0,1,0.7067793554203291,0.3215944044751542,0.5141868799477416,no_near_symmetry,18
add_chord_p0,add_chord_p1,add_chord,add_chord,0,1,geometry_core_family,expanded_shell_family,1,0,0,0.6145098039215686,0.44074133103197355,0.5276255674767711,no_near_symmetry,19
add_chord_p1,local_swap_p0,add_chord,local_swap,1,0,expanded_shell_family,geometry_core_family,0,0,0,0.6145098039215686,0.4447501840863928,0.5296299940039807,no_near_symmetry,20
add_chord_p2,local_swap_p3,add_chord,local_swap,2,3,geometry_core_family,spectral_core_family,0,0,0,0.7067793554203291,0.38353142077476315,0.5451553880975462,no_near_symmetry,21
add_chord_p0,local_swap_p1,add_chord,local_swap,0,1,geometry_core_family,geometry_core_family,0,0,1,0.6145098039215686,0.4878874625553281,0.5511986332384484,no_near_symmetry,22
add_chord_p2,local_swap_p0,add_chord,local_swap,2,0,geometry_core_family,geometry_core_family,0,0,1,0.8970114942528735,0.20923124920280176,0.5531213717278376,no_near_symmetry,23
local_swap_p2,local_swap_p3,local_swap,local_swap,2,3,geometry_core_family,spectral_core_family,1,0,0,0.7067793554203291,0.41936584372439706,0.5630725995723631,no_near_symmetry,24
add_chord_p0,add_chord_p2,add_chord,add_chord,0,2,geometry_core_family,geometry_core_family,1,0,1,0.8970114942528735,0.2461254472270877,0.5715684707399806,no_near_symmetry,25
local_swap_p0,local_swap_p2,local_swap,local_swap,0,2,geometry_core_family,geometry_core_family,1,0,1,0.8970114942528735,0.27532964200124826,0.5861705681270609,no_near_symmetry,26
local_swap_p1,local_swap_p3,local_swap,local_swap,1,3,geometry_core_family,spectral_core_family,1,0,0,0.48496732026143796,0.7368634406553558,0.6109153804583969,no_near_symmetry,27
add_chord_p0,local_swap_p2,add_chord,local_swap,0,2,geometry_core_family,geometry_core_family,0,0,1,0.8970114942528735,0.33040973551832353,0.6137106148855985,no_near_symmetry,28
