profile_a,profile_b,perturbation_a,perturbation_b,placement_a,placement_b,family_a,family_b,same_perturbation,same_placement,family_match,support_distance,carrier_distance,combined_distance,symmetry_label,combined_rank
add_chord_p1,local_swap_p1,add_chord,local_swap,1,1,spectral_diffuse_rare_family,spectral_diffuse_rare_family,0,1,1,0.0,0.23716987866441264,0.11858493933220632,support_only_near_symmetry,1
add_chord_p3,local_swap_p3,add_chord,local_swap,3,3,spectral_diffuse_rare_family,spectral_diffuse_rare_family,0,1,1,0.0,0.27570053680531104,0.13785026840265552,support_only_near_symmetry,2
add_chord_p1,local_swap_p3,add_chord,local_swap,1,3,spectral_diffuse_rare_family,spectral_diffuse_rare_family,0,0,1,0.07653194263363754,0.20374357712706712,0.14013775988035232,support_only_near_symmetry,3
local_swap_p1,local_swap_p3,local_swap,local_swap,1,3,spectral_diffuse_rare_family,spectral_diffuse_rare_family,1,0,1,0.07653194263363754,0.2496480598437498,0.16309000123869366,support_only_near_symmetry,4
add_chord_p2,local_swap_p2,add_chord,local_swap,2,2,mixed_family,mixed_family,0,1,1,0.0,0.34940064565501877,0.17470032282750939,support_only_near_symmetry,5
add_chord_p1,add_chord_p3,add_chord,add_chord,1,3,spectral_diffuse_rare_family,spectral_diffuse_rare_family,1,0,1,0.07653194263363754,0.28123203618758463,0.1788819894106111,support_only_near_symmetry,6
add_chord_p3,local_swap_p1,add_chord,local_swap,3,1,spectral_diffuse_rare_family,spectral_diffuse_rare_family,0,0,1,0.07653194263363754,0.3218551713768878,0.19919355700526267,support_only_near_symmetry,7
add_chord_p0,local_swap_p0,add_chord,local_swap,0,0,spectral_diffuse_rare_family,spectral_diffuse_rare_family,0,1,1,0.0,0.42434902997310414,0.21217451498655207,support_only_near_symmetry,8
add_chord_p2,local_swap_p3,add_chord,local_swap,2,3,mixed_family,spectral_diffuse_rare_family,0,0,0,0.25369400312289037,0.27439877199674556,0.26404638755981796,no_near_symmetry,9
add_chord_p2,local_swap_p1,add_chord,local_swap,2,1,mixed_family,spectral_diffuse_rare_family,0,0,0,0.21529765370959184,0.3178391953474216,0.2665684245285067,no_near_symmetry,10
local_swap_p2,local_swap_p3,local_swap,local_swap,2,3,mixed_family,spectral_diffuse_rare_family,1,0,0,0.25369400312289037,0.29715148501404753,0.27542274406846895,no_near_symmetry,11
add_chord_p1,local_swap_p2,add_chord,local_swap,1,2,spectral_diffuse_rare_family,mixed_family,0,0,0,0.21529765370959184,0.39813387669100364,0.30671576520029775,no_near_symmetry,12
add_chord_p2,add_chord_p3,add_chord,add_chord,2,3,mixed_family,spectral_diffuse_rare_family,1,0,0,0.25369400312289037,0.3652553878516843,0.30947469548728734,no_near_symmetry,13
local_swap_p1,local_swap_p2,local_swap,local_swap,1,2,spectral_diffuse_rare_family,mixed_family,1,0,0,0.21529765370959184,0.42694550384265983,0.32112157877612585,no_near_symmetry,14
add_chord_p1,add_chord_p2,add_chord,add_chord,1,2,spectral_diffuse_rare_family,mixed_family,1,0,0,0.21529765370959184,0.4529506107910274,0.3341241322503096,no_near_symmetry,15
add_chord_p3,local_swap_p2,add_chord,local_swap,3,2,spectral_diffuse_rare_family,mixed_family,0,0,0,0.25369400312289037,0.4303358735292275,0.3420149383260589,no_near_symmetry,16
local_swap_p0,local_swap_p3,local_swap,local_swap,0,3,spectral_diffuse_rare_family,spectral_diffuse_rare_family,1,0,1,0.7272382002669401,0.3290671350786038,0.5281526676727719,no_near_symmetry,17
add_chord_p1,local_swap_p0,add_chord,local_swap,1,0,spectral_diffuse_rare_family,spectral_diffuse_rare_family,0,0,1,0.8037701429005777,0.2582836496699862,0.531026896285282,no_near_symmetry,18
local_swap_p0,local_swap_p1,local_swap,local_swap,0,1,spectral_diffuse_rare_family,spectral_diffuse_rare_family,1,0,1,0.8037701429005777,0.27651251111683295,0.5401413270087053,no_near_symmetry,19
add_chord_p3,local_swap_p0,add_chord,local_swap,3,0,spectral_diffuse_rare_family,spectral_diffuse_rare_family,0,0,1,0.7272382002669401,0.39114142422965387,0.559189812248297,no_near_symmetry,20
add_chord_p0,local_swap_p3,add_chord,local_swap,0,3,spectral_diffuse_rare_family,spectral_diffuse_rare_family,0,0,1,0.7272382002669401,0.4923039622401897,0.6097710812535648,no_near_symmetry,21
add_chord_p0,add_chord_p3,add_chord,add_chord,0,3,spectral_diffuse_rare_family,spectral_diffuse_rare_family,1,0,1,0.7272382002669401,0.5362334189729041,0.6317358096199222,no_near_symmetry,22
add_chord_p0,add_chord_p1,add_chord,add_chord,0,1,spectral_diffuse_rare_family,spectral_diffuse_rare_family,1,0,1,0.8037701429005777,0.4610057824213211,0.6323879626609494,no_near_symmetry,23
add_chord_p0,local_swap_p1,add_chord,local_swap,0,1,spectral_diffuse_rare_family,spectral_diffuse_rare_family,0,0,1,0.8037701429005777,0.4764912405629948,0.6401306917317863,no_near_symmetry,24
local_swap_p0,local_swap_p2,local_swap,local_swap,0,2,spectral_diffuse_rare_family,mixed_family,1,0,0,0.9809322033898306,0.5048121643382057,0.7428721838640182,no_near_symmetry,25
add_chord_p2,local_swap_p0,add_chord,local_swap,2,0,mixed_family,spectral_diffuse_rare_family,0,0,0,0.9809322033898306,0.5218647459291977,0.7513984746595141,no_near_symmetry,26
add_chord_p0,add_chord_p2,add_chord,add_chord,0,2,spectral_diffuse_rare_family,mixed_family,1,0,0,0.9809322033898306,0.6315495643718401,0.8062408838808353,no_near_symmetry,27
add_chord_p0,local_swap_p2,add_chord,local_swap,0,2,spectral_diffuse_rare_family,mixed_family,0,0,0,0.9809322033898306,0.7655497502491607,0.8732409768194956,no_near_symmetry,28
