ensemble,target_nodes,growth_seed,run_offset,run_seed,placement_a,placement_b,min_support_distance,mean_union_jaccard,min_union_jaccard,final_union_jaccard,mean_order_jaccard,final_order_jaccard,mean_control_consistency,final_union_damage_fraction,final_pair_damage_fraction,final_union_component_count,final_pair_component_count,final_union_largest_component_fraction,final_pair_largest_component_fraction,final_pair_alive,single_a_mean_radius,single_b_mean_radius,pair_ab_mean_radius,pair_ba_mean_radius,collision_class
natural48_deep,48,101,0,4901000,2,3,4,0.4258820016261556,0.3,0.36585365853658536,1.0,1.0,1.0,0.5833333333333334,0.5833333333333334,4,3,0.7142857142857143,0.9285714285714286,1,0.38461538461538464,5.961538461538462,2.923076923076923,2.923076923076923,binding_like
natural48_deep,48,101,17,4901017,2,3,4,0.46170563880642385,0.1935483870967742,0.55,1.0,1.0,1.0,0.7291666666666666,0.5625,1,5,1.0,0.4074074074074074,1,5.423076923076923,5.115384615384615,3.076923076923077,3.076923076923077,secondary_split_like
natural48_deep,48,202,0,5002000,3,4,3,0.43486037410023776,0.1875,0.40476190476190477,1.0,1.0,1.0,0.625,0.6041666666666666,6,2,0.7333333333333333,0.9310344827586207,1,0.9615384615384616,4.461538461538462,2.1538461538461537,2.1538461538461537,binding_like
natural48_deep,48,202,17,5002017,3,4,3,0.39769311334502544,0.22857142857142856,0.37142857142857144,1.0,1.0,1.0,0.625,0.375,2,6,0.9666666666666667,0.4444444444444444,1,2.230769230769231,4.346153846153846,2.0,2.0,secondary_split_like
natural96_deep,96,101,0,9701000,0,5,5,0.4551879454401017,0.2608695652173913,0.5384615384615384,1.0,1.0,1.0,0.6770833333333334,0.5729166666666666,5,5,0.9384615384615385,0.9272727272727272,1,5.88,5.64,3.96,3.96,mixed_collision
natural96_deep,96,101,17,9701017,0,5,5,0.35652844318991245,0.18181818181818182,0.48484848484848486,1.0,1.0,1.0,0.5833333333333334,0.4375,5,10,0.8571428571428571,0.6666666666666666,1,6.08,6.12,4.24,4.24,secondary_split_like
natural96_deep,96,202,0,9802000,1,5,6,0.4096323979569312,0.18518518518518517,0.4810126582278481,1.0,1.0,1.0,0.7708333333333334,0.4479166666666667,7,9,0.8648648648648649,0.627906976744186,1,5.44,7.08,3.56,3.56,secondary_split_like
natural96_deep,96,202,17,9802017,1,5,6,0.415675419636552,0.21052631578947367,0.4647887323943662,1.0,1.0,1.0,0.5729166666666666,0.5104166666666666,10,7,0.7818181818181819,0.8775510204081632,1,6.72,1.36,3.76,3.76,mixed_collision
natural192_deep,192,101,0,19301000,3,4,7,0.3234042961012916,0.09090909090909091,0.46853146853146854,1.0,1.0,1.0,0.5677083333333334,0.5260416666666666,12,10,0.8348623853211009,0.8613861386138614,1,7.68,7.44,9.52,9.52,mixed_collision
natural192_deep,192,101,17,19301017,3,4,7,0.20774969947169514,0.0847457627118644,0.14457831325301204,1.0,1.0,1.0,0.09895833333333333,0.3958333333333333,10,13,0.21052631578947367,0.5921052631578947,1,4.2,2.16,7.12,7.12,mixed_collision
natural192_deep,192,202,0,19402000,1,2,7,0.356881608341794,0.1935483870967742,0.47368421052631576,1.0,1.0,1.0,0.6666666666666666,0.5,7,12,0.9375,0.8541666666666666,1,9.04,9.84,5.4,5.4,mixed_collision
natural192_deep,192,202,17,19402017,1,2,7,0.34970636636514274,0.10526315789473684,0.45774647887323944,1.0,1.0,1.0,0.546875,0.53125,14,3,0.8095238095238095,0.9705882352941176,1,6.48,7.72,7.16,7.16,binding_like
natural256_deep,256,101,0,25701000,1,5,7,0.38487170165258305,0.16666666666666666,0.49246231155778897,1.0,1.0,1.0,0.65625,0.50390625,11,15,0.9107142857142857,0.8527131782945736,1,8.64,8.16,6.92,6.92,mixed_collision
natural256_deep,256,101,17,25701017,1,5,7,0.4199088270619874,0.1724137931034483,0.520618556701031,1.0,1.0,1.0,0.6015625,0.55078125,11,16,0.9155844155844156,0.8652482269503546,1,8.76,7.32,6.76,6.76,mixed_collision
natural256_deep,256,202,0,25802000,0,2,6,0.3602676320222079,0.18421052631578946,0.28205128205128205,1.0,1.0,1.0,0.40625,0.375,23,14,0.6442307692307693,0.6354166666666666,1,0.76,7.64,4.4,4.4,mixed_collision
natural256_deep,256,202,17,25802017,0,2,6,0.28806704563221974,0.13043478260869565,0.30246913580246915,1.0,1.0,1.0,0.52734375,0.296875,19,12,0.8222222222222222,0.8552631578947368,1,3.52,10.32,4.96,4.96,mixed_collision
