profile_a,profile_b,family_a,family_b,same_turnover_family,turnover_distance,distance_rank
add_chord_p0,local_swap_p1,mixed_turnover,mixed_turnover,1,0.11430486630705693,1
local_swap_p0,local_swap_p2,outer_diffuse_persistent,outer_weighted_diffuse,0,0.11880667160482355,2
local_swap_p1,local_swap_p2,mixed_turnover,outer_weighted_diffuse,0,0.12493608459950269,3
add_chord_p1,add_chord_p2,mixed_turnover,mixed_turnover,1,0.18938462709787252,4
add_chord_p1,local_swap_p1,mixed_turnover,mixed_turnover,1,0.1974315021304153,5
add_chord_p0,add_chord_p2,mixed_turnover,mixed_turnover,1,0.19898221334771363,6
local_swap_p0,local_swap_p1,outer_diffuse_persistent,mixed_turnover,0,0.21349388994832028,7
add_chord_p2,local_swap_p1,mixed_turnover,mixed_turnover,1,0.21458034280708682,8
add_chord_p0,local_swap_p2,mixed_turnover,outer_weighted_diffuse,0,0.2354028982888395,9
add_chord_p0,add_chord_p1,mixed_turnover,mixed_turnover,1,0.24954916447515205,10
add_chord_p1,local_swap_p2,mixed_turnover,outer_weighted_diffuse,0,0.2766004657818293,11
add_chord_p0,local_swap_p0,mixed_turnover,outer_diffuse_persistent,0,0.31406316909866305,12
add_chord_p2,local_swap_p2,mixed_turnover,outer_weighted_diffuse,0,0.32781298157310224,13
add_chord_p0,add_chord_p3,mixed_turnover,outer_weighted_diffuse,0,0.36066314726896337,14
add_chord_p1,local_swap_p0,mixed_turnover,outer_diffuse_persistent,0,0.38279198837770584,15
add_chord_p2,add_chord_p3,mixed_turnover,outer_weighted_diffuse,0,0.40167195662955874,16
add_chord_p2,local_swap_p0,mixed_turnover,outer_diffuse_persistent,0,0.4046478993820858,17
add_chord_p3,local_swap_p1,outer_weighted_diffuse,mixed_turnover,0,0.4143143803778215,18
add_chord_p3,local_swap_p2,outer_weighted_diffuse,outer_weighted_diffuse,1,0.44574858280346397,19
add_chord_p3,local_swap_p0,outer_weighted_diffuse,outer_diffuse_persistent,0,0.4488924399478943,20
local_swap_p0,local_swap_p3,outer_diffuse_persistent,outer_diffuse_persistent,1,0.4642566198965408,21
add_chord_p1,add_chord_p3,mixed_turnover,outer_weighted_diffuse,0,0.5022438713386208,22
local_swap_p2,local_swap_p3,outer_weighted_diffuse,outer_diffuse_persistent,0,0.5537066867144713,23
add_chord_p1,local_swap_p3,mixed_turnover,outer_diffuse_persistent,0,0.6120091137271829,24
local_swap_p1,local_swap_p3,mixed_turnover,outer_diffuse_persistent,0,0.6485930218170425,25
add_chord_p3,local_swap_p3,outer_weighted_diffuse,outer_diffuse_persistent,0,0.7257251661814803,26
add_chord_p0,local_swap_p3,mixed_turnover,outer_diffuse_persistent,0,0.7290862347141637,27
add_chord_p2,local_swap_p3,mixed_turnover,outer_diffuse_persistent,0,0.733010323538829,28
