profile_a,profile_b,perturbation_a,perturbation_b,placement_a,placement_b,family_a,family_b,same_perturbation,same_placement,family_match,support_distance,carrier_distance,combined_distance,symmetry_label,combined_rank
add_chord_p2,local_swap_p2,add_chord,local_swap,2,2,rare_diffuse_family,rare_diffuse_family,0,1,1,0.0,0.1588371027384656,0.0794185513692328,support_and_carrier_near_symmetry,1
add_chord_p0,local_swap_p0,add_chord,local_swap,0,0,spectral_diffuse_rare_family,rare_diffuse_family,0,1,0,0.0,0.28896812613520473,0.14448406306760236,support_only_near_symmetry,2
add_chord_p1,add_chord_p2,add_chord,add_chord,1,2,rare_diffuse_family,rare_diffuse_family,1,0,1,0.11168671700601708,0.18180348222089576,0.14674509961345641,support_and_carrier_near_symmetry,3
add_chord_p3,local_swap_p3,add_chord,local_swap,3,3,rare_diffuse_family,rare_diffuse_family,0,1,1,0.0,0.35561422526361275,0.17780711263180637,support_only_near_symmetry,4
add_chord_p1,local_swap_p2,add_chord,local_swap,1,2,rare_diffuse_family,rare_diffuse_family,0,0,1,0.11168671700601708,0.2911243197613923,0.20140551838370468,support_only_near_symmetry,5
add_chord_p1,local_swap_p1,add_chord,local_swap,1,1,rare_diffuse_family,rare_diffuse_family,0,1,1,0.0,0.45369564065814444,0.22684782032907222,support_only_near_symmetry,6
add_chord_p2,local_swap_p0,add_chord,local_swap,2,0,rare_diffuse_family,rare_diffuse_family,0,0,1,0.20420554336127428,0.2715589271926231,0.23788223527694868,no_near_symmetry,7
local_swap_p0,local_swap_p2,local_swap,local_swap,0,2,rare_diffuse_family,rare_diffuse_family,1,0,1,0.20420554336127428,0.2885879121357504,0.24639672774851235,no_near_symmetry,8
add_chord_p2,local_swap_p1,add_chord,local_swap,2,1,rare_diffuse_family,rare_diffuse_family,0,0,1,0.11168671700601708,0.44981903523764366,0.28075287612183036,support_only_near_symmetry,9
add_chord_p1,local_swap_p0,add_chord,local_swap,1,0,rare_diffuse_family,rare_diffuse_family,0,0,1,0.31589226036729134,0.2945551470865328,0.3052237037269121,no_near_symmetry,10
local_swap_p1,local_swap_p2,local_swap,local_swap,1,2,rare_diffuse_family,rare_diffuse_family,1,0,1,0.11168671700601708,0.5162485318481081,0.3139676244270626,support_only_near_symmetry,11
add_chord_p0,add_chord_p2,add_chord,add_chord,0,2,spectral_diffuse_rare_family,rare_diffuse_family,1,0,0,0.20420554336127428,0.42480687670915585,0.31450621003521506,no_near_symmetry,12
add_chord_p0,local_swap_p2,add_chord,local_swap,0,2,spectral_diffuse_rare_family,rare_diffuse_family,0,0,0,0.20420554336127428,0.4343493647974221,0.31927745407934816,no_near_symmetry,13
local_swap_p0,local_swap_p1,local_swap,local_swap,0,1,rare_diffuse_family,rare_diffuse_family,1,0,1,0.31589226036729134,0.35663848381515667,0.336265372091224,no_near_symmetry,14
add_chord_p0,add_chord_p1,add_chord,add_chord,0,1,spectral_diffuse_rare_family,rare_diffuse_family,1,0,0,0.31589226036729134,0.37368232966062814,0.34478729501395977,no_near_symmetry,15
add_chord_p0,local_swap_p1,add_chord,local_swap,0,1,spectral_diffuse_rare_family,rare_diffuse_family,0,0,0,0.31589226036729134,0.4868679160092774,0.4013800881882844,no_near_symmetry,16
add_chord_p3,local_swap_p0,add_chord,local_swap,3,0,rare_diffuse_family,rare_diffuse_family,0,0,1,0.8441077396327087,0.19998636455438384,0.5220470520935463,carrier_only_near_symmetry,17
add_chord_p0,add_chord_p3,add_chord,add_chord,0,3,spectral_diffuse_rare_family,rare_diffuse_family,1,0,0,0.8441077396327087,0.2590032951510683,0.5515555173918885,no_near_symmetry,18
add_chord_p3,local_swap_p1,add_chord,local_swap,3,1,rare_diffuse_family,rare_diffuse_family,0,0,1,0.84,0.31539568199669415,0.5776978409983471,no_near_symmetry,19
add_chord_p3,local_swap_p2,add_chord,local_swap,3,2,rare_diffuse_family,rare_diffuse_family,0,0,1,0.8683132829939829,0.3126010101453159,0.5904571465696494,no_near_symmetry,20
add_chord_p1,add_chord_p3,add_chord,add_chord,1,3,rare_diffuse_family,rare_diffuse_family,1,0,1,0.84,0.35193571338976687,0.5959678566948834,no_near_symmetry,21
local_swap_p0,local_swap_p3,local_swap,local_swap,0,3,rare_diffuse_family,rare_diffuse_family,1,0,1,0.8441077396327087,0.36526385062232497,0.6046857951275169,no_near_symmetry,22
add_chord_p2,add_chord_p3,add_chord,add_chord,2,3,rare_diffuse_family,rare_diffuse_family,1,0,1,0.8683132829939829,0.34646213954763433,0.6073877112708086,no_near_symmetry,23
add_chord_p1,local_swap_p3,add_chord,local_swap,1,3,rare_diffuse_family,rare_diffuse_family,0,0,1,0.84,0.39957897208606186,0.6197894860430309,no_near_symmetry,24
add_chord_p0,local_swap_p3,add_chord,local_swap,0,3,spectral_diffuse_rare_family,rare_diffuse_family,0,0,0,0.8441077396327087,0.42654465714662754,0.6353261983896681,no_near_symmetry,25
add_chord_p2,local_swap_p3,add_chord,local_swap,2,3,rare_diffuse_family,rare_diffuse_family,0,0,1,0.8683132829939829,0.5235215277023562,0.6959174053481696,no_near_symmetry,26
local_swap_p2,local_swap_p3,local_swap,local_swap,2,3,rare_diffuse_family,rare_diffuse_family,1,0,1,0.8683132829939829,0.5366955409144426,0.7025044119542128,no_near_symmetry,27
local_swap_p1,local_swap_p3,local_swap,local_swap,1,3,rare_diffuse_family,rare_diffuse_family,1,0,1,0.84,0.5745171739521405,0.7072585869760702,no_near_symmetry,28
