profile_label,perturbation,target_nodes,growth_seed,placement,seed_delta,run_seed,requested_match,support_signature,full_exact_return_rate,full_coarse_return_rate,tail_snapshot_count,high_start_index,last_high_index,high_horizon_span,high_retention_rate,last12_high_rate,total_high_count,total_mid_count,longest_high_run,mean_far_shell_share,q90_far_shell_share,mean_weighted_mean_distance,far_shell_horizon_label,far_shell_horizon_note,abs_delta_tokens,abs_delta_nodes,abs_delta_beta1,abs_delta_triangles,abs_delta_spectral_radius,abs_delta_clustering,abs_delta_dim_proxy,abs_delta_tokens_rel,abs_delta_nodes_rel,abs_delta_beta1_rel,abs_delta_triangles_rel,abs_delta_spectral_radius_rel,abs_delta_clustering_rel,abs_delta_dim_proxy_rel
add_chord_p0,add_chord,768,202,0,3407,770024516,1,"72,139,147",0.0,1.0,129,129,-1,0,0.0,0.0,0,50,0,0.7477516933791072,0.7822643133878605,4.9825262714013565,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,35.0,0.0,1.0,7.0,0.05658280431315088,0.02737814037814037,0.002035432092966083,2.6923076923076925,0.0,0.00980392156862745,0.07142857142857142,0.010055780334909009,0.23507489239817056,0.0006537523284466286
add_chord_p0,add_chord,768,202,0,3451,770024560,1,"72,139,147",0.0,0.8527131782945736,129,129,-1,0,0.0,0.0,0,0,0,0.6987475396383569,0.7258987925654592,4.436818432325361,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,4.0,0.0,1.0,2.0,0.17995012321004822,0.0002422022422022274,0.011307834009502749,0.3076923076923077,0.0,0.00980392156862745,0.02040816326530612,0.031980368103096755,0.0020796031154016437,0.0036319181754807784
add_chord_p0,add_chord,768,202,0,3499,770024608,1,"72,139,147",0.06201550387596899,0.8527131782945736,129,129,-1,0,0.0,0.0,0,0,0,0.4396621798637414,0.5018867924528302,5.188198881063124,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,2.0,0.0,1.0,1.0,0.0018452081805113707,0.0003386243386243326,0.0,0.15384615384615385,0.0,0.00980392156862745,0.01020408163265306,0.0003279266264837098,0.0029075049972741625,0.0
add_chord_p0,add_chord,768,202,0,3547,770024656,1,"72,139,147",0.046511627906976744,0.8217054263565892,129,129,-1,0,0.0,0.0,0,0,0,0.42141111589464825,0.5098039215686274,3.113132111885076,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,1.0,0.0,1.0,2.0,0.03632984963077579,0.00233333333333334,0.004184700245706718,0.07692307692307693,0.0,0.00980392156862745,0.02040816326530612,0.006456466623066405,0.020034526621842692,0.001344067207614542
add_chord_p2,add_chord,768,202,2,3407,770026516,1,"3,80,162",1.0,1.0,129,129,-1,0,0.0,0.0,0,0,0,0.0,0.0,0.011627906976744186,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,0.0,0.0,1.0,1.0,1.0338187639291618e-07,0.0,0.0,0.0,0.0,0.00980392156862745,0.01020408163265306,1.8372815773930486e-08,0.0,0.0
add_chord_p2,add_chord,768,202,2,3451,770026560,1,"3,80,162",0.06201550387596899,0.4108527131782946,129,129,-1,0,0.0,0.0,0,0,0,0.2453516146635193,0.47368421052631576,2.750845073786109,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,0.0,0.0,1.0,4.0,0.013145128801709483,0.006666666666666668,0.0,0.0,0.0,0.00980392156862745,0.04081632653061224,0.0023361254237686153,0.05724150463383611,0.0
add_chord_p2,add_chord,768,202,2,3499,770026608,1,"3,80,162",0.0,0.9689922480620154,129,0,128,129,1.0,1.0,129,0,129,0.9133915349007564,0.9253731343283582,9.280856037591878,established_far_shell_horizon,Far-shell-massen bygger en reell halehorisont som holder ut i tail-slutten.,4.0,0.0,1.0,8.0,0.04882118439297756,0.005629629629629623,0.014811257771785602,0.3076923076923077,0.0,0.00980392156862745,0.08163265306122448,0.008676401106400588,0.04833727057968376,0.004757168902362104
add_chord_p2,add_chord,768,202,2,3547,770026656,1,"3,80,162",0.0,0.9844961240310077,129,0,128,129,1.0,1.0,129,0,129,0.7597408021055402,0.7859484777517565,7.678314818933755,established_far_shell_horizon,Far-shell-massen bygger en reell halehorisont som holder ut i tail-slutten.,2.0,0.0,1.0,4.0,0.025144324428439724,0.0,0.004140438878212027,0.15384615384615385,0.0,0.00980392156862745,0.04081632653061224,0.004468597945812848,0.0,0.0013298510752464412
local_swap_p0,local_swap,768,202,0,3407,770024570,1,"72,139,147",0.023255813953488372,0.6124031007751938,129,129,-1,0,0.0,0.0,0,0,0,0.4674460707167908,0.5635135135135135,3.852944365235427,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,1.0,0.0,0.0,0.0,0.0036397313078291305,0.0011111111111111183,0.0,0.07692307692307693,0.0,0.0,0.0,0.000646845608907267,0.009540250772306077,0.0
local_swap_p0,local_swap,768,202,0,3451,770024614,1,"72,139,147",0.0,0.9612403100775194,129,129,-1,0,0.0,0.0,0,129,0,0.7236918874614404,0.7441860465116279,5.412920068432992,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,22.0,0.0,0.0,4.0,0.031465084120640086,0.007897139897139901,0.007576272171748499,1.6923076923076923,0.0,0.0,0.04081632653061224,0.005591910439529978,0.06780662550242783,0.002433392688629731
