profile_label,perturbation,placement,growth_seed,seed_delta,run_seed,snapshot_index,step,component_local_index,component_id,parent_ids,size_nodes,size_fraction,internal_edge_count,beta1_local,boundary_edge_count,boundary_to_volume,min_support_distance,max_support_distance,mean_support_distance,outer_mass,outer_share_of_damage,component_count,largest_component_fraction
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,0,1,,1,0.017857142857142856,0,0,1,1.0,9.0,9.0,9.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,1,2,,13,0.23214285714285715,14,2,20,1.5384615384615385,8.0,15.0,12.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,2,3,,1,0.017857142857142856,0,0,4,4.0,7.0,7.0,7.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,3,4,,1,0.017857142857142856,0,0,6,6.0,8.0,8.0,8.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,4,5,,1,0.017857142857142856,0,0,2,2.0,4.0,4.0,4.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,5,6,,3,0.05357142857142857,2,0,6,2.0,4.0,5.0,4.666666666666667,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,6,7,,2,0.03571428571428571,1,0,4,2.0,4.0,5.0,4.5,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,7,8,,1,0.017857142857142856,0,0,7,7.0,6.0,6.0,6.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,8,9,,2,0.03571428571428571,1,0,12,6.0,4.0,5.0,4.5,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,9,10,,2,0.03571428571428571,1,0,5,2.5,4.0,4.0,4.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,10,11,,1,0.017857142857142856,0,0,4,4.0,7.0,7.0,7.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,11,12,,3,0.05357142857142857,2,0,6,2.0,6.0,7.0,6.333333333333333,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,12,13,,8,0.14285714285714285,8,1,15,1.875,4.0,6.0,4.875,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,13,14,,1,0.017857142857142856,0,0,6,6.0,5.0,5.0,5.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,14,15,,1,0.017857142857142856,0,0,1,1.0,4.0,4.0,4.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,15,16,,1,0.017857142857142856,0,0,2,2.0,4.0,4.0,4.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,16,17,,1,0.017857142857142856,0,0,3,3.0,7.0,7.0,7.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,17,18,,1,0.017857142857142856,0,0,5,5.0,4.0,4.0,4.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,18,19,,2,0.03571428571428571,1,0,2,1.0,6.0,7.0,6.5,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,19,20,,1,0.017857142857142856,0,0,1,1.0,5.0,5.0,5.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,20,21,,1,0.017857142857142856,0,0,1,1.0,10.0,10.0,10.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,21,22,,2,0.03571428571428571,1,0,1,0.5,4.0,5.0,4.5,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,22,23,,1,0.017857142857142856,0,0,1,1.0,4.0,4.0,4.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,23,24,,1,0.017857142857142856,0,0,3,3.0,7.0,7.0,7.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,24,25,,1,0.017857142857142856,0,0,2,2.0,4.0,4.0,4.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,25,26,,1,0.017857142857142856,0,0,2,2.0,4.0,4.0,4.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,26,27,,1,0.017857142857142856,0,0,1,1.0,5.0,5.0,5.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,0,1536,27,28,,1,0.017857142857142856,0,0,1,1.0,4.0,4.0,4.0,56,0.717948717948718,28,0.23214285714285715
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,0,1,1,1,0.017241379310344827,0,0,1,1.0,9.0,9.0,9.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,1,2,2,13,0.22413793103448276,14,2,20,1.5384615384615385,8.0,15.0,12.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,2,3,3,1,0.017241379310344827,0,0,4,4.0,7.0,7.0,7.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,3,4,4,1,0.017241379310344827,0,0,6,6.0,8.0,8.0,8.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,4,29,,1,0.017241379310344827,0,0,4,4.0,4.0,4.0,4.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,5,5,5,1,0.017241379310344827,0,0,2,2.0,4.0,4.0,4.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,6,6,6,3,0.05172413793103448,2,0,6,2.0,4.0,5.0,4.666666666666667,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,7,7,7,3,0.05172413793103448,2,0,3,1.0,4.0,5.0,4.666666666666667,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,8,8,8,1,0.017241379310344827,0,0,7,7.0,6.0,6.0,6.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,9,9,9,2,0.034482758620689655,1,0,12,6.0,4.0,5.0,4.5,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,10,10,10,2,0.034482758620689655,1,0,5,2.5,4.0,4.0,4.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,11,11,11,1,0.017241379310344827,0,0,4,4.0,7.0,7.0,7.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,12,12,12,3,0.05172413793103448,2,0,6,2.0,6.0,7.0,6.333333333333333,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,13,13,13,7,0.1206896551724138,7,1,16,2.2857142857142856,4.0,6.0,4.714285714285714,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,14,30,,1,0.017241379310344827,0,0,2,2.0,6.0,6.0,6.0,58,0.7341772151898734,29,0.22413793103448276
add_chord_p0,add_chord,0,202,3907,770025318,1,1544,15,14,14,1,0.017241379310344827,0,0,6,6.0,5.0,5.0,5.0,58,0.7341772151898734,29,0.22413793103448276
