profile_label,perturbation,placement,growth_seed,seed_delta,run_seed,requested_match,support_signature,full_exact_return_rate,full_coarse_return_rate,tail_snapshot_count,outer_active_rate,longest_active_run_snapshots,reactivation_count,birth_count,death_count,split_count,merge_count,turnover_rate,dominant_lineage_presence_rate,dominant_lineage_mass_share,lateborn_mass_share,mean_component_count_when_active,mean_outer_mass_when_active,dominant_component_active_snapshots,dominant_component_first_snapshot_index,mechanism_label,abs_delta_spectral_radius_rel
add_chord_p0,add_chord,0,202,3907,770025318,1,"72,139,147",0.0,0.9767441860465116,129,1.0,129,0,211,186,34,42,3.0775193798449614,1.0,0.20975122722356268,0.4589400116482236,38.372093023255815,93.17054263565892,129,0,reseeded_outer_horizon,0.01855773552558891
add_chord_p0,add_chord,0,202,3943,770025354,1,"72,139,147",0.0,0.9302325581395349,129,1.0,129,0,164,144,21,23,2.387596899224806,1.0,0.1699230313795145,0.4139530294059601,37.44186046511628,78.55813953488372,129,0,reseeded_outer_horizon,0.0406516081162788
add_chord_p0,add_chord,0,202,3991,770025402,1,"72,139,147",0.0,0.8449612403100775,129,1.0,129,0,149,125,10,15,2.124031007751938,1.0,0.12372963381190515,0.7375383126310695,27.8062015503876,48.054263565891475,129,0,reseeded_outer_horizon,0.01763226734602289
add_chord_p0,add_chord,0,202,4049,770025460,1,"72,139,147",0.0,0.9069767441860465,129,1.0,129,0,111,92,19,31,1.573643410852713,1.0,0.231645262902835,0.297552701720378,25.356589147286822,63.98449612403101,129,0,reseeded_outer_horizon,0.055721270618270036
add_chord_p2,add_chord,2,202,3907,770027318,1,"3,80,162",0.0,0.9767441860465116,129,1.0,129,0,97,84,31,31,1.4031007751937985,1.0,0.7523878612017894,0.23818159835570063,12.170542635658915,65.11627906976744,129,0,reseeded_outer_horizon,0.007915240681355672
add_chord_p2,add_chord,2,202,3943,770027354,1,"3,80,162",0.9224806201550387,1.0,129,1.0,129,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,2.0,129,0,persistent_outer_branch,6.9699995316513e-09
add_chord_p2,add_chord,2,202,3991,770027402,1,"3,80,162",0.05426356589147287,0.6046511627906976,129,1.0,129,0,54,42,5,6,0.7441860465116279,0.3875968992248062,0.10475534114403859,0.9931082012405238,8.124031007751938,11.248062015503876,50,79,reseeded_outer_horizon,2.5862591896009284e-07
add_chord_p2,add_chord,2,202,4049,770027460,1,"3,80,162",0.0,0.9612403100775194,129,1.0,129,0,117,112,33,39,1.7751937984496124,0.5426356589147286,0.2578057509564359,0.7270146859187955,24.930232558139537,62.81395348837209,70,59,reseeded_outer_horizon,0.001037522467265173
local_swap_p0,local_swap,0,202,3907,770025390,1,"72,139,147",0.0,0.9534883720930233,129,1.0,129,0,173,148,40,52,2.488372093023256,1.0,0.20001402131239485,0.43360908581043184,44.48837209302326,110.57364341085271,129,0,reseeded_outer_horizon,0.017546506762049708
local_swap_p0,local_swap,0,202,3943,770025426,1,"72,139,147",0.07751937984496124,0.6046511627906976,129,1.0,129,0,41,29,1,1,0.5426356589147286,1.0,0.19611650485436893,0.6323624595469256,7.62015503875969,11.976744186046512,129,0,reseeded_outer_horizon,0.0007358055148903564
local_swap_p0,local_swap,0,202,3991,770025474,1,"72,139,147",0.0,0.9844961240310077,129,1.0,129,0,142,132,21,22,2.124031007751938,1.0,0.24097059152409706,0.3819747288381975,27.565891472868216,69.32558139534883,129,0,reseeded_outer_horizon,0.0026402988461945156
local_swap_p0,local_swap,0,202,4049,770025532,1,"72,139,147",0.0,0.9534883720930233,129,1.0,129,0,165,146,28,28,2.4108527131782944,1.0,0.17027417027417027,0.41609371021135727,35.98449612403101,91.32558139534883,129,0,reseeded_outer_horizon,0.028571352740925537
local_swap_p2,local_swap,2,202,3907,770027390,1,"3,80,162",0.0,0.9922480620155039,129,1.0,129,0,116,94,31,43,1.627906976744186,1.0,0.41956521739130437,0.41657608695652176,22.627906976744185,57.054263565891475,129,0,reseeded_outer_horizon,0.0014551060952605964
local_swap_p2,local_swap,2,202,3943,770027426,1,"3,80,162",0.023255813953488372,0.7286821705426356,129,1.0,129,0,82,68,8,7,1.1627906976744187,0.9767441860465116,0.39059218815623686,0.8026039479210416,8.689922480620154,18.45736434108527,126,3,reseeded_outer_horizon,0.024546513436922983
local_swap_p2,local_swap,2,202,3991,770027474,1,"3,80,162",0.0,0.937984496124031,129,1.0,129,0,75,63,23,27,1.069767441860465,1.0,0.5326633165829145,0.27106963388370425,16.124031007751938,53.992248062015506,129,0,reseeded_outer_horizon,0.01635297081421709
local_swap_p2,local_swap,2,202,4049,770027532,1,"3,80,162",0.0,1.0,129,1.0,129,0,106,79,28,44,1.434108527131783,1.0,0.6157922628510863,0.2409468291821233,22.713178294573645,87.76744186046511,129,0,reseeded_outer_horizon,0.020345982712130714
