profile_label,perturbation,placement,target_nodes,growth_seed,seed_delta,run_seed,requested_match,support_signature,full_exact_return_rate,full_coarse_return_rate,outer_tail_union_nodes,outer_active_rate,outer_occupancy_entropy,outer_top1_mass_share,outer_top3_mass_share,outer_top5_mass_share,outer_occ_sd,outer_core_mass_share,outer_rare_mass_share,outer_weighted_mean_distance,abs_delta_spectral_radius_rel
add_chord_p0,add_chord,0,768,202,4301,770025812,1,"72,139,147",0.10077519379844961,0.5813953488372093,56,1.0,0.9022925562459769,0.0691090757701915,0.1665278934221482,0.250624479600333,0.14974704033241815,0.0,0.26477935054121565,4.577851790174854,0.0004136687632672776
add_chord_p0,add_chord,0,768,202,4349,770025860,1,"72,139,147",0.0,0.9844961240310077,258,1.0,0.9404853697074836,0.009885815004981225,0.029657445014943676,0.04942907502490612,0.3167239852282131,0.3819449766265614,0.09295731473676146,5.930875929189976,0.007218955385749062
add_chord_p0,add_chord,0,768,202,4391,770025902,1,"72,139,147",1.0,1.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.000225167864324775
add_chord_p0,add_chord,0,768,202,4447,770025958,1,"72,139,147",0.0,0.9147286821705426,236,1.0,0.9496781017844352,0.009362072719355541,0.028086218158066625,0.046810363596777704,0.32716481163848266,0.44734741272951595,0.07141301981275855,6.741635822628638,0.0023337081918384903
add_chord_p2,add_chord,2,768,202,4301,770027812,1,"3,80,162",0.0,0.9922480620155039,179,1.0,0.9199830240917415,0.020153101077956568,0.06045930323386971,0.10076550538978284,0.26473318724624256,0.2862052804249336,0.1654428995469458,9.472582408998594,0.0004574572015477028
add_chord_p2,add_chord,2,768,202,4349,770027860,1,"3,80,162",0.0,1.0,238,1.0,0.9415290724393165,0.011746494263340011,0.03523948279002003,0.058732471316700056,0.28960441304723583,0.30185758513931893,0.09032963030413405,8.90621016208341,0.0014533905778665941
add_chord_p2,add_chord,2,768,202,4391,770027902,1,"3,80,162",0.0,0.9224806201550387,114,1.0,0.920415050146581,0.03124172623775483,0.0897537728355838,0.14164680963727827,0.23095307894587014,0.0897537728355838,0.18347895154884827,9.128673550436854,0.009321818696212888
add_chord_p2,add_chord,2,768,202,4447,770027958,1,"3,80,162",0.0,1.0,239,1.0,0.926475263981028,0.011886114438404129,0.035658343315212386,0.05943057219202064,0.3182176179702406,0.4117755459320004,0.08541417119690409,9.84207131668663,0.019865170896346117
local_swap_p0,local_swap,0,768,202,4301,770025880,1,"72,139,147",0.0,0.9922480620155039,167,1.0,0.918907157533738,0.016127015876984622,0.04838104763095387,0.0806350793849231,0.3373991394120511,0.43867983497937246,0.11826478309788724,5.904363045380673,0.01539339051266409
local_swap_p0,local_swap,0,768,202,4349,770025928,1,"72,139,147",0.12403100775193798,0.4418604651162791,28,0.9689922480620154,0.9158275359136807,0.08227848101265822,0.24261603375527427,0.4029535864978903,0.09922679287211761,0.0,0.5274261603375527,6.991561181434599,0.0008497653499145848
local_swap_p0,local_swap,0,768,202,4391,770025970,1,"72,139,147",0.0,0.9612403100775194,201,1.0,0.9365404754575289,0.011273267499781527,0.03381980249934458,0.05636633749890763,0.3487859673284386,0.49619854933146906,0.06624137027003409,6.219348073057764,0.03741043305536933
local_swap_p0,local_swap,0,768,202,4447,770026026,1,"72,139,147",0.17054263565891473,0.5968992248062015,28,1.0,0.8536307870881314,0.1236816874400767,0.3710450623202301,0.5311601150527325,0.3108705406208935,0.3710450623202301,0.16586768935762222,4.412272291466922,0.0003630984001787427
local_swap_p2,local_swap,2,768,202,4301,770027880,1,"3,80,162",0.0,0.9224806201550387,262,1.0,0.9563476404178687,0.0071854286191722835,0.02155628585751685,0.03592714309586142,0.3465129144774638,0.5753355985072133,0.04456079763827773,10.123823316437365,0.012403926695511736
local_swap_p2,local_swap,2,768,202,4349,770027928,1,"3,80,162",0.0,0.9224806201550387,114,1.0,0.9217240944869416,0.044314668498797664,0.11954654757815183,0.17485400206114737,0.1866833553458351,0.08450704225352113,0.2823771899690828,9.295431123325319,0.00016517197815725605
local_swap_p2,local_swap,2,768,202,4391,770027970,1,"3,80,162",0.2868217054263566,0.7364341085271318,6,0.5271317829457365,0.7645500648693064,0.5612244897959183,0.7959183673469388,0.9489795918367346,0.14835732283466008,0.0,0.4387755102040816,10.36734693877551,3.9945149626037296e-08
local_swap_p2,local_swap,2,768,202,4447,770028026,1,"3,80,162",0.023255813953488372,0.8914728682170543,88,1.0,0.8947423201213621,0.043014338112704234,0.12870956985661886,0.21407135711903968,0.27579138435696465,0.25441813937979324,0.1790596865621874,9.766255418472824,0.003344958135235951
