profile_label,perturbation,placement,seed_delta,run_seed,requested_match,support_signature,full_exact_return_rate,full_coarse_return_rate,snapshots_with_outer_births,total_new_outer_nodes,total_prev_outer_nodes,total_prev_feeder_nodes,outer_birth_intensity,mean_feeder_coverage,mean_self_parent_coverage,mean_feeder_top1_share,mean_feeder_top3_share,flux_label,abs_delta_spectral_radius_rel
add_chord_p0,add_chord,0,4507,770026118,1,"72,139,147",0.007751937984496124,0.9844961240310077,75,157,4775,809,1.2265625,0.34155555555555556,0.7137777777777777,0.9298245614035088,1.0,self_propagating_outer_flux,0.0020949318763332555
add_chord_p0,add_chord,0,4561,770026172,1,"72,139,147",0.03875968992248062,0.6356589147286822,44,75,1085,495,0.5859375,0.26515151515151514,0.6041666666666666,0.9333333333333333,1.0,self_propagating_outer_flux,0.0013212334932103846
add_chord_p0,add_chord,0,4603,770026214,1,"72,139,147",0.031007751937984496,0.6046511627906976,58,100,1504,643,0.78125,0.5991379310344828,0.5244252873563219,0.8798449612403101,1.0,mixed_flux,2.5249086734270423e-05
add_chord_p0,add_chord,0,4651,770026262,1,"72,139,147",0.0,0.9302325581395349,112,262,9285,2428,2.046875,0.3386692176870748,0.8437925170068027,0.8462962962962963,0.996031746031746,self_propagating_outer_flux,0.01895371531777698
add_chord_p2,add_chord,2,4507,770028118,1,"3,80,162",0.4573643410852713,0.6511627906976745,11,14,153,221,0.109375,0.13636363636363635,0.8636363636363636,1.0,1.0,self_propagating_outer_flux,2.88860725501906e-07
add_chord_p2,add_chord,2,4561,770028172,1,"3,80,162",0.2868217054263566,0.7131782945736435,11,11,139,382,0.0859375,0.45454545454545453,0.5454545454545454,1.0,1.0,mixed_flux,1.4893647679915513e-08
add_chord_p2,add_chord,2,4603,770028214,1,"3,80,162",0.5503875968992248,0.6046511627906976,1,1,9,28,0.0078125,1.0,0.0,1.0,1.0,concentrated_feeder_flux,2.1456562945496116e-07
add_chord_p2,add_chord,2,4651,770028262,1,"3,80,162",0.3333333333333333,0.689922480620155,19,33,645,8,0.2578125,0.0,0.631578947368421,nan,nan,self_propagating_outer_flux,3.3160793159709576e-08
local_swap_p0,local_swap,0,4507,770026194,1,"72,139,147",0.0,0.7441860465116279,90,206,4758,1285,1.609375,0.39444444444444443,0.7348148148148148,0.8235849056603773,1.0,self_propagating_outer_flux,0.0019610818310331827
local_swap_p0,local_swap,0,4561,770026248,1,"72,139,147",0.0,1.0,123,407,15772,3390,3.1796875,0.2554039230868499,0.8805620080010323,0.7328431372549019,0.9970588235294118,self_propagating_outer_flux,0.0010852663750875698
local_swap_p0,local_swap,0,4603,770026290,1,"72,139,147",0.0,0.9457364341085271,127,484,15463,3253,3.78125,0.2640607424071991,0.8390857392825897,0.8363453815261044,0.9969879518072289,self_propagating_outer_flux,0.03758193856394601
local_swap_p0,local_swap,0,4651,770026338,1,"72,139,147",0.0,0.8837209302325582,113,263,9468,1928,2.0546875,0.30811209439528026,0.7898967551622419,0.8729508196721312,0.9959016393442623,self_propagating_outer_flux,0.02276937861080143
local_swap_p2,local_swap,2,4507,770028194,1,"3,80,162",0.015503875968992248,0.875968992248062,97,266,6012,386,2.078125,0.03006872852233677,0.8516936671575847,1.0,1.0,self_propagating_outer_flux,0.0019541859424077944
local_swap_p2,local_swap,2,4561,770028248,1,"3,80,162",0.0,0.9689922480620154,124,434,13631,935,3.390625,0.04369239631336405,0.9291730670762929,0.9705882352941176,1.0,self_propagating_outer_flux,0.016474374687014057
local_swap_p2,local_swap,2,4603,770028290,1,"3,80,162",0.0,0.9457364341085271,122,426,16124,307,3.328125,0.033069867291178764,0.9457357533177205,1.0,1.0,self_propagating_outer_flux,0.0037871332159028575
local_swap_p2,local_swap,2,4651,770028338,1,"3,80,162",0.0,0.9302325581395349,124,408,15744,879,3.1875,0.04349078341013825,0.9319124423963133,1.0,1.0,self_propagating_outer_flux,0.03156334329693087
