profile_label,perturbation,placement,seed_delta,run_seed,support_signature,snapshot_index,step,prev_outer_nodes,curr_outer_nodes,new_outer_nodes,prev_feeder_nodes,new_outer_feeder_coverage,new_outer_self_parent_coverage,feeder_source_count,self_parent_source_count,feeder_top1_share,feeder_top3_share,self_parent_top1_share,self_parent_top3_share
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",1,1544,25,25,0,9,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",2,1552,25,25,0,9,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",3,1560,25,25,0,9,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",4,1568,25,26,1,9,1.0,0.0,1,0,1.0,1.0,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",5,1576,26,26,2,8,0.0,1.0,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",6,1584,26,26,0,8,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",7,1592,26,27,2,8,0.5,1.0,1,3,1.0,1.0,0.3333333333333333,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",8,1600,27,28,1,8,1.0,0.0,1,0,1.0,1.0,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",9,1608,28,27,1,7,1.0,1.0,1,1,1.0,1.0,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",10,1616,27,27,0,7,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",11,1624,27,29,2,7,0.5,0.0,1,0,1.0,1.0,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",12,1632,29,29,0,7,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",13,1640,29,28,1,7,1.0,0.0,1,0,1.0,1.0,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",14,1648,28,28,0,7,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",15,1656,28,28,2,7,0.0,0.0,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",16,1664,28,27,2,7,0.0,1.0,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",17,1672,27,29,3,8,0.0,0.6666666666666666,0,3,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",18,1680,29,29,0,8,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",19,1688,29,29,1,8,0.0,1.0,0,1,nan,nan,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",20,1696,29,28,1,8,1.0,1.0,1,1,1.0,1.0,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",21,1704,28,28,0,7,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",22,1712,28,28,0,7,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",23,1720,28,26,0,7,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",24,1728,26,26,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",25,1736,26,26,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",26,1744,26,26,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",27,1752,26,26,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",28,1760,26,29,3,6,0.3333333333333333,0.0,1,0,1.0,1.0,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",29,1768,29,32,5,7,0.6,0.8,2,4,0.6666666666666666,1.0,0.25,0.75
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",30,1776,32,32,1,7,1.0,0.0,1,0,1.0,1.0,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",31,1784,32,34,3,7,0.0,0.6666666666666666,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",32,1792,34,34,4,7,0.25,0.75,1,4,1.0,1.0,0.25,0.75
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",33,1800,34,34,1,7,0.0,1.0,0,1,nan,nan,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",34,1808,34,36,3,5,0.0,0.3333333333333333,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",35,1816,36,36,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",36,1824,36,36,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",37,1832,36,36,2,5,0.0,1.0,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",38,1840,36,36,1,5,0.0,1.0,0,1,nan,nan,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",39,1848,36,37,4,5,0.5,0.75,2,3,0.5,1.0,0.3333333333333333,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",40,1856,37,39,3,6,1.0,0.3333333333333333,2,1,0.6666666666666666,1.0,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",41,1864,39,39,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",42,1872,39,41,3,6,0.0,0.6666666666666666,0,3,nan,nan,0.3333333333333333,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",43,1880,41,41,1,6,1.0,0.0,1,0,1.0,1.0,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",44,1888,41,42,1,5,0.0,0.0,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",45,1896,42,42,1,5,1.0,1.0,1,1,1.0,1.0,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",46,1904,42,42,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",47,1912,42,42,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",48,1920,42,42,1,5,0.0,1.0,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",49,1928,42,42,1,4,0.0,1.0,0,1,nan,nan,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",50,1936,42,42,0,4,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",51,1944,42,40,1,4,0.0,1.0,0,1,nan,nan,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",52,1952,40,40,0,4,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",53,1960,40,40,0,4,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",54,1968,40,41,1,5,1.0,1.0,1,1,1.0,1.0,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",55,1976,41,41,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",56,1984,41,41,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",57,1992,41,39,1,5,0.0,1.0,0,1,nan,nan,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",58,2000,39,39,2,5,0.0,1.0,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",59,2008,39,38,5,5,0.2,1.0,1,7,1.0,1.0,0.25,0.5
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",60,2016,38,38,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",61,2024,38,38,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",62,2032,38,37,1,5,1.0,1.0,1,2,1.0,1.0,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",63,2040,37,37,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",64,2048,37,37,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",65,2056,37,37,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",66,2064,37,37,2,6,0.0,1.0,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",67,2072,37,37,3,6,0.0,0.6666666666666666,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",68,2080,37,37,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",69,2088,37,35,0,6,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",70,2096,35,35,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",71,2104,35,34,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",72,2112,34,34,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",73,2120,34,35,2,5,0.0,1.0,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",74,2128,35,35,1,5,1.0,1.0,1,1,1.0,1.0,1.0,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",75,2136,35,35,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",76,2144,35,35,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",77,2152,35,37,5,5,0.2,0.8,1,4,1.0,1.0,0.4,0.8
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",78,2160,37,37,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",79,2168,37,37,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",80,2176,37,37,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",81,2184,37,36,1,5,0.0,1.0,0,2,nan,nan,0.5,1.0
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",82,2192,36,35,0,5,nan,nan,0,0,nan,nan,nan,nan
add_chord_p0,add_chord,0,4507,770026118,"72,139,147",83,2200,35,36,2,5,1.0,1.0,1,3,1.0,1.0,0.3333333333333333,1.0
