profile_role,profile_label,perturbation,target_nodes,reference_target_nodes,growth_seed,placement,seed_delta,run_seed,reference_step_budget,step_budget,budget_scale_factor,log_every,requested_match,support_signature,full_exact_return_rate,full_coarse_return_rate,mean_far_shell_share,q90_far_shell_share,mean_weighted_mean_distance,max_weighted_mean_distance,tail_snapshot_count,high_start_index,last_high_index,high_horizon_span,high_retention_rate,last12_high_rate,total_high_count,total_mid_count,longest_high_run,far_shell_horizon_label,far_shell_horizon_note,abs_delta_tokens,abs_delta_nodes,abs_delta_beta1,abs_delta_triangles,abs_delta_spectral_radius,abs_delta_clustering,abs_delta_dim_proxy,abs_delta_tokens_rel,abs_delta_nodes_rel,abs_delta_beta1_rel,abs_delta_triangles_rel,abs_delta_spectral_radius_rel,abs_delta_clustering_rel,abs_delta_dim_proxy_rel
primary,add_chord_p0,add_chord,896,768,202,0,6203,898028116,2560,2987,1.1666666666666667,8,1,"106,191,410",0.0,0.9533333333333334,0.9250523844525059,0.9355134655223439,7.28237551895948,7.458515283842795,150,0,149,150,1.0,1.0,150,0,150,established_far_shell_horizon,Far-shell-massen bygger en reell halehorisont som holder ut i tail-slutten.,19.0,0.0,1.0,7.0,0.12046823682488217,0.002660852219675741,0.11222334276689461,1.1176470588235294,0.0,0.00847457627118644,0.06306306306306306,0.02149345462506211,0.020141824315872917,0.03770353469194614
primary,add_chord_p0,add_chord,896,768,202,0,6269,898028182,2560,2987,1.1666666666666667,8,1,"106,191,410",0.0,0.8666666666666667,0.8689938824746688,0.892106445814073,6.083351170228622,6.343283582089552,150,28,149,122,0.9180327868852459,1.0,112,38,92,established_far_shell_horizon,Far-shell-massen bygger en reell halehorisont som holder ut i tail-slutten.,2.0,0.0,1.0,2.0,0.07615661773254434,0.002644392644392632,0.2699204589225732,0.11764705882352941,0.0,0.00847457627118644,0.018018018018018018,0.013587555116391927,0.02001723044657992,0.09068483557999503
control,add_chord_p2,add_chord,896,768,202,2,6203,898030116,2560,2987,1.1666666666666667,8,1,"143,377,791",0.0,0.9866666666666667,0.8653130686216514,0.8936170212765957,6.019861325197746,6.353658536585366,150,59,149,91,0.8901098901098901,1.0,85,65,39,established_far_shell_horizon,Far-shell-massen bygger en reell halehorisont som holder ut i tail-slutten.,7.0,0.0,1.0,1.0,0.1038498009047375,0.0021106377282847782,0.0,0.4117647058823529,0.0,0.00847457627118644,0.009009009009009009,0.01852846063325699,0.015976871621508452,0.0
control,add_chord_p2,add_chord,896,768,202,2,6269,898030182,2560,2987,1.1666666666666667,8,1,"143,377,791",0.0,0.9066666666666666,0.8256622919683414,0.8417721518987342,5.726870178930423,5.843601895734597,150,150,-1,0,0.0,0.0,0,150,0,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,26.0,0.0,1.0,1.0,0.0734284118064572,0.003451881451881453,0.016907580390042032,1.5294117647058822,0.0,0.00847457627118644,0.009009009009009009,0.01310079967092609,0.02612966975350827,0.0056804184234375745
control,local_swap_p0,local_swap,896,768,202,0,6203,898028182,2560,2987,1.1666666666666667,8,1,"106,191,410",0.0,0.9533333333333334,0.9022782905355062,0.9173919866094781,6.733433562726735,6.885714285714286,150,0,149,150,1.0,1.0,150,0,150,established_far_shell_horizon,Far-shell-massen bygger en reell halehorisont som holder ut i tail-slutten.,8.0,0.0,0.0,5.0,0.0171832298261414,0.007257942493236608,0.008291177196887212,0.47058823529411764,0.0,0.0,0.04504504504504504,0.0030657622317246465,0.054940368921087744,0.002785576328173031
control,local_swap_p0,local_swap,896,768,202,0,6269,898028248,2560,2987,1.1666666666666667,8,1,"106,191,410",0.0,0.78,0.8705860779765491,0.8888888888888888,5.852745887425537,6.068965517241379,150,31,53,23,0.2608695652173913,0.0,6,144,5,mixed_far_shell_horizon,Far-shell-horisonten er fortsatt blandet i denne observabelen.,1.0,0.0,0.0,2.0,0.00587448557360748,0.003515151515151513,0.0,0.058823529411764705,0.0,0.0,0.018018018018018018,0.0010481019100948214,0.026608604468264813,0.0
primary,add_chord_p0,add_chord,1024,768,202,0,6203,1026028116,2560,3414,1.3333333333333333,8,1,"13,72,343",0.0,0.9534883720930233,0.41885769800326067,0.46072710159421143,4.442952165232195,4.786458333333333,172,172,-1,0,0.0,0.0,0,0,0,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,7.0,0.0,1.0,4.0,0.01282107073582317,3.085803085804695e-05,0.03807104868188649,0.3181818181818182,0.0,0.006993006993006993,0.029197080291970802,0.002219554382494834,0.00026992702260798535,0.013589426792757446
primary,add_chord_p0,add_chord,1024,768,202,0,6269,1026028182,2560,3414,1.3333333333333333,8,1,"13,72,343",0.0,0.9651162790697675,0.5094550385922565,0.5300844338601429,5.774254093326836,6.270833333333333,172,172,-1,0,0.0,0.0,0,0,0,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,6.0,0.0,1.0,3.0,0.0031666763022704103,0.0067149758454106145,0.0033541127899692214,0.2727272727272727,0.0,0.006993006993006993,0.021897810218978103,0.0005482077440699462,0.0587384673109678,0.0011972475619150603
control,add_chord_p2,add_chord,1024,768,202,2,6203,1026030116,2560,3414,1.3333333333333333,8,1,"6,8,9",0.0,0.9941860465116279,0.9003724279374435,0.9062190594059406,6.140956365330998,6.265454545454546,172,7,171,165,0.9878787878787879,1.0,163,9,157,established_far_shell_horizon,Far-shell-massen bygger en reell halehorisont som holder ut i tail-slutten.,32.0,0.0,1.0,6.0,0.33501425244855554,0.0011014492753623067,0.024819263859243268,1.4545454545454546,0.0,0.006993006993006993,0.043795620437956206,0.057996899599250265,0.009634798954604704,0.008859214046966574
control,add_chord_p2,add_chord,1024,768,202,2,6269,1026030182,2560,3414,1.3333333333333333,8,1,"6,8,9",0.4941860465116279,0.7209302325581395,0.3111475087634938,0.6842105263157895,1.8361139615314228,4.363636363636363,172,172,-1,0,0.0,0.0,0,0,0,no_far_shell_horizon,Runet bygger ingen faktisk far-shell-horisont.,3.0,0.0,1.0,1.0,0.0005929963693320772,0.0,0.02110647129560439,0.13636363636363635,0.0,0.006993006993006993,0.0072992700729927005,0.0001026581724314956,0.0,0.00753393606048783
