scope,metric,n_runs,n_established,n_non_established,mean_metric_established,mean_metric_non_established,mean_delta_established_minus_non,binary_pairwise_auc,spearman_vs_horizon_span,spearman_vs_ordered_label
all_runs,genealogy_intensity_index,12,7,5,0.728409662071663,0.3747262127881541,0.3536834492835089,0.8,0.521094048965379,0.5541412031076229
all_runs,churn_per_step,12,7,5,0.3234006496138888,0.16325286944460954,0.16014778016927927,0.7714285714285715,0.46565851184140256,0.5023150474212985
all_runs,split_per_step,12,7,5,0.04032650425955215,0.01744179866317801,0.02288470559637414,0.8285714285714286,0.554355371239765,0.5661010851890824
all_runs,birth_death_per_step,12,7,5,0.2391728847154026,0.1255907016717041,0.11358218304369849,0.7714285714285715,0.46565851184140256,0.5023150474212985
all_runs,merge_per_step,12,7,5,0.043901260638934084,0.02022036910972739,0.023680891529206695,0.7714285714285715,0.5026155365907202,0.5023150474212985
all_runs,compress_per_step,12,7,5,0.002833490835100623,0.0017492124141147473,0.0010842784209858757,0.7571428571428571,0.46544093157290184,0.3780604945190718
all_runs,max_component_count_per_target,12,7,5,0.04302853954081633,0.02419084821428571,0.018837691326530615,0.9428571428571428,0.7834889246855344,0.7734057079343802
all_runs,max_total_defect_mass_fraction,12,7,5,0.21322943239795916,0.11587611607142859,0.09735331632653058,0.8285714285714286,0.5765295860893556,0.5661010851890824
all_runs,mean_total_defect_mass_fraction,12,7,5,0.09888988206994245,0.05452612285130174,0.04436375921864071,0.7714285714285715,0.5247897514403108,0.5023150474212985
all_runs,final_total_defect_mass_fraction,12,7,5,0.21029974489795916,0.11417410714285714,0.09612563775510202,0.8,0.521094048965379,0.514274929502758
all_runs,post_split_dual_fraction,12,7,5,0.6826746346898994,0.39397494591383986,0.28869968877605956,0.7285714285714285,0.3838496925720744,0.46607457789917317
all_runs,first_split_earliness,12,7,5,0.9553334345894726,0.5805835833426982,0.3747498512467744,0.8857142857142857,0.7663513606008256,0.690895450213704
all_runs,first_birth_earliness,12,7,5,0.9385956322629181,0.7489189338137592,0.1896766984491589,0.7142857142857143,0.43239718956701667,0.498328420060812
all_runs,fragmentation_pressure,12,7,5,0.16821019239142765,0.0856353709268184,0.08257482146460925,0.7714285714285715,0.46565851184140256,0.5023150474212985
all_runs,merge_pressure,12,7,5,0.15519045722246116,0.07761749851779112,0.07757295870467004,0.7714285714285715,0.46565851184140256,0.5023150474212985
v15cw_all,genealogy_intensity_index,8,4,4,0.5949862415467059,0.3058587268024041,0.28912751474430176,0.75,0.4433944513137059,0.4364357804719848
v15cw_all,churn_per_step,8,4,4,0.22610052171006995,0.13940586419299095,0.086694657517079,0.6875,0.32602533184831317,0.3273268353539886
v15cw_all,split_per_step,8,4,4,0.029051171557906954,0.015065282892534315,0.013985888665372639,0.75,0.3912303982179758,0.4364357804719848
v15cw_all,birth_death_per_step,8,4,4,0.16430533091159133,0.10777923824955984,0.056526092662031485,0.6875,0.32602533184831317,0.3273268353539886
v15cw_all,merge_per_step,8,4,4,0.03274401924057167,0.016561343050896786,0.016182676189674887,0.75,0.3912303982179758,0.4364357804719848
v15cw_all,compress_per_step,8,4,4,0.0024688608653511044,0.001966831862107406,0.0005020290032436985,0.65625,0.3214237903641362,0.2744106499742259
v15cw_all,max_component_count_per_target,8,4,4,0.042340959821428575,0.02144949776785714,0.020891462053571435,0.9375,0.743337756614154,0.7637626158259734
v15cw_all,max_total_defect_mass_fraction,8,4,4,0.18809291294642858,0.10016741071428573,0.08792550223214285,0.75,0.4433944513137059,0.4364357804719848
v15cw_all,mean_total_defect_mass_fraction,8,4,4,0.07516602974973575,0.046263715553029036,0.02890231419670672,0.75,0.4433944513137059,0.4364357804719848
v15cw_all,final_total_defect_mass_fraction,8,4,4,0.18565150669642858,0.09852818080357142,0.08712332589285715,0.75,0.4433944513137059,0.4364357804719848
v15cw_all,post_split_dual_fraction,8,4,4,0.48041581867451794,0.25828590559089387,0.22212991308362406,0.65625,0.11151437624878195,0.2744106499742259
v15cw_all,first_split_earliness,8,4,4,0.957568718498771,0.49154670237696685,0.46602201612180416,0.9375,0.743337756614154,0.7637626158259734
v15cw_all,first_birth_earliness,8,4,4,0.9077737565772712,0.6873203134300578,0.22045344314721338,0.8125,0.45643546458763845,0.545544725589981
v15cw_all,fragmentation_pressure,8,4,4,0.11862091225617591,0.07343261436151069,0.04518829789466522,0.6875,0.32602533184831317,0.3273268353539886
v15cw_all,merge_pressure,8,4,4,0.10747960945389404,0.06597324983148026,0.04150635962241378,0.6875,0.32602533184831317,0.3273268353539886
p1_1024_all,genealogy_intensity_index,6,4,2,0.7740520896860477,0.3285674458807656,0.4454846438052821,0.875,0.6375355777548621,0.6761234037828133
p1_1024_all,churn_per_step,6,4,2,0.3717779730521383,0.13678968951376685,0.23498828353837142,0.875,0.6375355777548621,0.6761234037828133
p1_1024_all,split_per_step,6,4,2,0.04496192149970709,0.013473930872876391,0.0314879906268307,0.875,0.6375355777548621,0.6761234037828133
p1_1024_all,birth_death_per_step,6,4,2,0.278485647334505,0.1057410661980082,0.17274458113649677,0.875,0.6375355777548621,0.6761234037828133
p1_1024_all,merge_per_step,6,4,2,0.04833040421792619,0.017574692442882248,0.030755711775043944,0.875,0.6375355777548621,0.6761234037828133
p1_1024_all,compress_per_step,6,4,2,0.003222026947861746,0.0010251903925014645,0.0021968365553602814,1.0,0.8932596002688613,0.7888934916555407
p1_1024_all,max_component_count_per_target,6,4,2,0.041259765625,0.02197265625,0.019287109375,0.875,0.6375355777548621,0.6761234037828133
