metric,direction,metric_family,n_established,n_no_horizon,n_p1_established,n_p0_high_score_no_horizon,auc_established_vs_no,auc_p1_established_vs_p0_false_positive,median_established_raw,median_no_horizon_raw,median_p1_established_raw,median_p0_false_positive_raw,median_established_minus_no_raw,median_p1_minus_p0_false_raw
tail_route_index,higher_is_established,downstream_routing,11,23,10,5,1.0,1.0,0.8823403134831194,0.2704548605154645,0.8984184168516732,0.31692434300255484,0.6118854529676548,0.5814940738491183
entry_timing_index,higher_is_established,downstream_routing,11,23,10,5,1.0,1.0,0.7984768599882835,0.0,0.8488576449912126,0.0,0.7984768599882835,0.8488576449912126
horizon_efficiency_per_churn,higher_is_established,downstream_outcome,11,23,10,5,1.0,1.0,0.16241737488196412,0.0,0.16382155967921452,0.0,0.16241737488196412,0.16382155967921452
intensity_without_route_pressure,lower_is_established,false_positive_pressure,11,23,10,5,0.9960474308300395,1.0,-0.13157982709632232,0.2552251899524671,-0.1307724962884067,0.5454658885445091,-0.38680501704878945,-0.6762383848329158
route_efficiency_per_intensity,higher_is_established,downstream_routing,11,23,10,5,0.691699604743083,1.0,1.0760140474305093,0.9617930604342126,1.0663434849512718,0.6629439452191527,0.11422098699629668,0.4033995397321192
phase_intensity_gap,lower_is_established,false_positive_pressure,11,23,10,5,0.5573122529644269,0.96,0.4275511279015968,0.42488133978737097,0.35866027146603474,0.7041732724308134,0.0026697881142258018,-0.34551300096477866
component_tail_route_index,higher_is_established,downstream_routing,11,23,10,5,0.9209486166007905,0.86,0.7098821751165502,0.30341518327761213,0.7250541261197785,0.47841451720853606,0.40646699183893803,0.24663960891124243
component_early_far8_mass_fraction,higher_is_established,early_pre_entry,11,23,10,5,0.782608695652174,0.72,0.34279475982532753,0.0,0.45603819746601515,0.10667539267015706,0.34279475982532753,0.3493628047958581
phase_entry_index,higher_is_established,early_pre_entry,11,23,10,5,0.7628458498023716,0.7,0.2294200937950938,0.015099206349206348,0.38580305907684975,0.14838894823918525,0.21432088744588745,0.2374141108376645
component_early_far10_mass_fraction,higher_is_established,early_pre_entry,11,23,10,5,0.7233201581027668,0.67,0.26200873362445415,0.0,0.40211948553780563,0.04581151832460733,0.26200873362445415,0.3563079672131983
component_early_weighted_mean_distance,higher_is_established,early_pre_entry,11,23,10,5,0.7509881422924901,0.64,4.102620087336245,0.7661290322580645,5.45242215668285,2.9142670157068062,3.3364910550781803,2.538155140976044
component_tail_far8_mass_fraction,higher_is_established,downstream_routing,11,23,10,5,0.8260869565217391,0.62,0.7302884615384615,0.2972077614765736,0.7459025733959787,0.5095760290369913,0.4330807000618879,0.23632654435898737
genealogy_intensity_index,higher_is_established,baseline_failed_selector,11,23,10,5,0.7114624505928854,0.28,0.750760486386797,0.4689840169479883,0.7676459205632665,0.8159207490599736,0.28177646943880874,-0.048274828496707056
