metric,direction,auc_established_vs_no,auc_p1_established_vs_p0_false_positive,median_established_raw,median_no_horizon_raw,median_p1_established_raw,median_p0_false_positive_raw,median_p1_minus_p0_false_raw
pre_far8_slope_per_100,higher_is_established,0.7944664031620553,0.78,0.10000241230727945,0.0,0.10029426983804826,0.0174052750998047,0.08288899473824356
pre_distance_slope_per_100,higher_is_established,0.766798418972332,0.76,1.2114995297159932,0.2914361261668172,1.3102543326428309,0.38787035863285246,0.9223839740099784
pre_last_mean_distance,higher_is_established,0.782608695652174,0.74,5.333333333333333,1.75,5.616666666666667,3.4857142857142858,2.1309523809523814
pre_late_route_gain,higher_is_established,0.7747035573122529,0.72,0.2153470461162769,0.0,0.23353072818363624,0.006675876408691661,0.22685485177494458
pre_peak_far10_fraction,higher_is_established,0.7272727272727273,0.7,0.4444444444444444,0.0,0.452991452991453,0.13636363636363635,0.31662781662781664
pre_peak_far8_fraction,higher_is_established,0.7687747035573123,0.66,0.5,0.0,0.5406976744186047,0.2222222222222222,0.3184754521963825
pre_mean_far10_fraction,higher_is_established,0.7233201581027668,0.65,0.06106471306471306,0.0,0.10006498439831772,0.026727370473045794,0.07333761392527192
pre_mean_far8_fraction,higher_is_established,0.758893280632411,0.62,0.16355533949116838,0.0,0.16562205752515716,0.06564716624080862,0.09997489128434854
pre_route_coherence_index,higher_is_established,0.7549407114624506,0.62,0.335946012577957,0.007497427983539095,0.33938388262298314,0.12456382499906235,0.21482005762392078
pre_route_active_rate,higher_is_established,0.7272727272727273,0.62,0.3333333333333333,0.0,0.3765432098765432,0.06172839506172839,0.3148148148148148
pre_longest_route_active_run,higher_is_established,0.6857707509881423,0.58,9.0,0.0,10.0,4.0,6.0
pre_mean_distance,higher_is_established,0.6798418972332015,0.4,2.084611992945326,0.5893004115226338,2.1017649866803163,2.299824851355186,-0.1980598646748697
pre_mass_distance_flux,higher_is_established,0.6403162055335968,0.3,15.555555555555555,2.419753086419753,17.45959595959596,54.97530864197531,-37.51571268237935
genealogy_intensity_index,higher_is_established,0.7114624505928854,0.28,0.750760486386797,0.4689840169479883,0.7676459205632665,0.8159207490599736,-0.048274828496707056
