metric,metric_family,window_step,direction,auc_established_vs_no,auc_p1_established_vs_p0_false_positive,median_established_raw,median_no_horizon_raw,median_p1_established_raw,median_p0_false_positive_raw,median_p1_minus_p0_false_raw
static_mean_support_degree,static_support_geometry,0,higher_is_established,0.9565217391304348,1.0,10.0,8.666666666666666,10.0,9.333333333333334,0.6666666666666661
static_support_ball_1,static_support_geometry,0,higher_is_established,0.9565217391304348,1.0,27.0,24.0,27.0,26.0,1.0
w32_mean_boundary_per_mass,strict_pre_entry_component_topology,32,higher_is_established,0.8636363636363636,0.96,13.5,8.5,13.5,11.2,2.3000000000000007
w32_mean_boundary_to_volume,strict_pre_entry_component_topology,32,higher_is_established,0.8636363636363636,0.96,13.5,8.5,13.5,11.2,2.3000000000000007
w32_mean_total_boundary_edges,strict_pre_entry_component_topology,32,higher_is_established,0.9644268774703557,0.93,27.0,18.0,27.0,24.0,3.0
w64_mean_boundary_per_mass,strict_pre_entry_component_topology,64,higher_is_established,0.8003952569169961,0.88,13.5,8.5,13.5,8.71111111111111,4.78888888888889
w64_mean_boundary_to_volume,strict_pre_entry_component_topology,64,higher_is_established,0.8003952569169961,0.88,13.5,8.5,13.5,8.71111111111111,4.78888888888889
w96_mean_boundary_per_mass,strict_pre_entry_component_topology,96,higher_is_established,0.7015810276679841,0.8,13.115384615384615,8.5,13.121794871794872,8.487179487179487,4.634615384615385
w96_mean_boundary_to_volume,strict_pre_entry_component_topology,96,higher_is_established,0.7015810276679841,0.8,13.115384615384615,8.5,13.121794871794872,8.487179487179487,4.634615384615385
w96_mean_gate_tension_index,strict_pre_entry_component_topology,96,higher_is_established,0.6324110671936759,0.8,0.2028846153846154,0.1541666666666667,0.20539529914529916,0.15644586894586895,0.04894943019943021
w64_mean_gate_tension_index,strict_pre_entry_component_topology,64,higher_is_established,0.6442687747035574,0.78,0.21250000000000002,0.1541666666666667,0.21250000000000002,0.16358024691358025,0.04891975308641977
w64_mean_total_boundary_edges,strict_pre_entry_component_topology,64,higher_is_established,0.9407114624505929,0.77,27.0,20.444444444444443,27.0,24.0,3.0
w64_gate_tension_index_slope_per_100,strict_pre_entry_component_topology,64,higher_is_established,0.43873517786561267,0.76,0.0,0.0,0.0,-0.14843750000000006,0.14843750000000006
