target_nodes,growth_seed,profile_label,perturbation,placement,seed_delta,run_seed,support_signature,snapshot_index_from,snapshot_index_to,step_from,step_to,event_type,parent_ids,child_ids,parent_count,child_count,component_count_before,component_count_after,total_defect_mass_before,total_defect_mass_after,largest_component_fraction_before,largest_component_fraction_after,daughter_min_separation
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",0,1,0,8,persist,1,1,1,1,2,2,2,3,0.5,0.6666666666666666,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",0,1,0,8,persist,2,2,1,1,2,2,2,3,0.5,0.6666666666666666,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",1,2,8,16,persist,1,1,1,1,2,3,3,4,0.6666666666666666,0.5,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",1,2,8,16,persist,2,2,1,1,2,3,3,4,0.6666666666666666,0.5,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",1,2,8,16,birth,,3,0,1,2,3,3,4,0.6666666666666666,0.5,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",2,3,16,24,persist,1,1,1,1,3,3,4,9,0.5,0.5555555555555556,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",2,3,16,24,persist,3,3,1,1,3,3,4,9,0.5,0.5555555555555556,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",2,3,16,24,persist,2,2,1,1,3,3,4,9,0.5,0.5555555555555556,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",3,4,24,32,persist,1,1,1,1,3,4,9,9,0.5555555555555556,0.4444444444444444,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",3,4,24,32,persist,3,3,1,1,3,4,9,9,0.5555555555555556,0.4444444444444444,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",3,4,24,32,persist,2,2,1,1,3,4,9,9,0.5555555555555556,0.4444444444444444,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",3,4,24,32,birth,,4,0,1,3,4,9,9,0.5555555555555556,0.4444444444444444,nan
1024,303,add_chord_p0,add_chord,0,11003,1027042916,"3,4,827",4,5,32,40,persist,1,1,1,1,4,8,9,11,0.4444444444444444,0.2727272727272727,nan
