rule,metric,direction,n_growth_seeds,active_total,growth_seed_hit_rate_top1,growth_seed_hit_rate_top2,mean_capture_fraction_top1,mean_capture_fraction_top2,total_active_capture_fraction_top1,total_active_capture_fraction_top2,inactive_selected_top1_total,inactive_selected_top2_total,status
low_ball2_minus_ball1,ball2_minus_ball1,low,2,3,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0,2,scout_candidate_top1_hits_each_seed_but_incomplete
low_ball3_minus_ball1,ball3_minus_ball1,low,2,3,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0,2,scout_candidate_top1_hits_each_seed_but_incomplete
low_ball3_minus_ball2,ball3_minus_ball2,low,2,3,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0,2,scout_candidate_top1_hits_each_seed_but_incomplete
low_static_support_ball_2,static_support_ball_2,low,2,3,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0,2,scout_candidate_top1_hits_each_seed_but_incomplete
low_static_support_ball_3,static_support_ball_3,low,2,3,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0,2,scout_candidate_top1_hits_each_seed_but_incomplete
high_ball1_over_ball3,ball1_over_ball3,high,2,3,0.5,1.0,0.5,0.75,0.3333333333333333,0.6666666666666666,1,2,weak_broad_scout_candidate
high_ball2_over_ball3,ball2_over_ball3,high,2,3,0.5,1.0,0.5,0.75,0.3333333333333333,0.6666666666666666,1,2,weak_broad_scout_candidate
high_static_mean_support_degree,static_mean_support_degree,high,2,3,0.5,1.0,0.5,0.75,0.3333333333333333,0.6666666666666666,1,2,weak_broad_scout_candidate
high_static_support_ball_1,static_support_ball_1,high,2,3,0.5,1.0,0.5,0.75,0.3333333333333333,0.6666666666666666,1,2,weak_broad_scout_candidate
high_static_support_boundary_to_volume,static_support_boundary_to_volume,high,2,3,0.5,1.0,0.5,0.75,0.3333333333333333,0.6666666666666666,1,2,weak_broad_scout_candidate
high_static_support_pairwise_mean_distance,static_support_pairwise_mean_distance,high,2,3,0.5,1.0,0.25,0.75,0.3333333333333333,0.6666666666666666,1,2,weak_broad_scout_candidate
low_ball3_over_ball1,ball3_over_ball1,low,2,3,0.5,1.0,0.5,0.75,0.3333333333333333,0.6666666666666666,1,2,weak_broad_scout_candidate
low_ball3_over_ball2,ball3_over_ball2,low,2,3,0.5,1.0,0.5,0.75,0.3333333333333333,0.6666666666666666,1,2,weak_broad_scout_candidate
low_static_support_pairwise_mean_distance,static_support_pairwise_mean_distance,low,2,3,0.5,1.0,0.25,0.75,0.3333333333333333,0.6666666666666666,1,2,weak_broad_scout_candidate
high_ball2_minus_ball1,ball2_minus_ball1,high,2,3,0.5,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,1,3,not_supported_as_scout_rule
high_ball3_minus_ball1,ball3_minus_ball1,high,2,3,0.5,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,1,3,not_supported_as_scout_rule
high_ball3_minus_ball2,ball3_minus_ball2,high,2,3,0.5,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,1,3,not_supported_as_scout_rule
high_ball3_over_ball1,ball3_over_ball1,high,2,3,0.5,0.5,0.25,0.5,0.3333333333333333,0.6666666666666666,1,2,not_supported_as_scout_rule
high_ball3_over_ball2,ball3_over_ball2,high,2,3,0.5,0.5,0.25,0.5,0.3333333333333333,0.6666666666666666,1,2,not_supported_as_scout_rule
high_static_support_ball_2,static_support_ball_2,high,2,3,0.5,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,1,3,not_supported_as_scout_rule
high_static_support_ball_3,static_support_ball_3,high,2,3,0.5,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,1,3,not_supported_as_scout_rule
low_ball1_over_ball3,ball1_over_ball3,low,2,3,0.5,0.5,0.25,0.5,0.3333333333333333,0.6666666666666666,1,2,not_supported_as_scout_rule
low_ball2_over_ball3,ball2_over_ball3,low,2,3,0.5,0.5,0.25,0.5,0.3333333333333333,0.6666666666666666,1,2,not_supported_as_scout_rule
low_static_mean_support_degree,static_mean_support_degree,low,2,3,0.5,0.5,0.25,0.5,0.3333333333333333,0.6666666666666666,1,2,not_supported_as_scout_rule
low_static_support_ball_1,static_support_ball_1,low,2,3,0.5,0.5,0.25,0.5,0.3333333333333333,0.6666666666666666,1,2,not_supported_as_scout_rule
low_static_support_boundary_to_volume,static_support_boundary_to_volume,low,2,3,0.5,0.5,0.25,0.5,0.3333333333333333,0.6666666666666666,1,2,not_supported_as_scout_rule
