target_nodes,growth_seed,profile_label,perturbation,placement,seed_delta,run_seed,support_signature,snapshot_index,step,component_local_index,component_id,parent_ids,size_nodes,size_fraction,internal_edge_count,beta1_local,boundary_edge_count,boundary_to_volume,min_support_distance,max_support_distance,mean_support_distance,total_defect_mass,component_count,largest_component_fraction
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",0,0,0,1,,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",0,0,1,2,,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",1,8,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",1,8,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",2,16,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",2,16,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",3,24,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",3,24,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",4,32,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",4,32,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",5,40,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",5,40,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",6,48,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",6,48,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",7,56,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",7,56,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",8,64,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",8,64,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",9,72,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",9,72,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",10,80,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",10,80,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",11,88,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",11,88,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",12,96,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",12,96,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",13,104,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",13,104,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",14,112,0,1,1,2,0.6666666666666666,1,0,5,2.5,0.0,1.0,0.5,3,2,0.6666666666666666
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",14,112,1,2,2,1,0.3333333333333333,0,0,2,2.0,0.0,0.0,0.0,3,2,0.6666666666666666
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",15,120,0,1,1,2,0.6666666666666666,1,0,5,2.5,0.0,1.0,0.5,3,2,0.6666666666666666
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",15,120,1,2,2,1,0.3333333333333333,0,0,2,2.0,0.0,0.0,0.0,3,2,0.6666666666666666
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",16,128,0,1,1,2,0.6666666666666666,1,0,5,2.5,0.0,1.0,0.5,3,2,0.6666666666666666
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",16,128,1,2,2,1,0.3333333333333333,0,0,2,2.0,0.0,0.0,0.0,3,2,0.6666666666666666
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",17,136,0,1,1,2,0.5,1,0,16,8.0,0.0,1.0,0.5,4,3,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",17,136,1,3,,1,0.25,0,0,1,1.0,2.0,2.0,2.0,4,3,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",17,136,2,2,2,1,0.25,0,0,2,2.0,0.0,0.0,0.0,4,3,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",18,144,0,1,1,2,0.5,1,0,16,8.0,0.0,1.0,0.5,4,3,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",18,144,1,3,3,1,0.25,0,0,1,1.0,2.0,2.0,2.0,4,3,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",18,144,2,2,2,1,0.25,0,0,2,2.0,0.0,0.0,0.0,4,3,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",19,152,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",19,152,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",20,160,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",20,160,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",21,168,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",21,168,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",22,176,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",22,176,1,2,2,1,0.5,0,0,2,2.0,0.0,0.0,0.0,2,2,0.5
1024,505,add_chord_p0,add_chord,0,13007,1029064920,"5,98,599",23,184,0,1,1,1,0.5,0,0,6,6.0,0.0,0.0,0.0,2,2,0.5
