metric,feature_family,n_active_placements,n_inactive_placements,auc_active_vs_inactive_high,auc_active_vs_inactive_low,best_direction_posthoc,best_auc_posthoc,spearman_vs_established_rate_raw,median_active_raw,median_inactive_raw
delta_return_t4,return_probability,6,6,0.8611111111111112,0.1388888888888889,high,0.8611111111111112,0.5380393811732299,-0.014684909686197734,-0.02386828458398496
delta_return_t6,return_probability,6,6,0.8333333333333334,0.16666666666666666,high,0.8333333333333334,0.4209151621423227,-0.009256940407917275,-0.017904828614819353
local_ball3_beta1,local_volume_topology,6,6,0.18055555555555555,0.8194444444444444,low,0.8194444444444444,-0.7237401360764629,19.0,33.5
delta_return_t2,return_probability,6,6,0.8055555555555556,0.19444444444444445,high,0.8055555555555556,0.4648367442789129,-0.02083530171327791,-0.02888345003891224
base_return_t2,return_probability,6,6,0.2222222222222222,0.7777777777777778,low,0.7777777777777778,-0.31111120680084725,0.30941358024691357,0.37826020203471183
new_edge_mean_forman,curvature_shortcut,6,6,0.7638888888888888,0.2361111111111111,high,0.7638888888888888,0.5270978316470879,-9.5,-11.5
new_edge_min_forman,curvature_shortcut,6,6,0.7638888888888888,0.2361111111111111,high,0.7638888888888888,0.5270978316470879,-9.5,-11.5
delta_ball3_mean_pair_distance,shortcut_reach,6,6,0.75,0.25,high,0.75,0.20130725145937176,-0.01193280366466487,-0.0428889474473253
support_ball_1,support_volume_topology,6,6,0.2638888888888889,0.7361111111111112,low,0.7361111111111112,-0.37563083492102156,14.5,20.5
base_return_t4,return_probability,6,6,0.2777777777777778,0.7222222222222222,low,0.7222222222222222,-0.24522883359596195,0.17551706643609272,0.20700385427725423
delta_ball3_efficiency,shortcut_reach,6,6,0.2777777777777778,0.7222222222222222,low,0.7222222222222222,-0.1683660648569291,0.0009558709543368016,0.0022744370182942314
local_ball3_boundary_to_volume,local_volume_topology,6,6,0.7222222222222222,0.2777777777777778,high,0.7222222222222222,0.3367321297138582,0.748729674796748,0.5940063226247436
local_ball3_node_count,local_volume_topology,6,6,0.2916666666666667,0.7083333333333334,low,0.7083333333333334,-0.3721545718396196,94.0,109.5
support_ball_3,support_volume_topology,6,6,0.2916666666666667,0.7083333333333334,low,0.7083333333333334,-0.3721545718396196,94.0,109.5
mean_support_degree,support_volume_topology,6,6,0.3194444444444444,0.6805555555555556,low,0.6805555555555556,-0.31532308549957916,6.333333333333334,7.833333333333334
support_ball_2,support_volume_topology,6,6,0.3194444444444444,0.6805555555555556,low,0.6805555555555556,-0.28965725295891576,50.0,54.0
support_boundary_to_volume,support_volume_topology,6,6,0.3194444444444444,0.6805555555555556,low,0.6805555555555556,-0.31532308549957916,5.0,6.5
post_return_t4,return_probability,6,6,0.3333333333333333,0.6666666666666666,low,0.6666666666666666,-0.1537255374780657,0.15966201129690039,0.1892080004736222
support_ball3_minus_ball1,support_volume_topology,6,6,0.3333333333333333,0.6666666666666666,low,0.6666666666666666,-0.3294118660244265,76.5,94.0
base_mean_forman_incident_support,curvature_shortcut,6,6,0.6388888888888888,0.3611111111111111,high,0.6388888888888888,0.2745098883536887,-9.01388888888889,-12.46866096866097
base_return_t6,return_probability,6,6,0.3611111111111111,0.6388888888888888,low,0.6388888888888888,-0.11346408718619135,0.1284638770681364,0.14169783785765733
post_mean_forman_incident_support,curvature_shortcut,6,6,0.6388888888888888,0.3611111111111111,high,0.6388888888888888,0.292810547577268,-9.665991902834008,-12.852513227513228
post_return_t2,return_probability,6,6,0.3611111111111111,0.6388888888888888,low,0.6388888888888888,-0.06222224136016945,0.28857827853363566,0.3546334392342796
post_return_t6,return_probability,6,6,0.3611111111111111,0.6388888888888888,low,0.6388888888888888,-0.11346408718619135,0.11646649538194676,0.1288019405226958
support_ball2_minus_ball1,support_volume_topology,6,6,0.3611111111111111,0.6388888888888888,low,0.6388888888888888,-0.23465904037177984,36.5,37.5
support_ball3_minus_ball2,support_volume_topology,6,6,0.3611111111111111,0.6388888888888888,low,0.6388888888888888,-0.3440523934032899,40.0,56.5
base_ball3_efficiency,shortcut_reach,6,6,0.6111111111111112,0.3888888888888889,high,0.6111111111111112,0.1390850100992023,0.2764554806966185,0.2767732697658766
base_support_harmonic_reach,shortcut_reach,6,6,0.3888888888888889,0.6111111111111112,low,0.6111111111111112,-0.1976471196146559,0.1656357422640481,0.1674260275422637
post_ball3_efficiency,shortcut_reach,6,6,0.6111111111111112,0.3888888888888889,high,0.6111111111111112,0.1390850100992023,0.2772422241936131,0.2809711437938417
post_support_harmonic_reach,shortcut_reach,6,6,0.3888888888888889,0.6111111111111112,low,0.6111111111111112,-0.1976471196146559,0.1656357422640481,0.1674260275422637
base_ball3_mean_pair_distance,shortcut_reach,6,6,0.4166666666666667,0.5833333333333334,low,0.5833333333333334,-0.06222224136016945,4.18367793618628,4.343532305485352
post_ball3_mean_pair_distance,shortcut_reach,6,6,0.4166666666666667,0.5833333333333334,low,0.5833333333333334,-0.073202636894317,4.17409236565467,4.23743795864925
base_return_spectral_dim_proxy,return_probability,6,6,0.4444444444444444,0.5555555555555556,low,0.5555555555555556,-0.1244444827203389,1.5820844999836239,1.697256095913674
delta_mean_forman_incident_support,curvature_shortcut,6,6,0.5555555555555556,0.4444444444444444,high,0.5555555555555556,0.1171242190309072,-0.6071361236802413,-0.5816526610644259
post_return_spectral_dim_proxy,return_probability,6,6,0.4444444444444444,0.5555555555555556,low,0.5555555555555556,-0.14274514194391816,1.5781357144075474,1.7185750746325679
ball3_over_ball1,support_volume_topology,6,6,0.5277777777777778,0.4722222222222222,high,0.5277777777777778,-0.0585621095154536,5.854166666666667,6.444196428571429
delta_return_spectral_dim_proxy,return_probability,6,6,0.4722222222222222,0.5277777777777778,low,0.5277777777777778,-0.0219607910682951,0.016067249585966614,0.05610947905239494
delta_support_harmonic_reach,shortcut_reach,6,6,0.5,0.5,high,0.5,nan,0.0,0.0
new_edge_count,curvature_shortcut,6,6,0.5,0.5,high,0.5,nan,1.0,1.0
support_pairwise_max_distance,support_volume_topology,6,6,0.5,0.5,high,0.5,nan,2.0,2.0
support_pairwise_mean_distance,support_volume_topology,6,6,0.5,0.5,high,0.5,nan,1.3333333333333333,1.3333333333333333
