metric,feature_family,direction,rule_type,rule_param,seed_count,coverage_fraction,precision_fraction,burden_fraction,mean_predicted_count,total_active,total_predicted,total_captured,total_missed,total_false_positive,exact_set_match_rate,full_coverage_seed_rate,abstain_seed_count,rule_status,seed_details,posthoc_warning
local_ball3_beta1,local_volume_topology,low,top_k,2,4,1.0,0.75,0.6666666666666666,2.0,6,8,6,0,2,0.5,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1/active=p1/miss=none/fp=p0 | 303:pred=p0;p2/active=p0;p2/miss=none/fp=none | 404:pred=p0;p1/active=p1/miss=none/fp=p0 | 505:pred=p0;p2/active=p0;p2/miss=none/fp=none,rule screened after seeing v15dl/v15dm outcomes; not validated
local_ball3_boundary_to_volume,local_volume_topology,high,above_or_equal_median,within_seed,4,1.0,0.75,0.6666666666666666,2.0,6,8,6,0,2,0.5,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1/active=p1/miss=none/fp=p0 | 303:pred=p0;p2/active=p0;p2/miss=none/fp=none | 404:pred=p0;p1/active=p1/miss=none/fp=p0 | 505:pred=p0;p2/active=p0;p2/miss=none/fp=none,rule screened after seeing v15dl/v15dm outcomes; not validated
local_ball3_boundary_to_volume,local_volume_topology,high,top_k,2,4,1.0,0.75,0.6666666666666666,2.0,6,8,6,0,2,0.5,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1/active=p1/miss=none/fp=p0 | 303:pred=p0;p2/active=p0;p2/miss=none/fp=none | 404:pred=p0;p1/active=p1/miss=none/fp=p0 | 505:pred=p0;p2/active=p0;p2/miss=none/fp=none,rule screened after seeing v15dl/v15dm outcomes; not validated
delta_return_t4,return_probability,high,epsilon_from_best,eps_0p015,4,1.0,0.6666666666666666,0.75,2.25,6,9,6,0,3,0.5,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1;p2/active=p1/miss=none/fp=p0;p2 | 303:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1 | 404:pred=p1/active=p1/miss=none/fp=none | 505:pred=p0;p2/active=p0;p2/miss=none/fp=none,rule screened after seeing v15dl/v15dm outcomes; not validated
delta_ball3_efficiency,shortcut_reach,high,epsilon_from_best,eps_0p010,4,1.0,0.6,0.8333333333333334,2.5,6,10,6,0,4,0.25,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p1/active=p1/miss=none/fp=none | 303:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1 | 404:pred=p0;p1;p2/active=p1/miss=none/fp=p0;p2 | 505:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1,rule screened after seeing v15dl/v15dm outcomes; not validated
delta_return_t2,return_probability,high,epsilon_from_best,eps_0p015,4,1.0,0.6,0.8333333333333334,2.5,6,10,6,0,4,0.25,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1;p2/active=p1/miss=none/fp=p0;p2 | 303:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1 | 404:pred=p1/active=p1/miss=none/fp=none | 505:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1,rule screened after seeing v15dl/v15dm outcomes; not validated
delta_return_t2,return_probability,high,epsilon_from_best,eps_0p020,4,1.0,0.6,0.8333333333333334,2.5,6,10,6,0,4,0.25,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1;p2/active=p1/miss=none/fp=p0;p2 | 303:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1 | 404:pred=p1/active=p1/miss=none/fp=none | 505:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1,rule screened after seeing v15dl/v15dm outcomes; not validated
delta_return_t4,return_probability,high,epsilon_from_best,eps_0p020,4,1.0,0.6,0.8333333333333334,2.5,6,10,6,0,4,0.25,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1;p2/active=p1/miss=none/fp=p0;p2 | 303:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1 | 404:pred=p1/active=p1/miss=none/fp=none | 505:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1,rule screened after seeing v15dl/v15dm outcomes; not validated
delta_return_t6,return_probability,high,epsilon_from_best,eps_0p015,4,1.0,0.6,0.8333333333333334,2.5,6,10,6,0,4,0.25,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1;p2/active=p1/miss=none/fp=p0;p2 | 303:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1 | 404:pred=p1;p2/active=p1/miss=none/fp=p2 | 505:pred=p0;p2/active=p0;p2/miss=none/fp=none,rule screened after seeing v15dl/v15dm outcomes; not validated
delta_return_t6,return_probability,high,epsilon_from_best,eps_0p020,4,1.0,0.6,0.8333333333333334,2.5,6,10,6,0,4,0.25,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1;p2/active=p1/miss=none/fp=p0;p2 | 303:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1 | 404:pred=p1;p2/active=p1/miss=none/fp=p2 | 505:pred=p0;p2/active=p0;p2/miss=none/fp=none,rule screened after seeing v15dl/v15dm outcomes; not validated
local_ball3_beta1,local_volume_topology,low,above_or_equal_median,within_seed,4,1.0,0.6,0.8333333333333334,2.5,6,10,6,0,4,0.25,1.0,0,posthoc_full_coverage_nontrivial_set_candidate,202:pred=p0;p1/active=p1/miss=none/fp=p0 | 303:pred=p0;p1;p2/active=p0;p2/miss=none/fp=p1 | 404:pred=p0;p1;p2/active=p1/miss=none/fp=p0;p2 | 505:pred=p0;p2/active=p0;p2/miss=none/fp=none,rule screened after seeing v15dl/v15dm outcomes; not validated
