rule_family,metric,feature_family,comparison,true_type,false_type,rule_status,posthoc_warning,seed_count,type_accuracy,exact_set_match_rate,coverage_fraction,precision_fraction,burden_fraction,mean_predicted_count,total_active,total_predicted,total_captured,total_false_positive,seed_details
placement_comparison,delta_return_t2,return_probability,p0_ge_p1,p0_p2,p1_only,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t2,return_probability,p0_gt_p1,p0_p2,p1_only,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t2,return_probability,p0_le_p1,p1_only,p0_p2,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t2,return_probability,p0_lt_p1,p1_only,p0_p2,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t2,return_probability,p1_ge_p0,p1_only,p0_p2,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t2,return_probability,p1_gt_p0,p1_only,p0_p2,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t2,return_probability,p1_le_p0,p0_p2,p1_only,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t2,return_probability,p1_lt_p0,p0_p2,p1_only,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t6,return_probability,p1_ge_p2,p1_only,p0_p2,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t6,return_probability,p1_gt_p2,p1_only,p0_p2,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t6,return_probability,p1_le_p2,p0_p2,p1_only,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
placement_comparison,delta_return_t6,return_probability,p1_lt_p2,p0_p2,p1_only,posthoc_exact_compact_type_discriminator_not_validated,screened after seeing v15dn active-set labels; not validated,4,1.0,1.0,1.0,1.0,0.5,1.5,6,6,6,0,202:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 303:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none | 404:pred=p1_only/p1 actual=p1_only/p1 miss=none fp=none | 505:pred=p0_p2/p0;p2 actual=p0_p2/p0;p2 miss=none fp=none
