feature_family,evidence_strength,n_contrasts,n_clean_current_sample,clean_rate,example_clean_features
curvature_shortcut,repeated_pair_tiny,42,11,0.2619047619047619,base_mean_forman_incident_support_range;delta_mean_forman_incident_support_range;new_edge_mean_forman_p2;new_edge_mean_forman_p2_minus_p0;new_edge_mean_forman_p2_minus_p1;new_edge_mean_forman_range;new_edge_min_forman_p2;new_edge_min_forman_p2_minus_p0
curvature_shortcut,singleton_descriptive_only,210,155,0.7380952380952381,base_mean_forman_incident_support_p0;base_mean_forman_incident_support_p0_minus_p1;base_mean_forman_incident_support_p1;base_mean_forman_incident_support_p2_minus_p0;base_mean_forman_incident_support_range;delta_mean_forman_incident_support_p0;delta_mean_forman_incident_support_p0_minus_p1;delta_mean_forman_incident_support_p1
local_volume_topology,repeated_pair_tiny,21,8,0.38095238095238093,local_ball3_beta1_p2;local_ball3_beta1_p2_minus_p0;local_ball3_beta1_p2_minus_p1;local_ball3_boundary_to_volume_p0_minus_p1;local_ball3_boundary_to_volume_p1;local_ball3_boundary_to_volume_p2_minus_p0;local_ball3_boundary_to_volume_p2_minus_p1;local_ball3_node_count_p2
local_volume_topology,singleton_descriptive_only,105,84,0.8,local_ball3_beta1_p0;local_ball3_beta1_p0_minus_p1;local_ball3_beta1_p1;local_ball3_beta1_p2_minus_p0;local_ball3_beta1_p2_minus_p1;local_ball3_beta1_range;local_ball3_boundary_to_volume_p0;local_ball3_boundary_to_volume_p0_minus_p1
return_probability,repeated_pair_tiny,84,33,0.39285714285714285,base_return_spectral_dim_proxy_p2;base_return_t2_p0;base_return_t2_p0_minus_p1;base_return_t2_p1;base_return_t2_p2_minus_p0;base_return_t2_p2_minus_p1;base_return_t4_p0;base_return_t4_p0_minus_p1
return_probability,singleton_descriptive_only,420,295,0.7023809523809523,base_return_spectral_dim_proxy_p2;base_return_spectral_dim_proxy_p2_minus_p0;base_return_spectral_dim_proxy_range;base_return_t2_p0;base_return_t2_p0_minus_p1;base_return_t2_p1;base_return_t2_p2;base_return_t2_p2_minus_p0
shortcut_reach,repeated_pair_tiny,63,4,0.06349206349206349,delta_ball3_efficiency_p0;delta_ball3_efficiency_p2_minus_p0;delta_ball3_mean_pair_distance_p0;post_ball3_mean_pair_distance_range
shortcut_reach,singleton_descriptive_only,315,190,0.6031746031746031,base_ball3_efficiency_p0;base_ball3_efficiency_p0_minus_p1;base_ball3_efficiency_p2_minus_p1;base_ball3_efficiency_range;base_ball3_mean_pair_distance_p0;base_ball3_mean_pair_distance_p0_minus_p1;base_ball3_mean_pair_distance_p2_minus_p1;base_ball3_mean_pair_distance_range
support_volume_topology,repeated_pair_tiny,77,9,0.11688311688311688,ball3_over_ball1_p2;ball3_over_ball1_p2_minus_p0;ball3_over_ball1_range;mean_support_degree_p1;support_ball3_minus_ball1_p2;support_ball3_minus_ball2_p2;support_ball_2_p2_minus_p1;support_ball_3_p2
support_volume_topology,singleton_descriptive_only,385,234,0.6077922077922078,ball3_over_ball1_p0;ball3_over_ball1_p0_minus_p1;ball3_over_ball1_p1;ball3_over_ball1_p2;ball3_over_ball1_p2_minus_p0;ball3_over_ball1_p2_minus_p1;ball3_over_ball1_range;mean_support_degree_p0
